No,code,name,ipo_date,industry_zx,industry_sw,MKT_CAP_FLOAT,is_open1,PCT_CHG_NM,mom_con_equal,liq_barra_con_equal,vol_con_equal,growth_con_equal
1,000001.SZ,平安银行,1991-04-03,J66货币金融服务,J66货币金融服务,15513796.51,True,-0.0238870792616721,-0.804944289365271,-0.2325208272204423,-0.7809803245873117,0.0384763144713901
2,000008.SZ,神州高铁,1992-05-07,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,1756807.8836,True,-0.0911136107986501,-0.1074207132460329,-1.145126408535061,-0.8446011604367262,0.4994086643190893
3,000009.SZ,中国宝安,1991-06-25,S91综合,S91综合,1944100.091,True,-0.1017130620985009,-0.0492737969720685,1.085979549074532,0.0641252477041596,0.2321382931452383
4,000010.SZ,美丽生态,1995-10-27,E48土木工程建筑业,E48土木工程建筑业,354032.2756,True,-0.1023054755043227,-0.2357173671524294,-0.1480416611379685,-1.4060673420947265,-0.3796643236973346
5,000016.SZ,深康佳Ａ,1992-03-27,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,702501.272,True,0.031390134529148,-0.0693617214986623,-0.9364981739355072,-1.3315702305508084,-1.2334885799934
6,000017.SZ,深中华A,1992-03-31,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,311766.6855,True,-0.0755980861244018,-0.9774210932680568,0.141159292223241,-0.3318954652045296,0.6923213753657574
7,000019.SZ,深粮控股,1992-10-12,C15酒、饮料和精制茶制造业,C15酒、饮料和精制茶制造业,575547.8234,True,-0.15,0.1746128540332573,1.365233813626783,0.5639243020388747,-2.1841079042309586
8,000020.SZ,深华发Ａ,1992-04-28,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,435340.4346,True,-0.1096,1.217342228544684,-0.8454783931376867,-0.3737046043839658,-1.0482261258454115
9,000021.SZ,深科技,1994-02-02,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,1361052.4533,True,-0.1512247071352502,-0.2512268473100784,-0.5776257418592005,-0.6036848739610118,-0.4538057299680714
10,000025.SZ,特力Ａ,1993-06-21,F51批发业,F51批发业,931988.8512,True,-0.1551865518655185,-0.3566865106658357,0.3721766722829843,0.0398107769666724,-0.1630354901707905
11,000026.SZ,飞亚达,1993-06-03,F52零售业,F52零售业,509506.2802,True,-0.1044673539518901,0.4407499841748377,0.6979432543129804,0.4699446938993254,-0.1295255279750841
12,000027.SZ,深圳能源,1993-09-03,D44电力、热力生产和供应业,D44电力、热力生产和供应业,2822718.0171,True,-0.0411522633744856,-0.4268717636265654,-1.0400391864828047,-0.0422698812601698,-0.1983788179019433
13,000028.SZ,国药一致,1993-08-09,F51批发业,F51批发业,2316699.5044,True,-0.0054851769622566,0.0172232600533702,-0.4679295074865683,0.0554144514314289,0.6930746991432473
14,000030.SZ,富奥股份,1993-09-29,C36汽车制造业,C36汽车制造业,1050170.7215,True,-0.0023474178403756,-0.3538588174930601,-1.305094628542114,-0.7571069215808628,0.5403491598479978
15,000035.SZ,中国天楹,1994-04-08,N77生态保护和环境治理业,N77生态保护和环境治理业,626556.4367,True,-0.0724269377382463,0.1136390414093794,-0.1557478394759767,-0.8745837406291253,-0.1760225798648983
16,000037.SZ,深南电A,1994-07-01,D44电力、热力生产和供应业,D44电力、热力生产和供应业,412096.5109,True,-0.1879084967320261,-0.5192645346180248,-0.4398025957862977,-0.3412218150993896,2.8340246903819613
17,000038.SZ,大通退(退),1994-08-08,L72商务服务业,L72商务服务业,186120.1934,True,-0.1090955544200308,0.2479579326762989,0.1025008958383911,-0.2577843269184615,-0.4647280090720389
18,000039.SZ,中集集团,1994-04-08,C33金属制品业,C33金属制品业,2031498.0821,True,-0.017618469015796,-0.2127657180858505,-0.1403279949216796,0.0452810336162564,-0.9220220904996248
19,000045.SZ,深纺织Ａ,1994-08-15,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,581331.7919,True,-0.1649883810999225,-0.6708652121355192,0.481279734934531,0.4580990375201844,-1.6384538962829038
20,000048.SZ,京基智农,1994-11-01,C13农副食品加工业,C13农副食品加工业,1270469.1985,True,-0.137101623571858,0.0005591381801623,-2.347973516515881,-0.7622624569640115,-0.6090932749705595
21,000049.SZ,德赛电池,1995-03-20,C38电气机械和器材制造业,C38电气机械和器材制造业,1054952.8133,True,0.0573523881158331,1.1726954365520954,1.0640962217869303,0.8008607010398427,0.5566777488794152
22,000055.SZ,方大集团,1996-04-15,C33金属制品业,C33金属制品业,606880.7454,True,-0.1094391244870042,-0.1200560474880626,-0.2100675466622232,-0.6165213909315354,1.1520223757956631
23,000058.SZ,深赛格,1996-12-26,L72商务服务业,L72商务服务业,538266.003,True,-0.1346534653465346,-0.0478663232963628,-0.4129328226922586,-0.7113818779838639,-0.5924105036819158
24,000059.SZ,华锦股份,1997-01-30,C25石油、煤炭及其他燃料加工业,C25石油、煤炭及其他燃料加工业,1675765.2822,True,-0.1318144833197722,-0.8615475901684486,1.4129073553483635,1.2694491779241637,0.3550886472604428
25,000060.SZ,中金岭南,1997-01-23,C32有色金属冶炼和压延加工业,C32有色金属冶炼和压延加工业,2463559.228,True,-0.0974539069359086,-0.4052178121374072,0.3097056169557309,0.2851577813815386,-0.2002824046704321
26,000061.SZ,农产品,1997-01-10,L72商务服务业,L72商务服务业,1862370.6996,True,-0.1617250673854448,-0.1609556762210776,-1.1730047304810187,-0.6829531395597896,-0.7745089514737667
27,000062.SZ,深圳华强,1997-01-30,L72商务服务业,L72商务服务业,1730734.7232,True,-0.0960214231063504,-0.140909855714674,-0.8325938372347318,0.0074951591223607,0.1505697255110343
28,000063.SZ,中兴通讯,1997-11-18,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,5809772.5373,True,0.0248124639353723,0.0719889755539295,1.026298183672135,0.3010844495012748,-1.1927844555815963
29,000065.SZ,北方国际,1998-06-05,E48土木工程建筑业,E48土木工程建筑业,1433828.3848,True,-0.1862380446333686,0.8517364479700349,-0.1400046818264712,0.7046440638679525,0.1282208916349329
30,000066.SZ,中国长城,1997-06-26,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,2515938.0871,True,-0.0675675675675675,-0.7974561905725597,0.8369162604499637,1.3595067812190238,-0.9480397694669004
31,000068.SZ,华控赛格,1997-06-11,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,677883.6268,True,0.0358514724711909,-0.037175234482404,-1.512949865806487,-0.722485683830594,-0.9826979623822396
32,000069.SZ,华侨城Ａ,1997-09-10,N78公共设施管理业,N78公共设施管理业,4468931.4923,True,0.0969044414535664,-0.3683667397134729,-0.0838302320653378,0.7164663487054225,0.0679804726433483
33,000070.SZ,特发信息,2000-05-11,C38电气机械和器材制造业,C38电气机械和器材制造业,652100.8175,True,-0.025974025974026,-0.4564548531174881,-0.2381757975284825,-0.3501409663402745,-0.231593561715528
