No,code,name,ipo_date,industry_zx,industry_sw,MKT_CAP_FLOAT,is_open1,PCT_CHG_NM,mom_con_equal,liq_barra_con_equal,vol_con_equal,growth_con_equal
1,000001.SZ,平安银行,1991-04-03,J66货币金融服务,J66货币金融服务,29671395.8477,True,0.0709635416666665,-0.3191836353230122,0.7068112879721965,0.8787888467655822,-0.3520338252330315
2,000008.SZ,神州高铁,1992-05-07,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,910413.5782,True,0.03125,0.0704961967032432,-0.3570559618992852,-0.6896734592074885,-0.4893719128645863
3,000009.SZ,中国宝安,1991-06-25,S91综合,S91综合,1137095.0849,True,0.3816964285714288,-0.1732100194216077,0.2632467419552788,-0.2777599458163391,0.2231123821345288
4,000010.SZ,美丽生态,1995-10-27,E48土木工程建筑业,E48土木工程建筑业,172290.8543,True,0.0210210210210211,-0.1000840185102901,-1.7622045231905443,-0.5663369635721567,0.5172120906358266
5,000016.SZ,深康佳Ａ,1992-03-27,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,643419.4429,True,0.0952380952380953,-0.3393831630557311,-1.2080472225218633,-1.259651525907215,-0.6463611166815909
6,000017.SZ,深中华A,1992-03-31,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,129069.9094,True,0.0536130536130534,0.4974317790951351,0.2978204050334074,0.5598366829964967,-0.5879704633999576
7,000019.SZ,深粮控股,1992-10-12,F51批发业,F51批发业,243313.4328,True,0.0446735395189001,-0.0937459082902903,-0.4206365668732343,-0.7629876079899359,0.7855092813550713
8,000020.SZ,深华发Ａ,1992-04-28,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,185332.195,True,0.0419921875,-0.3159011371715784,-1.8811411510984248,-0.6617443857819242,-0.7481578051603339
9,000021.SZ,深科技,1994-02-02,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,1406146.0002,True,0.2661122661122661,0.1400713736309412,0.5511664101673621,0.523868967026453,-0.6670326930631335
10,000025.SZ,特力Ａ,1993-06-21,F51批发业,F51批发业,781628.8568,True,0.0615923885828744,0.0099341633857323,0.4928712119580467,0.0991190637378749,0.1776905575147347
11,000026.SZ,飞亚达,1993-06-03,F52零售业,F52零售业,301068.6146,True,0.3249701314217443,1.6114740064723627,0.6627775963471199,0.2812936572757168,0.6056733180297065
12,000027.SZ,深圳能源,1993-09-03,D44电力、热力生产和供应业,D44电力、热力生产和供应业,2386623.9414,True,0.0180327868852459,-0.1931865718015449,-0.6303911181955383,-0.1332964789991456,-0.3650434300774387
13,000028.SZ,国药一致,1993-08-09,F51批发业,F51批发业,1342073.1322,True,0.0728476821192052,-0.3199645681208977,-0.0789957466582397,0.1046687210626739,0.0199503219785811
14,000030.SZ,富奥股份,1993-09-29,C36汽车制造业,C36汽车制造业,813064.9619,True,0.0303030303030302,-0.2172264139150572,-2.052467346106421,-1.0802522805299584,0.6228882442324137
15,000032.SZ,深桑达Ａ,1993-10-28,F51批发业,F51批发业,535080.0417,True,0.056547619047619,0.1411892746802937,0.3448830973382846,1.0041961787968317,0.341016428084001
16,000034.SZ,神州数码,1994-05-09,F51批发业,F51批发业,806375.538,True,0.0864805692391899,1.8224883900414728,1.526223880057045,1.2531364348809113,-0.3420735897494135
17,000035.SZ,中国天楹,1994-04-08,N77生态保护和环境治理业,N77生态保护和环境治理业,816054.0128,True,-0.0536809815950919,0.5631940199675752,0.627847166592404,0.4456997628191408,-0.461967968074976
18,000037.SZ,深南电A,1994-07-01,D44电力、热力生产和供应业,D44电力、热力生产和供应业,390744.7947,True,0.0904347826086957,-0.1319777596018824,0.1084446059284667,0.7808424365654426,-0.6315661558889079
19,000038.SZ,大通退(退),1994-08-08,L72商务服务业,L72商务服务业,279043.2225,True,0.0468197879858658,1.6753091393389028,2.048853472201729,2.472511221282464,-0.7051076044024097
20,000039.SZ,中集集团,1994-04-08,C33金属制品业,C33金属制品业,1467537.4181,True,0.0165631469979297,-0.2856336490169208,-0.8394854911639328,-0.921491830526681,-1.101137521187786
21,000045.SZ,深纺织Ａ,1994-08-15,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,324485.5128,True,0.0627674750356634,0.3182334004343221,-0.853621037768059,-0.5332943114659139,-0.9979384469892622
22,000048.SZ,京基智农,1994-11-01,C13农副食品加工业,C13农副食品加工业,864819.214,True,-0.0009237875288683,-0.3451829189259594,-2.3334887831403752,-0.565818284690893,0.5802584839647122
23,000049.SZ,德赛电池,1995-03-20,C38电气机械和器材制造业,C38电气机械和器材制造业,763711.9491,True,0.0866897839423845,1.4736813898259444,1.57282323463836,1.2113744567092388,0.4199454749049868
24,000050.SZ,深天马Ａ,1995-03-15,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,2803638.7146,True,0.0688976377952756,1.293245049060453,0.3125836570965641,0.0139358317490632,-0.9042279723629448
25,000055.SZ,方大集团,1996-04-15,C33金属制品业,C33金属制品业,300479.7695,True,0.1002277904328017,-0.4997546006063048,-0.1350684945962648,0.2218664871190349,-0.6419079492091858
26,000056.SZ,皇庭国际,1996-07-08,L72商务服务业,L72商务服务业,363300.7496,True,0.0324189526184539,-0.3286281095820224,0.3124866034834905,0.3276112547183084,-0.4562789024244356
27,000058.SZ,深赛格,1996-12-26,L72商务服务业,L72商务服务业,398149.3062,True,-0.0013586956521739,1.174648710123793,1.7818459953299992,1.639694712566344,-0.1731671327136258
28,000059.SZ,华锦股份,1997-01-30,C25石油、煤炭及其他燃料加工业,C25石油、煤炭及其他燃料加工业,922876.3497,True,0.0572916666666665,-0.4137075339971117,-0.1498563665082899,-0.7765146862175829,-0.290609750889741
29,000060.SZ,中金岭南,1997-01-23,C32有色金属冶炼和压延加工业,C32有色金属冶炼和压延加工业,1420158.6002,True,0.0749999999999999,-0.2679145729475374,-0.5991034394606856,-0.90244368821408,0.1074410323542181
30,000061.SZ,农产品,1997-01-10,L72商务服务业,L72商务服务业,907047.6847,True,0.0429104477611939,0.1063482052302808,-1.0903020125977465,-0.8358245994664744,-0.5756871317027166
31,000062.SZ,深圳华强,1997-01-30,F51批发业,F51批发业,1386243.923,True,0.0714823175319789,-0.0898734766445301,-0.4489192284296126,0.3590426502766353,0.4799231149848436
32,000063.SZ,中兴通讯,1997-11-18,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,10648391.717,True,0.1576709192018317,-0.4416526394525313,1.3795868382225531,-0.0075383571428899,-0.6253766219804976
33,000065.SZ,北方国际,1998-06-05,E48土木工程建筑业,E48土木工程建筑业,500639.1112,True,0.0866834170854269,-0.0748504199458878,-0.4533668501390313,-0.1569443249637191,0.6941400166056931
34,000066.SZ,中国长城,1997-06-26,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,3698692.9289,True,0.0387182910547396,0.0781503003404081,1.72928962941979,1.469886183636914,-1.0838340119504974
35,000068.SZ,华控赛格,1997-06-11,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,384548.4992,True,0.103174603174603,-1.2647840179581586,-0.2201295848960373,0.9292150668887682,-1.5760507007987463
36,000070.SZ,特发信息,2000-05-11,C38电气机械和器材制造业,C38电气机械和器材制造业,817335.1042,True,0.0575048732943468,0.1651339506157227,1.6479824907699845,1.16495958900106,-0.5599928273846373
