No,code,name,ipo_date,industry_zx,industry_sw,MKT_CAP_FLOAT,is_open1,PCT_CHG_NM,mom_con_equal,liq_barra_con_equal,vol_con_equal,growth_con_equal
1,000001.SZ,平安银行,1991-04-03,J66货币金融服务,J66货币金融服务,13314374.1522,True,0.0185589519650655,0.0337744975127626,-0.0757507517509874,-0.8870219538474666,-0.0084732727327666
2,000007.SZ,全新好,1992-04-13,H61住宿业,H61住宿业,527889.2254,True,-0.0877394636015327,0.6034140962193381,0.145165418477071,0.0243732048853951,0.9852614669406656
3,000008.SZ,神州高铁,1992-05-07,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,1393553.0189,True,-0.0674518201284793,-0.6012640557824545,-0.7098412199280362,-0.5543646764605954,0.7012732490608138
4,000009.SZ,中国宝安,1991-06-25,S91综合,S91综合,2196387.8891,True,-0.0908221797323135,0.0552979377940102,1.573219857346041,0.4346617604929008,0.291808422231765
5,000010.SZ,美丽生态,1995-10-27,E48土木工程建筑业,E48土木工程建筑业,313698.1123,True,-0.0872913992297818,0.9340239394608966,0.1357463060928111,-0.2192777247393854,-0.3722329034876864
6,000016.SZ,深康佳Ａ,1992-03-27,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,720063.8038,True,-0.0087719298245616,-0.2660092159007248,0.0383798909571346,-0.6816483774031831,-1.1337352734955457
7,000017.SZ,深中华A,1992-03-31,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,381755.1251,True,-0.0999219359875098,0.4002380317298805,0.8866547027879803,0.902605145541736,1.0378865658556824
8,000019.SZ,深粮控股,1992-10-12,C15酒、饮料和精制茶制造业,C15酒、饮料和精制茶制造业,612228.598,True,-0.1003671970624234,0.0432358234715943,2.092731312679027,0.9429964996738064,-2.2232541763806526
9,000020.SZ,深华发Ａ,1992-04-28,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,405629.3104,True,-0.0983533600356029,1.1335212456723456,-0.0124793729063744,0.7465714110341745,-0.9029147752993248
10,000021.SZ,深科技,1994-02-02,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,1386034.9434,True,-0.010438413361169,-0.2311406783601494,-0.3253018560821998,-0.1194703878960601,-0.3623405491791056
11,000025.SZ,特力Ａ,1993-06-21,F51批发业,F51批发业,1071583.6032,True,-0.0872061726179794,-1.1929860138882702,1.226518139685401,1.071815434038092,-0.2491582505932285
12,000026.SZ,飞亚达,1993-06-03,F52零售业,F52零售业,426166.0877,True,-0.0036284470246734,-0.0511050787845135,-0.1388963936028996,-0.4110699673895205,0.0912789325658674
13,000027.SZ,深圳能源,1993-09-03,D44电力、热力生产和供应业,D44电力、热力生产和供应业,2723605.7271,True,0.0101156069364161,-0.2707281602859391,-0.6815412234824453,0.0744130734671469,-0.1987047787798413
14,000028.SZ,国药一致,1993-08-09,F51批发业,F51批发业,1560521.5223,True,0.0433234421364985,-0.2913559902969538,-1.2125181082307828,-1.173908919394501,0.5807739624675927
15,000030.SZ,富奥股份,1993-09-29,C36汽车制造业,C36汽车制造业,1060148.5906,True,-0.0496535796766745,-0.2706848102619659,-1.1289878002904714,0.1065909754035528,0.7137768530952967
16,000032.SZ,深桑达Ａ,1993-10-28,F51批发业,F51批发业,417477.2152,True,-0.0114247311827957,-0.1251631379457528,-0.6019184477485141,-0.9496674400807492,-0.2114398601834932
17,000034.SZ,神州数码,1994-05-09,F51批发业,F51批发业,798955.2877,True,-0.0237348858038511,-0.9829073481803066,-0.2709823270089833,0.7877095642161915,0.24389826286967
18,000035.SZ,中国天楹,1994-04-08,N77生态保护和环境治理业,N77生态保护和环境治理业,597338.7791,True,-0.0148448043184885,0.3176110824145353,0.6286445490692918,-0.0326756094005443,-0.1241889953999007
19,000037.SZ,深南电A,1994-07-01,D44电力、热力生产和供应业,D44电力、热力生产和供应业,379901.471,True,0.0,0.4361124724219691,-0.7433739901548263,-0.2064386833712285,-1.4606446613934447
20,000038.SZ,大通退(退),1994-08-08,L72商务服务业,L72商务服务业,174885.2244,True,-0.1427034007748602,-0.304817813302687,0.3666273924980462,-0.4944167543293476,-0.3409571043689786
21,000039.SZ,中集集团,1994-04-08,C33金属制品业,C33金属制品业,1843651.812,True,0.0689189189189189,0.1440517384350859,-0.218550318198292,0.1831136006480508,-0.997363526585366
22,000049.SZ,德赛电池,1995-03-20,C38电气机械和器材制造业,C38电气机械和器材制造业,863049.9183,True,0.0576875464223818,0.2934201914485069,0.4831986534687362,0.0526487765913916,0.1093971605170785
23,000055.SZ,方大集团,1996-04-15,C33金属制品业,C33金属制品业,572441.838,True,0.0774287801314828,0.1683223166617285,-0.0488596126300714,-0.2774835814902145,-0.3634967623551213
24,000058.SZ,深赛格,1996-12-26,L72商务服务业,L72商务服务业,593707.4013,True,-0.0602517985611511,0.0290070500352984,-0.2391884799597853,-0.1535989605781674,-0.5548606788456684
25,000059.SZ,华锦股份,1997-01-30,C25石油、煤炭及其他燃料加工业,C25石油、煤炭及其他燃料加工业,1665965.4852,True,0.0868465430016864,1.6329469745005745,1.2129812060956366,0.3818289735179485,0.3266408049200804
26,000060.SZ,中金岭南,1997-01-23,C32有色金属冶炼和压延加工业,C32有色金属冶炼和压延加工业,2465770.6815,True,0.0628875110717452,0.0564307129366065,0.9971880919626268,1.1190316090019723,-0.2922700020225406
27,000061.SZ,农产品,1997-01-10,L72商务服务业,L72商务服务业,2092418.3065,True,-0.0619047619047617,0.0021002913264238,-0.7311862656822802,-0.8156753258242779,-0.8405000353577984
28,000062.SZ,深圳华强,1997-01-30,L72商务服务业,L72商务服务业,1894803.7341,True,-0.0282785436550017,0.0795293275407183,-0.1692369050941985,0.9281706878477614,-0.0692503030521353
29,000063.SZ,中兴通讯,1997-11-18,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,5448204.7052,True,-0.0648148148148148,0.0497323922703641,0.4677790112450422,0.3221594247414054,-0.2837523779183036
30,000065.SZ,北方国际,1998-06-05,E48土木工程建筑业,E48土木工程建筑业,1085384.0566,True,-0.0173388616660384,-0.0255472674101072,-1.037369653105814,-0.606454011670967,0.0561288589769465
31,000066.SZ,中国长城,1997-06-26,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,1646521.2367,True,-0.2682145716573259,0.5663309369331717,-0.1287858738283747,-0.055966352958389,-0.932155571836466
