No,code,name,ipo_date,industry_zx,industry_sw,MKT_CAP_FLOAT,is_open1,PCT_CHG_NM,mom_con_equal,liq_barra_con_equal,vol_con_equal,growth_con_equal
1,000001.SZ,平安银行,1991-04-03,J66货币金融服务,J66货币金融服务,18795886.5023,True,0.0212389380530972,0.4040456136129016,0.3826896696503177,0.6760944967515,-0.0103489189225792
2,000008.SZ,神州高铁,1992-05-07,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,1795799.6497,True,0.0076838638858398,0.144464404900519,-0.8552821919662305,-0.3920990287102409,-0.5134579982712116
3,000009.SZ,中国宝安,1991-06-25,S91综合,S91综合,1905960.0721,True,-0.1122004357298475,0.4208497711236585,1.6991968335657532,0.7241100642906265,0.0229107680134486
4,000010.SZ,美丽生态,1995-10-27,E48土木工程建筑业,E48土木工程建筑业,279361.7514,True,0.1229050279329611,0.9118228540931046,-0.7776194802343612,-0.9615469932185812,-1.0929268872968625
5,000016.SZ,深康佳Ａ,1992-03-27,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,916433.6482,True,0.0066666666666668,-0.9782865286760076,-0.784124737572064,-0.4467197224472548,-1.039596815696345
6,000017.SZ,深中华A,1992-03-31,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,236627.5815,True,-0.0599489795918366,-0.6290603939038479,-0.9387461209005772,-1.3596831038855888,-2.6122654119003763
7,000020.SZ,深华发Ａ,1992-04-28,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,339866.2735,True,0.1104133961276818,-1.3178574432305443,-1.9340245198222223,-1.4912978826788674,-0.9932066613753032
8,000021.SZ,深科技,1994-02-02,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,1386991.6484,True,-0.0453608247422679,-0.521906450546409,-0.6497768399284427,-0.7182074224519193,-0.0765652096753518
9,000025.SZ,特力Ａ,1993-06-21,F51批发业,F51批发业,836986.8672,True,0.0107650022904262,0.0569995092880786,1.1095298807318292,0.7955878736776205,0.1339658343292547
10,000026.SZ,飞亚达,1993-06-03,F52零售业,F52零售业,419530.3989,True,0.0016835016835017,-0.4138303937521445,-0.1517834370886726,-0.3555423361457643,-0.1268612169190123
11,000027.SZ,深圳能源,1993-09-03,D44电力、热力生产和供应业,D44电力、热力生产和供应业,2557097.0801,True,-0.0154083204930662,-0.0004316196182261,-0.9656019994638896,-0.1852101929673742,-0.2914314423922419
12,000028.SZ,国药一致,1993-08-09,F51批发业,F51批发业,2082506.0503,True,-0.0146950771491551,-0.1134466978678969,-0.6617758344884598,-0.0453274721919955,0.4911127658999306
13,000030.SZ,富奥股份,1993-09-29,C36汽车制造业,C36汽车制造业,1101976.1078,True,-0.037037037037037,-0.7047662608607601,-1.234430849679054,-0.8700003235795601,0.6567326314405456
14,000032.SZ,深桑达Ａ,1993-10-28,F51批发业,F51批发业,367458.1914,True,-0.0794251134644477,-1.9463191656978387,-1.238675204339825,-1.0696209451387788,-0.295565863685579
15,000037.SZ,深南电A,1994-07-01,D44电力、热力生产和供应业,D44电力、热力生产和供应业,297211.0527,True,-0.0714285714285715,-0.1655512011604336,-0.5663556918666443,-0.3261557343806163,-0.9592204708090584
16,000039.SZ,中集集团,1994-04-08,C33金属制品业,C33金属制品业,2292865.0901,True,0.0445168295331162,-0.2696822872486616,0.2402049596292424,0.149614041715794,-0.6810477300815314
17,000045.SZ,深纺织Ａ,1994-08-15,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,535629.607,True,-0.0639386189258313,-0.8174482029028645,-0.1006585232130708,-0.3215282269480516,-0.994896462669077
