code,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29
000001.SZ,3.3004274381125467,3.258873816540764,3.243756828704438,3.224678660737297,3.167040993825193,3.111862192218908,3.026714267664266,3.062961384355486,3.154798149073272,3.17797291744978,3.1687230045267736,3.4956008029337804,4.002463390702957,4.025141279760697,4.614285145327633,4.843852912559729,5.027330380929044,5.211988302850129,5.397381878871987,5.383603950065932,5.381466627510067,5.314510478929451,5.425201117754086,5.412542173491844,5.472474866308914,5.566559063816344,5.634406244137191,5.646288042394545,5.625155618681275,5.647005254819758,5.719267860336676,5.715910514320685,5.648603703394812,5.614201860251307,5.525708085210309,5.837994376989262,5.5422940813122485,5.380612867821854,5.325415643416116,5.178702612398764,4.8197660168349845,4.395393467007345,4.077899294068045,3.928618670001195,3.878256729968457,3.838072084263762,3.868737885743233,3.882151509747024,3.744571151723439,3.72901843206466,3.718161103571034,3.703003797580423,3.6851980803611113,3.6608020191407737,3.6493096821139472,3.6216724370131512,3.620631041116492,3.6135511357656753,3.608713284082423,3.5449462382246524,3.4690118821781053,3.435059369290487,3.431988538683917,3.407166016809349,3.4038057972915454,3.4066726010550905,3.4040564674374254,3.507693014544242,3.4803691566539885,3.5672211101694544,3.8701664246195553,4.178743976008954,4.290954591831384,5.0165799379319,5.034846116308597,5.085489817805204,5.068114907380224,4.914634470796783,5.0615687516518015,4.923638050688826,5.020758108296368,5.019320682232267,4.887119240606692,4.86802256550431,4.937070685098944,4.927227877519626,4.844961001904905,4.926051868685145,4.921534746367234,4.95237174341719,4.929003686276737,4.944441099485745,4.879090034313716,4.881154516191195,4.912084107275636
000002.SZ,3.74378530306434,3.84578630879073,3.8314135966536687,3.8326260858848658,3.86433448835038,3.7970016632027024,3.738270104958956,3.780487350543299,3.820676350155265,3.892520808709576,3.969348378813124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000006.SZ,4.258551298542629,4.297273068328681,4.317231196437295,4.45195414485968,4.369944493189788,4.208744877705213,4.288157980100905,4.297520822102662,4.240641308276488,4.243824031141,4.466738487724191,4.510184780929384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000007.SZ,2.8927021301791123,2.939794708387402,3.073518907187168,3.0114370000902717,2.9577844064728973,3.1948208329629955,3.271102525211329,3.2826662966664544,,3.088963842973016,3.288819107473969,3.2198276470221443,3.2290242932120816,3.317660050166724,2.972708791501456,2.9872613312934817,2.8745224560208067,3.0556747814319936,3.160542916104666,2.9873946505291986,2.856999640132617,2.81177359002924,2.724231977688089,2.699095016689861,2.661502761917617,2.615786338155467,2.52982631894161,2.4480128898629574,,,,,2.026095728036296,2.070577303337631,1.9473558326779357,1.4726751194613257,1.4897586329196328,1.5642967476208949,1.5317855094928248,1.5534527245276744,,,,,,,,,,,,,,,,0.2509941926092064,0.2271540503837188,0.2656128637276492,0.2418388020207665,0.2823914199449772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.SZ,3.223959117236939,,,2.826440179986905,2.718042765299847,2.674396044135832,2.7012452919208974,2.6742965567987773,2.543168838026317,2.40761021376597,2.4947312977709664,2.4773045104238234,2.3207085068045394,2.146325442925554,2.1086657372050457,2.033640853214031,1.944121801970034,2.168726057863111,2.168782133190746,2.129448927608532,1.997437153087696,2.001449952579708,1.972920794392056,2.043190305168433,2.057631896309909,2.0130641969330485,2.1352225560190177,2.2168141057670807,2.2110883063197875,,,,,2.042842986311786,1.9166133276426076,1.1587616708145672,1.1299955363145306,1.1186582950549029,,,,,1.1450559130472766,2.2300214832701344,2.3739378931799746,2.3371555420828045,2.375688387444208,2.428693817920585,2.8500747802138053,2.984148805626179,3.06193753658728,3.096975862516351,3.105976767596306,3.183556415742621,3.177298193227484,3.168192709267815,3.157692504541401,,3.171981840819119,3.272566254953836,3.355360594358584,3.418627275690997,3.4650468690263194,3.523668197520407,3.6176439006709113,3.802775215223149,4.273770600681656,4.3655902997453255,4.027905854086869,4.019897206090191,3.896726781247999,3.864324857618609,3.553379523493895,2.897112095032443,2.2138227804498247,,2.1481384218513075,,,1.5369772838932576,1.277830234106241,1.8299528052895264,1.9142928542550248,2.204683181913652,2.1651581456701896,2.554893964268805,2.8292710460696093,2.862928177995852,3.012309638393588,3.029335103902492,3.11892017918956,3.060591703248033,3.124477222248488,3.178682572681182,3.188835886664383
000009.SZ,5.357107119248228,5.375152525244322,5.408246651986165,5.532404215535838,5.537829371950083,5.610985359571695,5.766876219801634,5.849812184681905,5.745217319020961,5.669437208232695,5.670469813193632,5.443806937062663,5.431033113636266,5.294735147668927,5.11046164278946,5.020361701041431,4.889408146657518,4.716039040691464,4.655114680363138,4.552456979333408,4.5089811203776815,4.540208858365401,4.480824591606915,4.416358624162074,4.35054039707499,4.365905822184286,4.499179186678843,4.433237667024188,,,,,3.8135469748252935,3.7967823071648983,3.674022587133459,,2.657207957794835,2.637074302012132,2.5177574650542045,2.5015082462454625,2.772253431313476,3.4008933283470437,,,3.168861349262995,3.4325607965325355,3.483470055837256,3.4139292053696626,3.884171569275458,4.016423957937475,4.137424520464874,4.206640375110123,4.279265890551236,4.359207024779272,4.350499675972997,4.362569907245588,4.420064125157557,4.408326962159558,4.3985288568819865,4.430706215753934,4.552153967300877,4.616608012886927,4.634591677967617,4.699325089520936,4.733978694401586,4.696290186233448,4.609395627969949,5.454057478137604,6.070817615030322,5.87239540463489,5.427194523338346,5.337203119075009,5.171348490370766,4.5960823047413815,4.342430426486903,3.9277261253703823,3.8805719110199552,4.250331130923438,4.03698949674856,3.9763088623872735,3.795685254264552,4.040403261740948,4.224888349527302,4.358088769125989,4.294721995724042,4.28489347034758,4.546838297164832,4.591862242929306,4.52780772281189,4.5236322118092485,4.571540481766041,4.574807249385383,4.609771077348151,4.61488698531174,4.597192719912529
000010.SZ,,,,0.2993258663682951,0.147340158877432,0.1834259171183042,0.4525456822733539,,,0.2641765620296004,0.415570475768682,,,,,,,,,,,0.6096912514361132,0.8775291992826422,0.8806828430260062,1.1757665389569618,1.2895312963298171,1.4019754523643455,1.583421346134871,1.6538989900739456,1.7434557428203714,1.7105516801441225,1.708668038426493,1.8127946598741784,1.9089322362589685,1.8080189152164412,,,,,,,1.823178002180293,2.44755667307294,2.7388130969654947,3.0117782028487494,3.2425595106035465,3.322111133255831,3.2665013606340767,3.704256601640376,3.80583054656787,3.9167877249321537,3.954774522156166,3.954641613914844,4.0062165188659415,3.994757089144509,4.000284016199439,3.994378567207956,3.988686861204631,3.9858353654279632,4.080693532478955,4.169517102436551,4.303567859769394,4.382481539515723,4.489590225541946,4.547940031139221,4.798131753807475,4.724711723377426,5.002094732243959,5.341599106311625,5.11248934276218,4.449096412601891,4.4318492895493575,4.171865592685743,3.918783003210448,3.648980828204252,3.825873500332679,3.9615253566598776,4.178651270494813,4.0970796541926005,3.7246712040277368,3.710547965494373,3.4336110097983576,3.33302760938991,3.2460768512510176,3.199663497847992,3.176709059693903,3.5025544678914877,3.3463248782997743,3.2299986735709307,2.893434592285816,2.8638201730683024,2.842766152238484,2.774284586594597,2.695341176008954,2.6493686514963164
000011.SZ,4.922296864708159,5.078613605342871,5.192255110508468,5.382666523595116,5.146519098236412,4.825856415103146,4.935321377111745,4.891793829071784,4.800339148918244,4.827483787702351,5.15484021979438,5.1830066971543545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000012.SZ,5.7852733555856775,5.788562551129705,5.921655363583183,5.948408434028629,5.966891281671054,6.055649259845021,,5.810245175118893,5.865953328098083,5.835095875829804,5.837802496876013,5.730605211057791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000014.SZ,4.579787910103272,4.633650859901962,4.821970658448163,5.042706993471975,4.86936013429545,4.56790436757321,4.744581488980522,4.668586798330923,4.584734187835116,4.645318328837532,4.998771686064831,5.20351004576191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000016.SZ,3.98072368351017,3.9880278110589553,4.118557579725122,4.180055030020268,4.110584531984541,3.97902084116949,4.080792876398757,4.053808748294321,4.009135892795067,4.050833693751045,4.229732664178115,4.085351309609771,4.187393678430768,4.111426295362694,4.145836195219982,4.083296250158714,3.991273433887935,3.9681960590944554,3.7887957202756297,3.679330333448175,3.561187342136771,3.41270116957984,3.421398432937381,3.474547574391744,3.526211350849893,3.5872571146240806,3.582646501337317,3.5247086147097377,3.532364130301405,3.6778993034602783,3.5769105020745107,3.5854189507802974,3.476180165798917,3.5934467735474795,3.336731341820443,2.573023271653258,2.405589994734638,2.3527775908409168,2.417292337630749,2.473883747012647,,,,,0.9239316181030802,1.178283481207987,1.3648240133449026,1.441431430971814,2.2005538315550446,2.424891334865211,,2.522920002028268,2.576270472438196,2.6779780520552707,2.7054447137518483,2.737270767340571,2.756418711679096,2.7844998023884133,2.757583690075057,2.826872488557604,2.8861264666393174,2.918380925100245,2.95033753557527,2.963774958237921,2.9547269500888342,2.92694891097821,3.442306737167501,4.227527045727574,5.295523719405853,5.668358233033711,5.6589675234680925,5.573385440198777,5.57503436201271,5.576727605068546,5.23492821555566,5.174559809068741,5.24449003465992,5.2368829391288045,5.010257906891928,4.808489307254394,4.5856958301909145,4.477059935975394,4.582080982246664,4.64499319028188,4.581504170331058,4.358873093712679,4.87966545269967,4.76062568766413,4.730499233714911,4.669840157091198,4.696815815714615,4.664302218361575,4.6301842316896105,4.638209086986794,4.644392571427624
000017.SZ,3.074593390702827,3.1068178994091125,3.229626043436717,3.375489910005687,3.309520611001313,3.288646906004439,3.3321286558058447,3.2461704436223138,3.1184596287006783,3.021293092559297,,,,,,,,,,,,,,,0.4202708535302057,0.3860502054921902,0.2765941783987256,0.2382438171718305,0.378248195023443,0.456212039333192,0.5031374536453883,0.4883986865235764,0.7270717691678529,0.835940582782779,0.804195933372376,0.3926431109865364,0.6633760455279778,0.7825554360502773,0.8485532008232125,1.049207724948591,1.1620750912745934,1.5464079662096744,3.074606357429842,3.7380271344917153,4.0066446547875625,4.205780591497306,4.306497324054525,4.378586854853067,4.568532315872007,4.7188362092221645,4.862626828276706,4.887585556490501,4.969888986245377,4.974400015009781,,4.922489681138663,4.926708353325343,4.896909060392729,4.858917529749999,4.950795294691357,5.147771298774825,,5.259007372886202,5.375296246325144,5.357962601883515,5.559032738289232,5.812724644349013,5.510972639594781,5.4957628339917095,5.2048276761591215,4.652171108109236,4.376140486976485,3.92530029510852,3.5603655632501976,3.073604260031769,2.857244762776915,2.6998243790132244,3.0789635771906383,2.754110144969972,2.942309779860264,3.1200384053437022,3.389263932494788,3.7457393757947735,4.005406038774532,3.8940068764637967,3.727917083860081,3.925602199621598,3.82408513672885,4.061335422595547,4.047984426101003,4.140419219507512,4.222709173882354,4.185410492469113,4.241517791570745,4.235070592866306
000018.SZ,2.943035619900788,3.0288503145981167,3.043671530558539,3.0443451052190507,2.896805488450362,3.028744576940177,3.182292444726135,3.168134386861424,2.9002426996089983,2.640825334199131,2.616720502815431,2.48435507846826,2.508503356029768,2.4551390882323867,2.2764638552660843,2.2229134928302643,2.230637151503301,2.3471037541733955,2.4879200916910515,2.4064016634229657,2.254930868176288,2.2571148922185547,2.2942888639719423,2.2882171482802653,2.253421297231501,2.1342087096502165,1.9404850333392416,1.9076580657861235,1.908303930269448,,,,,1.474594010810249,1.5124708506807203,1.5468602795202555,1.7591084065732354,1.739791195959266,1.6387316068930808,1.8022430192791097,,2.249994651255126,3.439881100683446,4.033865872992421,4.222359245012025,4.424224242691993,4.500119515928272,4.467910610623521,4.575953010295812,4.736316717117208,4.81836070557055,4.845689640501967,4.909410910223474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
