,DEA,DIF,DTOA_barra,LNCAP_barra,MACD,MIDCAP_barra,PSY,ROA_ttm,RSI,RSTR_barra,SP,STOA_barra,STOM_barra,STOQ_barra,bias_turn_12m,bias_turn_1m,bias_turn_3m,bias_turn_6m,exp_wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,ln_capital,std_12m,std_1m,std_3m,std_6m,turn_12m,turn_1m,turn_3m,turn_6m,wgt_return_12m,wgt_return_1m,wgt_return_3m,wgt_return_6m
2012-01-31,-0.13452034768847723,-0.12079759672533623,0.030189073699297075,-0.013498471280827257,0.03728626947184345,-0.02866111201044108,-0.017685601044309978,-0.036172121963874246,-0.08999287321272365,-0.18117146246667998,0.018326233038796665,0.04924974664247591,0.10555086055802979,0.07199137981959554,0.033675711769765436,0.08167421556937914,0.05996697775028866,0.05387926604548799,-0.07190918595434984,-0.08525696301985922,-0.07600904566365982,-0.07045693106527948,-0.013498471280827257,0.1194339809787845,0.1782181914730796,0.17075013603882117,0.14398507854674955,0.048762977553833554,0.08382799684637916,0.06265974283784201,0.05060790077545908,-0.004853527696888923,-0.04245695147364264,-0.055808694124448444,-0.08320130271596433
2012-02-29,0.01057896234039959,-0.006157340239603269,-0.03241600243796649,0.006481306824980747,-0.009288095437381596,-0.02640544263817495,0.06626462249766366,0.02144789216117518,0.02577065871658188,0.10108552916515896,-0.02150905395551909,-0.12776649018237662,-0.22170037780301208,-0.20194274924697367,-0.13441512070753997,-0.18700433176653827,-0.18887147392756104,-0.17339054316150476,-0.1459182953131871,-0.06321932683286904,-0.1660352726520184,-0.17741477147123455,0.006481306824980747,-0.13865727613528378,-0.1732486562625906,-0.16639811226317056,-0.15965617335062252,-0.1383845976459595,-0.2067891498636623,-0.2002400603668564,-0.17583129057708952,-0.06343786983484935,-0.18343057715499425,-0.1260357823117233,-0.10129281310547733
2012-03-30,-0.06166378900121876,-0.061968246428037395,0.02611682005355509,0.013590167543741935,-0.0001746864955198024,-0.07851299368879519,-0.07820822603585378,-0.08032588977963859,-0.10461310698269395,-0.14336973460722405,0.073221992783294,-0.04465808626296308,-0.11899463839151717,-0.10683563286640661,-0.052154112452418966,-0.11141643178795661,-0.11199411557791027,-0.11466095326203588,-0.0576155876932168,0.043914348722695805,-0.018352572335795837,-0.027974604128110196,0.013590167543741935,-0.04358437643149768,-0.028491115345731843,-0.04871300244780587,-0.052247853007116075,-0.0916064290055591,-0.14230348051857836,-0.1273327256465605,-0.11522703077617989,-0.07818038219028006,-0.04244396468481744,-0.05672438454840252,-0.08424619044109499
2012-04-27,-0.006466427199558872,-0.02461737178126008,0.0031549034717648695,-0.015288626781802962,-0.0916348165161684,0.017560838842778072,-0.04419390859415522,0.047853903771459934,-0.05449250392128588,0.03143768291645455,-0.0806096923415101,-0.0038925895447409894,-0.04731425092004966,-0.0219401054730128,-0.004869752254464156,-0.07759280576209894,-0.03554698873690838,0.012959454638187902,-0.02662393836108605,-0.03554277504705587,-0.04869249502941221,-0.038528188004958386,-0.015288626781802962,-0.0011432971728231223,-0.026899594070977317,-0.03878456623964223,-0.008376387146020844,0.00850547853017875,-0.048489220036103994,-0.0061423435985272085,0.016476627509078128,0.0005976147697407695,-0.04752599222692033,-0.015995221006426755,-0.016084751613987733
2012-05-31,0.015480882845217259,0.02667599035132908,-0.030119886593806953,-0.030913705407907225,0.011055316589103139,0.14343889454989675,0.04222064485213427,0.14690825031225466,0.031244473971625185,0.046548109014425416,-0.045483593157175095,-0.1244737537584751,-0.08350107038941278,-0.10399686090275734,-0.036903709096265426,-0.06784778646705006,-0.06545605463451419,-0.03795856006926544,-0.0831092378219107,-0.010493152376620872,-0.05395343523840353,-0.06650952465151252,-0.030913705407907225,-0.11460305910267175,-0.06396113971872357,-0.12267810401232136,-0.11520330261678774,-0.027800944916848324,-0.053476105698848586,-0.0393686722948145,-0.03351963207916553,-0.08446846543558299,-0.010586915152487714,-0.06631955490213781,-0.11500074014628785
2012-06-29,-0.01491365838481799,-0.016447096120506363,-0.04188450930804997,0.005110458284453527,-0.014439664976734962,-0.01936648065528507,-0.01672284261783645,0.09249741111089364,-0.0004631192699070506,0.059221506262539476,-0.004766591741302655,-0.08769615024444014,-0.14535872768290295,-0.10329732001569747,-0.0805321848529783,-0.09967461038508738,-0.05179903409501802,-0.04837926891968946,-0.07878891783213356,-0.03747322757845788,-0.08721499530754966,-0.07971159183460393,0.005110458284453527,-0.14616035957294865,-0.13568338681173747,-0.10717807231841593,-0.12667650059713012,-0.10327205942820511,-0.14359963557625305,-0.11426308147428312,-0.11685262672823564,-0.057882227451506486,-0.07344664630998998,-0.04679470509354848,-0.06930285206842941
2012-07-31,0.024061746523683546,0.017262132841696257,0.0723801861636858,-0.05697023163910199,-0.054032297993442314,0.008797864734139951,-0.05097390276181255,-0.09062929385044766,-0.10283442944560114,-0.03208848529985405,-0.031674995128116924,-0.0768450860237521,-0.11300333677351435,-0.09682255058608226,-0.04888174411063227,-0.09268250776170225,-0.07619956191495719,-0.057203259754583895,-0.04638890885164055,-0.08174959499684956,-0.050989511017337036,-0.0583643633469952,-0.05697023163910199,-0.027012552404464898,-0.04840747813280558,-0.019790969737047394,-0.012225773516893317,-0.05924614247180864,-0.09117420349527874,-0.08111972977744726,-0.06784578891293347,-0.03776399682416704,-0.06572099795311315,-0.02441241432480829,-0.039252343424346185
2012-08-31,-0.12837486223696068,-0.10503228862330932,0.06930246792871675,-0.024902461394107806,-0.011738689915093437,0.05313728182092566,0.006815277527953271,-0.07529471072996055,-0.07145466149701929,-0.12375454871821777,0.038952960436436965,-0.02917552317167119,-0.11383655047104221,-0.09657844700674578,-0.07240126870712783,-0.11934639926360444,-0.11060155827871372,-0.08676424924205821,-0.13195365314214003,-0.08936304989241797,-0.09401266299317856,-0.12884748694689563,-0.024902461394107806,-0.035590088754223245,-0.07310813984799072,-0.06751274117626802,-0.05784901719471393,-0.07539357535171025,-0.14993463524164402,-0.12497052428734175,-0.10334488199948867,-0.07964967062397736,-0.11877581468203598,-0.1472837252968872,-0.09834920771424699
2012-09-28,0.0015901454277834255,0.004715314150363551,0.11026614287556658,-0.0012619770685049036,-0.006954110406504213,-0.02841200918319927,-0.0685574557846874,-0.08743532807663068,-0.046018636844188936,-0.038468176768976674,0.08900490313262477,-0.12648580767007453,-0.17035677425068488,-0.15121036023110063,-0.09143762126113646,-0.11055325086217493,-0.08096862416074187,-0.0872488793809322,-0.054328075254964324,-0.022186498130596255,-0.03309774575247088,-0.0466268170247609,-0.0012619770685049036,-0.08762112737155776,-0.10268118828635756,-0.0844165536100434,-0.09627805045025653,-0.13314594124232068,-0.16853543244425392,-0.13887835060092854,-0.13455326982015925,-0.046977670477181946,-0.10362278318760448,-0.06309954782360702,-0.06770921433232566
2012-10-31,0.06152111231963945,0.09979118116312159,0.030196908322599445,-0.012230004668782088,0.15278887452594828,0.13789588779642653,0.06940473828424587,-0.0258452958863044,0.04642760015227623,-0.034196759753009356,0.06018531091223292,-0.1685092011646334,-0.17142507058626338,-0.18478938525237756,-0.13649439110222963,-0.09734020326118616,-0.14763426821927106,-0.16074238487368833,-0.0840156462125944,0.10534131207902847,0.03416661555059905,-0.03395265517453214,-0.012230004668782088,-0.22933506448852783,-0.12819968303848922,-0.1851344996694754,-0.21284284524794103,-0.11229761969794481,-0.14912730352163844,-0.163331005581221,-0.15673149275342463,-0.13132430007117799,-0.019191272391239265,-0.09822395437658997,-0.1376117217408248
2012-11-30,-0.21177554193306877,-0.2190606756540306,-0.04094781009244904,0.03150727866550661,-0.1518252369830675,0.04695437072692008,-0.05443001372375123,0.16515567656856725,-0.14205429203858488,-0.14755437513597147,-0.01863101980153572,0.1964988797209067,0.22071809084153332,0.2520895651284002,0.1740688601833975,0.07342935872565129,0.10187447269365393,0.16652402212433218,-0.13812228050790715,-0.25487707145130023,-0.2545151825209711,-0.2219004869844157,0.03150727866550661,0.2109534675148534,0.16612469032877794,0.2049656944289739,0.23175900143292624,0.2573306376902553,0.21835683343150408,0.2406391413705468,0.2646153821729141,0.0038173568232256413,-0.1863458484032905,-0.11101916961992568,-0.07474777516293883
2012-12-31,-0.11825347883539152,-0.056538089750146375,0.05266930255358616,0.0537661504435248,0.038296551832233634,-0.16248119734615094,0.03934678528571568,-0.03877146175283725,-0.029545237488652544,-0.01495307151733886,-0.04826383327763177,-0.03673140919203333,-0.1329950731013639,-0.08516816018339186,0.03023805122085555,-0.09684522384608138,-0.026412435878586497,-0.007712625759803407,-0.1268544861711481,-0.08654131133788154,-0.12779375392529926,-0.12926987728634903,0.0537661504435248,-0.03813232071985448,-0.11999431170086454,-0.05313274181143154,-0.045474497186158286,-0.08741533317599713,-0.15558499188889036,-0.10543373970364213,-0.09702172948303862,0.002941972536779059,-0.13875248366403817,-0.09744039571081425,-0.03523043242751013
2013-01-31,0.07711082236585709,0.05426625000960051,-0.019678094293493677,0.0025820089809498177,-0.008530498479851278,-0.032575367045511575,-0.003539949598398673,0.03702289633673017,-0.02086701661179397,0.06699689224831641,-0.05713965604519441,0.01941254778415096,-0.005900855258514865,0.01581846302770971,0.0032329047275600088,-0.011813414224788684,0.005982003877600098,0.020384137987444224,-0.0020739810496399305,-0.04361163680870712,-0.014467501083215017,0.0010142750134895025,0.0025820089809498177,0.027416610136100583,0.06951219732138264,0.06546057271588084,0.050206893845767285,0.0031507146388584503,0.0007441809614157292,0.00915567203414379,0.011521467256199455,0.004367187510076964,-0.0011993694644364867,-0.006474773995590064,0.013314600874346126
2013-02-28,0.05738743005191987,0.06634228172310741,0.05792083176894075,-0.002539636809794406,0.028950345587004465,-0.03608628956655042,0.01964164058261211,-0.02022215682826601,-0.032016592793293476,0.13795780187241566,-0.049873379712589615,-0.12018517305646934,-0.1862482671188744,-0.1930512600658165,-0.05170404461865681,-0.13173047436022112,-0.15440962843534767,-0.0988386914747659,-0.14975740130446094,-0.07845514499660161,-0.10275116880023026,-0.14312775972289385,-0.002539636809794406,-0.1013623244668233,-0.09973332925206697,-0.16996386647545486,-0.13430780676284332,-0.11484596876361716,-0.1820355035868524,-0.18799825749440874,-0.14634893046956063,-0.0681686738171456,-0.09016738471929235,-0.17834008184489372,-0.16545053128664333
