,,,0
2012,SP,ICIR,0.04682433397003327
2012,SP,IC>0概率,0.4166666666666667
2012,STOA_barra,t值绝对值平均值,4.095869691259644
2012,STOA_barra,t值绝对值>2概率,0.75
2012,STOA_barra,因子收益平均值,-0.002809241144799201
2012,STOA_barra,因子收益标准差,0.00796846019207325
2012,STOA_barra,因子收益t值,-1.1692596308877645
2012,STOA_barra,因子收益>0概率,0.3333333333333333
2012,STOA_barra,IC平均值,-0.04837378923764815
2012,STOA_barra,IC标准差,0.09441696253413281
2012,STOA_barra,ICIR,-0.5123421463612586
2012,STOA_barra,IC>0概率,0.16666666666666666
2012,STOM_barra,t值绝对值平均值,5.821373638175889
2012,STOM_barra,t值绝对值>2概率,0.9166666666666666
2012,STOM_barra,因子收益平均值,-0.004975855315889586
2012,STOM_barra,因子收益标准差,0.009606316139641012
2012,STOM_barra,因子收益t值,-1.717936912965038
2012,STOM_barra,因子收益>0概率,0.16666666666666666
2012,STOM_barra,IC平均值,-0.08268474324751669
2012,STOM_barra,IC标准差,0.12017052330790065
2012,STOM_barra,ICIR,-0.6880617723171766
2012,STOM_barra,IC>0概率,0.16666666666666666
2012,STOQ_barra,t值绝对值平均值,5.326520199897549
2012,STOQ_barra,t值绝对值>2概率,0.8333333333333334
2012,STOQ_barra,因子收益平均值,-0.004296702685352446
2012,STOQ_barra,因子收益标准差,0.009425571157673753
2012,STOQ_barra,因子收益t值,-1.5119031414265616
2012,STOQ_barra,因子收益>0概率,0.16666666666666666
2012,STOQ_barra,IC平均值,-0.06904171890137918
2012,STOQ_barra,IC标准差,0.11855374535792686
2012,STOQ_barra,ICIR,-0.5823664085258091
2012,STOQ_barra,IC>0概率,0.16666666666666666
2012,bias_turn_12m,t值绝对值平均值,3.1440439927452886
2012,bias_turn_12m,t值绝对值>2概率,0.75
2012,bias_turn_12m,因子收益平均值,-0.002188979308127939
2012,bias_turn_12m,因子收益标准差,0.005967798715671635
2012,bias_turn_12m,因子收益t值,-1.2165328263915933
2012,bias_turn_12m,因子收益>0概率,0.16666666666666666
2012,bias_turn_12m,IC平均值,-0.03500894011423121
2012,bias_turn_12m,IC标准差,0.08211896040048709
2012,bias_turn_12m,ICIR,-0.42631981631885774
2012,bias_turn_12m,IC>0概率,0.25
2012,bias_turn_1m,t值绝对值平均值,4.4429249115386495
2012,bias_turn_1m,t值绝对值>2概率,1.0
2012,bias_turn_1m,因子收益平均值,-0.005680176781326131
2012,bias_turn_1m,因子收益标准差,0.005214287219171886
2012,bias_turn_1m,因子收益t值,-3.6129607623607916
2012,bias_turn_1m,因子收益>0概率,0.16666666666666666
2012,bias_turn_1m,IC平均值,-0.07543333140570417
2012,bias_turn_1m,IC标准差,0.0739556609400917
