,BETA_barra,BIAS,BLEV_barra,BP,BTOP_barra,CETOP_barra,CMRA_barra,DASTD_barra,DEA,DIF,DP,DTOA_barra,EP,EPcut,ETOP_barra,G/PE,HALPHA_barra,HAlpha,HSIGMA_barra,LNCAP_barra,MACD,MIDCAP_barra,MLEV_barra,NCFP,OCFP,OCF_G_q,PSY,Profit_G_q,ROA_q,ROA_ttm,ROE_G_q,ROE_q,ROE_ttm,RSI,RSTR_barra,SP,STOA_barra,STOM_barra,STOQ_barra,Sales_G_q,assetturnover_ttm,beta,bias_turn_12m,bias_turn_1m,bias_turn_3m,bias_turn_6m,cashratio,currentratio,debtequityratio,exp_wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,financial_leverage,grossprofitmargin_q,grossprofitmargin_ttm,ln_capital,return_12m,return_1m,return_3m,return_6m,std_12m,std_1m,std_3m,std_6m,turn_12m,turn_1m,turn_3m,turn_6m,wgt_return_12m,wgt_return_1m,wgt_return_3m,wgt_return_6m
2012-05-31,0.25665399239543724,0.007129277566539924,0.12404942965779468,0.010931558935361217,0.010931558935361217,0.0009505703422053232,0.10123574144486693,0.10123574144486693,0.0,0.0,0.43393536121673004,0.0004752851711026616,0.09315589353612168,0.055133079847908745,0.09315589353612168,0.09600760456273764,0.25665399239543724,0.23954372623574144,0.25380228136882127,0.0,0.0,0.0,0.13450570342205323,0.0004752851711026616,0.0009505703422053232,0.0004752851711026616,0.0,0.003326996197718631,0.0185361216730038,0.0,0.09363117870722433,0.010931558935361217,0.010931558935361217,0.0,0.0,0.0009505703422053232,0.0,0.0,0.0,0.005703422053231939,0.0014258555133079848,0.23954372623574144,0.0,0.0,0.0,0.0,0.019011406844106463,0.019011406844106463,0.010931558935361217,0.0,0.0,0.0,0.0,0.011406844106463879,0.02091254752851711,0.02091254752851711,0.0,0.09695817490494296,0.008079847908745247,0.025665399239543727,0.04277566539923954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-30,0.06222707423580786,0.006004366812227074,0.07478165938864628,0.0027292576419213972,0.0027292576419213972,0.0032751091703056767,0.05786026200873363,0.05786026200873363,0.0,0.0,0.24672489082969432,0.0005458515283842794,0.11517467248908297,0.06877729257641921,0.11517467248908297,0.125,0.06222707423580786,0.06222707423580786,0.06222707423580786,0.0,0.0,0.0,0.07532751091703056,0.0032751091703056767,0.0032751091703056767,0.006550218340611353,0.0,0.009825327510917031,0.021834061135371178,0.0,0.05131004366812227,0.0027292576419213972,0.002183406113537118,0.0,0.0,0.0,0.0,0.0,0.0,0.010917030567685589,0.0,0.06222707423580786,0.0,0.0,0.0,0.0,0.02237991266375546,0.02237991266375546,0.0027292576419213972,0.0,0.0,0.0,0.0,0.0016375545851528383,0.02237991266375546,0.021834061135371178,0.0,0.04475982532751092,0.006004366812227074,0.019650655021834062,0.034388646288209604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-31,0.1906900775826868,0.012658227848101266,0.053082890975908535,0.0004083299305839118,0.0004083299305839118,0.0,0.13964883625969784,0.13964883625969784,0.0,0.0,0.4160881992650061,0.0,0.06655777868517762,0.05226623111474071,0.06655777868517762,0.06859942833809718,0.1906900775826868,0.175990200081666,0.1906900775826868,0.0,0.0,0.0,0.05349122090649244,0.0,0.0,0.0008166598611678236,0.0,0.002041649652919559,0.023683135973866884,0.0,0.11719069007758269,0.0008166598611678236,0.0008166598611678236,0.0,0.0,0.0,0.0,0.0,0.0,0.002449979583503471,0.0004083299305839118,0.175990200081666,0.0,0.0,0.0,0.0,0.024091465904450795,0.023683135973866884,0.0004083299305839118,0.0,0.0,0.0,0.0,0.0008166598611678236,0.024091465904450795,0.024091465904450795,0.0,0.1376071866067783,0.012658227848101266,0.04287464271131074,0.09105757452021233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-28,0.18134445023449713,0.0,0.060969254820218866,0.010422094841063054,0.010422094841063054,0.0005211047420531526,0.061490359562272015,0.061490359562272015,0.0,0.0,0.29129755080771236,0.0005211047420531526,0.11776967170401251,0.0484627410109432,0.11776967170401251,0.11776967170401251,0.18134445023449713,0.16571130797290257,0.17873892652423137,0.0,0.0,0.0,0.061490359562272015,0.0005211047420531526,0.0005211047420531526,0.0,0.0,0.0,0.02136529442417926,0.0,0.06930693069306931,0.010943199583116207,0.009900990099009901,0.0,0.0,0.0005211047420531526,0.0,0.0,0.0,0.0020844189682126106,0.0005211047420531526,0.16571130797290257,0.0,0.0,0.0,0.0,0.02136529442417926,0.02136529442417926,0.011464304325169358,0.0,0.0,0.0,0.0,0.011464304325169358,0.023970818134445022,0.022928608650338717,0.0,0.0583637311099531,0.0,0.0,0.006774361646690985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-31,0.22019374068554395,0.004098360655737705,0.05551415797317437,0.0014903129657228018,0.0014903129657228018,0.0,0.13375558867362147,0.13375558867362147,0.0,0.0,0.27459016393442626,0.00037257824143070045,0.06743666169895678,0.04955290611028316,0.06743666169895678,0.084575260804769,0.22019374068554395,0.22019374068554395,0.22019374068554395,0.0,0.0,0.0,0.05663189269746647,0.0,0.0,0.004843517138599106,0.0,0.01713859910581222,0.022727272727272728,0.0,0.11922503725782414,0.0014903129657228018,0.0014903129657228018,0.0,0.0,0.0,0.0,0.0,0.0,0.01713859910581222,0.0,0.22019374068554395,0.0,0.0,0.0,0.0,0.023099850968703428,0.022727272727272728,0.0018628912071535022,0.0,0.0,0.0,0.0,0.0014903129657228018,0.023099850968703428,0.022727272727272728,0.0,0.13077496274217584,0.004470938897168405,0.02459016393442623,0.05849478390461997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-31,0.13901572805682394,0.008117706747843734,0.061390157280568236,0.0030441400304414,0.0030441400304414,0.0,0.09183155758498224,0.09183155758498224,0.0,0.0,0.26382546930492135,0.0,0.13952308472856417,0.0715372907153729,0.13952308472856417,0.1445966514459665,0.13901572805682394,0.1385083713850837,0.13901572805682394,0.0,0.0,0.0,0.06341958396752917,0.0,0.0,0.004058853373921867,0.0,0.0050735667174023336,0.022323693556570268,0.0,0.06189751395230847,0.0025367833587011668,0.0025367833587011668,0.0,0.0,0.0005073566717402334,0.0,0.0,0.0,0.0060882800608828,0.0,0.1385083713850837,0.0,0.0,0.0,0.0,0.0228310502283105,0.022323693556570268,0.0030441400304414,0.0,0.0,0.0,0.0,0.0035514967021816335,0.0228310502283105,0.0228310502283105,0.0,0.08777270421106037,0.008117706747843734,0.008117706747843734,0.008625063419583967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-31,0.1926397092230804,0.0,0.05679236710586097,0.007269422989550204,0.007269422989550204,0.00045433893684688776,0.0667878237164925,0.0667878237164925,0.0,0.0,0.29441163107678325,0.00045433893684688776,0.1263062244434348,0.05361199454793276,0.1263062244434348,0.1263062244434348,0.1926397092230804,0.18037255792821444,0.1899136756019991,0.0,0.0,0.0,0.0595184007269423,0.00045433893684688776,0.00045433893684688776,0.0,0.0,0.0,0.0186278964107224,0.0,0.06406179009541117,0.00817810086324398,0.00817810086324398,0.0,0.0,0.00045433893684688776,0.0,0.0,0.0,0.001817355747387551,0.0013630168105406633,0.18037255792821444,0.0,0.0,0.0,0.0,0.0186278964107224,0.0186278964107224,0.008632439800090867,0.0,0.0,0.0,0.0,0.008632439800090867,0.020899591094956836,0.019990913221263062,0.0,0.06360745115856428,0.0,0.002271694684234439,0.019990913221263062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-29,0.22363977485928704,0.00375234521575985,0.054409005628517824,0.001876172607879925,0.001876172607879925,0.0,0.14896810506566605,0.14896810506566605,0.0,0.0,0.2701688555347092,0.0,0.0675422138836773,0.04878048780487805,0.0675422138836773,0.07917448405253283,0.22363977485928704,0.22363977485928704,0.22063789868667918,0.0,0.0,0.0,0.055159474671669796,0.0,0.0,0.00150093808630394,0.0,0.011632270168855536,0.022889305816135085,0.0,0.11482176360225141,0.00150093808630394,0.001125703564727955,0.0,0.0,0.0,0.0,0.0,0.0,0.011632270168855536,0.0,0.22363977485928704,0.0,0.0,0.0,0.0,0.02326454033771107,0.022889305816135085,0.001876172607879925,0.0,0.0,0.0,0.0,0.00150093808630394,0.02326454033771107,0.022889305816135085,0.0,0.14221388367729831,0.004127579737335835,0.027392120075046905,0.06078799249530957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-28,0.12147361433786924,0.0023232658479920344,0.04945237305011616,0.006637902422834384,0.006637902422834384,0.0,0.03484898771988052,0.03484898771988052,0.0,0.0,0.309658148025224,0.0,0.1257882509127116,0.11118486558247594,0.1257882509127116,0.12678393627613674,0.12147361433786924,0.12246929970129439,0.12047792897444408,0.0,0.0,0.0,0.05044805841354132,0.0009956853634251576,0.0,0.0,0.0,0.0009956853634251576,0.0258878194490541,0.0,0.032193826750746765,0.005642217059409226,0.005642217059409226,0.0,0.0,0.0019913707268503153,0.0,0.0,0.0,0.0009956853634251576,0.0,0.12246929970129439,0.0,0.0,0.0,0.0,0.0258878194490541,0.0258878194490541,0.006306007301692665,0.0,0.0,0.0,0.0,0.005974112180550946,0.0258878194490541,0.027215399933620977,0.0,0.03352140723531364,0.0023232658479920344,0.009956853634251576,0.019913707268503153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-27,0.2231648838067134,0.004057543341940244,0.058281077093323495,0.0022132054592401327,0.0022132054592401327,0.0,0.10697159719660641,0.10697159719660641,0.0,0.0,0.31243083732939875,0.0,0.061600885282183694,0.049059387679822944,0.061600885282183694,0.061600885282183694,0.2231648838067134,0.2231648838067134,0.22279601623017337,0.0,0.0,0.0,0.06233862043526374,0.00036886757654002215,0.0,0.0,0.0,0.0,0.02434526005164146,0.0,0.05901881224640354,0.0022132054592401327,0.0022132054592401327,0.0007377351530800443,0.0,0.0,0.0,0.0,0.0,0.00036886757654002215,0.0,0.2231648838067134,0.0,0.0,0.0,0.0,0.02434526005164146,0.02434526005164146,0.0025820730357801547,0.0,0.0,0.0,0.0,0.0036886757654002213,0.02434526005164146,0.02471412762818148,0.0,0.10217631870158612,0.0033198081888601992,0.010697159719660641,0.03541128734784212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
