,年度收益,年度波动,夏普比率,最大回撤,年度超额收益,跟踪误差,信息比率,日胜率,换手率
2014,0.7139912221820157,0.19116087629036088,3.5257801452964,0.09734273605244226,0.07396994870824014,0.044178273363177346,0.7689288449320464,0.5669642857142857,8.459405704331134
2015,0.1092343604990611,0.3857713031207986,0.17946996041170374,0.4219555633427091,0.07980572338687719,0.0693590855649924,0.6044014365533249,0.48770491803278687,7.894301969065101
2016,-0.010008045804586474,0.22931316634694068,-0.2180775164428479,0.18513496036672217,0.037385507799016615,0.05572148117543424,-0.048316323578071786,0.5614754098360656,11.267639075629116
2017,0.19751344122564563,0.09955709529253468,1.582141792735257,0.06390040024608479,-0.007580899670735386,0.030408859518846247,-1.5677417099299769,0.5040983606557377,7.8715849504937365
2018,-0.22185777707123044,0.20848545547539207,-1.2560002158142778,0.2809999413642479,0.0553001258489374,0.03389842928794159,0.45395159188225104,0.5185185185185185,8.154804408819526
2019,0.4167376849751876,0.19484325616108403,1.9335423375583747,0.13405036029409423,0.026324091444325237,0.03652374396014418,-0.3798363795544673,0.5573770491803278,9.133642554903425
总计,0.15578614532388757,0.24001072710360818,0.4824207097789626,0.4394601361452021,0.04048351434181541,0.048097783885284906,0.010052736379052463,0.5322245322245323,9.59829764539703
