,stock_wt,industry,sec_name,mkt_cap_float,turn,amt,close
000001.SZ,0.05168677022932813,J66货币金融服务,平安银行,23780791.7806,0.006503,154295.8577,13.85
000651.SZ,0.03683886190495199,C38电气机械和器材制造业,格力电器,33185248.5764,0.014293,475735.2328,55.58
000703.SZ,0.004436778739773281,C28化学纤维制造业,恒逸石化,3526346.7849,0.0036049999999999,12562.1352,15.51
000709.SZ,0.0068083561224142435,C31黑色金属冶炼和压延加工业,河钢股份,3397405.6323,0.005424,18442.3342,3.2
000725.SZ,0.025656155321297683,C39计算机、通信和其他电子设备制造业,京东方Ａ,12189509.5975,0.012195,148582.5095,3.6
000768.SZ,0.009985588979540891,C37铁路、船舶、航空航天和其他运输设备制造业,中航西飞,4407655.8492,0.004872,21567.8634,15.92
000776.SZ,0.022467575203967003,J67资本市场服务,广发证券,9210417.518,0.005695,52602.264500000005,15.56
000792.SZ,0.004425431479569258,C26化学原料和化学制品制造业,盐湖股份,1944179.2965,,0.0,7.07
000963.SZ,0.008805473918322423,F52零售业,华东医药,5089029.4378,0.018302,91876.4426,34.9
002001.SZ,0.007432455433635549,C27医药制造业,新和成,4032936.0692,0.007613,30688.2953,19.01
002310.SZ,0.004992794489770445,E48土木工程建筑业,东方新能,1071509.9655,0.0284649999999999,30419.0218,6.58
002450.SZ,0.001180115061218469,C29橡胶和塑料制品业,康得退(退),,,0.0,5.0
002594.SZ,0.020561235489691014,C36汽车制造业,比亚迪,6499197.1991,0.0069399999999999,44772.3208,56.9
600009.SH,0.018825104678475382,G56航空运输业,上海机场,7723223.792,0.006228,47812.0021,70.63
600027.SH,0.006694883520374005,D44电力、热力生产和供应业,华电国际,2903233.367,0.004952,14394.165,4.15
600030.SH,0.038921102499801435,J67资本市场服务,中信证券,22612980.5568,0.010869,246017.8687,23.04
600050.SH,0.00986076911729663,I63电信、广播电视和卫星传输服务,中国联通,14138129.7955,0.006903,97848.7572,6.67
600066.SH,0.008396972550977566,C36汽车制造业,宇通客车,3165933.0889,0.0086509999999999,27110.0793,14.3
600153.SH,0.00485662736732216,F51批发业,建发股份,2730298.1104,0.024319,66695.3867,9.63
600271.SH,0.014637965663190625,C39计算机、通信和其他电子设备制造业,航天信息,4720921.7849,0.008895,41821.242,25.48
600276.SH,0.020130039601938113,C27医药制造业,恒瑞医药,28955741.1447,0.004417,127854.7932,65.75
600332.SH,0.010269270484641484,C27医药制造业,白云山,4872794.4083,0.024807,119132.6896,45.49
600406.SH,0.013344377999931918,I65软件和信息技术服务业,国电南瑞,5849253.4918,0.005657,32892.0183,19.93
600498.SH,0.01038274308668172,C39计算机、通信和其他电子设备制造业,烽火通信,3228855.18,0.0139779999999999,45173.272,29.29
600519.SH,0.07138561394351334,C15酒、饮料和精制茶制造业,贵州茅台,122353665.72,0.002861,350393.7512,974.0
600688.SH,0.0011120314999943264,C25石油、煤炭及其他燃料加工业,上海石化,3759681.3255,0.001351,5087.781,5.13
600705.SH,0.0044821677805893766,J69其他金融业,中航产融(退),5188316.2927,0.0059219999999999,30670.4823,5.78
600795.SH,0.0021446321785604863,D44电力、热力生产和供应业,国电电力,5325257.816,0.003686,19601.9546,2.71
600886.SH,0.015886164285633237,D44电力、热力生产和供应业,国投电力,5489892.8877,0.003098,17036.0978,8.09
600887.SH,0.023205147117228545,C14食品制造业,伊利股份,18723361.9022,0.006218,116596.3979,31.0
601006.SH,0.00011347260204023699,G53铁路运输业,大秦铁路,12666506.3503,0.002571,32242.4158,8.52
601166.SH,0.09221414898730156,J66货币金融服务,兴业银行,37952254.808,0.007933,300984.6411,19.92
601318.SH,0.09709850556583113,J68保险业,中国平安,93269241.3278,0.008473,789416.5649,86.1
601333.SH,0.00567363010201187,G53铁路运输业,广深铁路,1933065.054,0.0028699999999999,5535.109399999999,3.42
601668.SH,0.03187445391310269,E48土木工程建筑业,中国建筑,25219479.002,0.002802,70619.0646,6.13
601688.SH,0.03438219841819193,J67资本市场服务,华泰证券,11105195.1648,0.009213,102515.5409,20.4
601939.SH,0.021900212193765818,J66货币金融服务,建设银行,7137681.2589,0.011771,83606.5696,7.44
600010.SH,0.0004425431479569246,C31黑色金属冶炼和压延加工业,包钢股份,5385125.9698,0.004222,22652.6953,1.7
002008.SZ,0.01690741770399537,C35专用设备制造业,大族激光,3884173.4373,0.015607,60012.1998,39.1
600867.SH,0.011630941709124333,C27医药制造业,通化东宝,3086911.8418,0.012827,39691.5431,15.8
000898.SZ,0.004936058188750326,C31黑色金属冶炼和压延加工业,鞍钢股份,3295859.771,0.002959,9741.5459,5.36
300015.SZ,0.006309076673437199,Q84卫生,爱尔眼科,7114125.1578,0.006368,45031.8858,37.33
300017.SZ,0.00868065405607816,I65软件和信息技术服务业,网宿科技,2383869.925,0.054451,131173.16710000002,10.97
300024.SZ,0.0014524493061150376,C34通用设备制造业,机器人,2535337.5279,0.011687,29531.7086,16.75
300070.SZ,0.0027119951887616734,N77生态保护和环境治理业,碧水源,1913783.4746,0.012188,23178.0678,8.86
300251.SZ,0.001963076015296107,R87广播、电视、电影和录音制作业,光线传媒,2131250.9721,0.005163,11066.7346,7.77
