,stock_wt,industry,sec_name,mkt_cap_float,turn,amt,close
000060.SZ,0.009136101984832893,C32有色金属冶炼和压延加工业,中金岭南,2306581.4406,0.019131,44213.36022,10.43
000063.SZ,0.008249015953402312,C39计算机、通信和其他电子设备制造业,中兴通讯,4860021.7668,0.006785,32992.48837,14.34
000156.SZ,0.001709335210065509,R87广播、电视、电影和录音制作业,华数传媒,1843173.1451,0.010268,18885.12823,18.55
000423.SZ,0.017034409507204556,C27医药制造业,东阿阿胶,3454379.8259,0.008154,28298.27354,52.83
000581.SZ,0.006188972312306152,C36汽车制造业,威孚高科,1686367.1019,0.015538,26355.38474,20.16
000598.SZ,0.006778398246811501,D46水的生产和供应业,兴蓉环境,1576723.4219,0.007941,12519.73391,5.28
000776.SZ,0.015245501795980821,J67资本市场服务,广发证券,9920732.4937,0.006468,64305.64081999999,16.76
000858.SZ,0.024811884713002604,C15酒、饮料和精制茶制造业,五粮液,12347353.6403,0.00686,85156.65527,32.53
000895.SZ,0.014912476142985303,C13农副食品加工业,双汇发展,3794756.2769,0.006266,23693.1185,20.88
000963.SZ,0.011199092755601608,F52零售业,华东医药,2925564.3393,0.004707,13771.83089,67.4
000999.SZ,0.006306857499207222,C27医药制造业,华润三九,2368091.8942,0.004895,11661.6318,24.22
002007.SZ,0.010138126073491984,C27医药制造业,华兰生物,2518389.0553,0.011717,29803.84178,31.4
002038.SZ,0.008251963083074873,C27医药制造业,双鹭药业,1711196.9611,0.024462,41250.50873,30.18
002142.SZ,0.01870184955046398,J66货币金融服务,宁波银行,5099484.9495,0.00323,16533.470110000002,14.78
002236.SZ,0.016268155792347604,C39计算机、通信和其他电子设备制造业,大华股份,2238406.377,0.006566,14674.59025,13.1
002241.SZ,0.0174470076613583,C39计算机、通信和其他电子设备制造业,歌尔股份,3637024.3785,0.006832,24992.84608,28.68
002294.SZ,0.005835316751602945,C27医药制造业,信立泰,1248969.6,0.005008,6252.8518300000005,27.2
002304.SZ,0.02894081338421258,C15酒、饮料和精制茶制造业,洋河股份,8873044.4727,0.003081,27641.20697,71.92
002415.SZ,0.027113592987246003,C39计算机、通信和其他电子设备制造业,海康威视,10131966.6583,0.0031369999999999,31854.78048,21.46
002450.SZ,0.029766009692520072,C29橡胶和塑料制品业,康得退(退),4899983.242,0.0150079999999999,73502.00214,17.1
600060.SH,0.008841389017580218,C39计算机、通信和其他电子设备制造业,海信视像,2313394.8005,0.0076349999999999,17728.0519,17.68
600085.SH,0.013262083526370328,C27医药制造业,同仁堂,4085609.9105,0.01445,59614.1128,29.79
600100.SH,0.018979515091072204,C39计算机、通信和其他电子设备制造业,同方股份,3097021.3557,0.020493,63638.5499,14.96
600150.SH,0.00027753933972256766,C37铁路、船舶、航空航天和其他运输设备制造业,中国船舶,3067689.7731,0.008958,27413.3398,22.26
600271.SH,0.019686826212478623,C39计算机、通信和其他电子设备制造业,航天信息,4395404.7869,0.008511,37597.0707,23.8
600276.SH,0.005626786171673619,C27医药制造业,恒瑞医药,9384148.8804,0.001091,10251.6672,40.11
600352.SH,0.013910452054326209,C26化学原料和化学制品制造业,浙江龙盛,2637661.2633,0.004271,11280.2746,8.62
600362.SH,0.007780422335470593,C32有色金属冶炼和压延加工业,江西铜业,2797433.5019,0.007806,21868.1547,13.48
600519.SH,0.09330612543219657,C15酒、饮料和精制茶制造业,贵州茅台,36670926.1776,0.003027,111619.5906,291.92
600674.SH,0.013203140932919792,D44电力、热力生产和供应业,川投能源,3636168.0365,0.002848,10371.9457,8.26
600688.SH,0.009489757545536102,C25石油、煤炭及其他燃料加工业,上海石化,1784250.0,0.019599,35183.3603,6.1
600690.SH,0.019686826212478623,C38电气机械和器材制造业,海尔智家,4876378.0642,0.004027,19704.0169,8.88
600703.SH,0.01821326137621525,C39计算机、通信和其他电子设备制造业,三安光电,4733645.7886,0.004493,21232.7232,19.97
600741.SH,0.0034569831058738594,C36汽车制造业,华域汽车,3619063.4452,0.001889,6840.7098,14.01
600887.SH,0.06560310651044522,C14食品制造业,伊利股份,10057626.3931,0.0063739999999999,63856.9132,16.67
600895.SH,0.010314953853843588,S91综合,张江高科,2800030.7064,0.005422,15221.5201,18.08
600999.SH,0.03377410604715644,J67资本市场服务,招商证券,7925114.7179,0.004882,38865.8186,16.5
601098.SH,0.008900331611030753,R86新闻和出版业,中南传媒,3252556.0,0.002679,8673.0426,18.11
601158.SH,0.002770301892175135,D46水的生产和供应业,重庆水务,3086400.0,0.001165,3574.7074999999995,6.43
601231.SH,0.002298761144570857,C39计算机、通信和其他电子设备制造业,环旭电子,2328238.2306,0.004204,9868.0078,10.7
601238.SH,0.009136101984832893,C36汽车制造业,广汽集团,9916819.9958,0.000529,5191.6892,23.49
601628.SH,0.025286372590279424,J68保险业,中国人寿,43354589.46,0.000279,12093.4579,20.82
601633.SH,0.007249938994415779,C36汽车制造业,长城汽车,5087403.276,0.001082,5506.4994,8.44
601800.SH,0.011788518690106957,E48土木工程建筑业,中国交建,12369838.9025,0.001164,14434.5583,10.53
601888.SH,0.012083231657359632,L72商务服务业,中国中免,4293493.7213,0.002154,9252.0428,43.98
601928.SH,0.005835316751602945,R86新闻和出版业,凤凰传媒,2682324.6,0.00377,10119.5902,10.54
601933.SH,0.012377944624612305,F52零售业,永辉超市,2537141.6,0.003153,7987.8587,4.13
601998.SH,0.012495829811513376,J66货币金融服务,中信银行,18090228.0203,0.000753,13605.638,5.67
603000.SH,0.006601570466459896,I64互联网和相关服务,人民网,1836552.844,0.009437,17327.1146,16.61
000625.SZ,0.02298761144570857,C36汽车制造业,长安汽车,4630743.5637,0.009852,45633.23994,13.67
002410.SZ,0.006130029718855618,I65软件和信息技术服务业,广联达,1238586.9081,0.0241009999999999,29985.5313,14.3
002470.SZ,0.0066605130599104315,C26化学原料和化学制品制造业,金正大,2180267.7928,0.004992,10907.79068,8.05
002475.SZ,0.00996129829314038,C39计算机、通信和其他电子设备制造业,立讯精密,3674022.6176,0.002647,9720.71371,19.65
600583.SH,0.011199092755601608,B11开采专业及辅助性活动,海油工程,2797868.8122,0.004067,11421.2175,6.91
