,stock_wt,industry,sec_name,mkt_cap_float,turn,amt,close
000333.SZ,0.018350824285182317,C38电气机械和器材制造业,美的集团,9479630.8319,0.021443,204100.9367,28.2
000568.SZ,0.013987258295590669,C15酒、饮料和精制茶制造业,泸州老窖,4554357.1013,0.012177,55885.53087,32.49
000858.SZ,0.005237196384775229,C15酒、饮料和精制茶制造业,五粮液,13728981.8989,0.010219,141267.9615,36.17
000895.SZ,0.013929933466510377,C13农副食品加工业,双汇发展,4461746.4846,0.025951,117512.47163,24.55
000963.SZ,0.011006367183415609,F52零售业,华东医药,3064463.5365,0.007065,21826.47253,70.6
000999.SZ,0.006363056027912148,C27医药制造业,华润三九,2624260.3815,0.015422,40434.86145,26.84
002007.SZ,0.009802545772729527,C27医药制造业,华兰生物,3080615.4018,0.017386,53814.56751,38.41
002142.SZ,0.019375792229137895,J66货币金融服务,宁波银行,5320301.6185,0.00475,25173.84709,15.42
002236.SZ,0.012783436884904588,C39计算机、通信和其他电子设备制造业,大华股份,2542556.2511,0.039871,101673.47508,14.88
002241.SZ,0.014638468353942766,C39计算机、通信和其他电子设备制造业,歌尔股份,3235111.2975,0.008579,27806.1369,25.51
002294.SZ,0.005732482908028963,C27医药制造业,信立泰,1316009.88,0.020306,26887.9095,28.66
002304.SZ,0.029178338001867418,C15酒、饮料和精制茶制造业,洋河股份,8822461.2103,0.0031769999999999,28194.20063,71.51
002415.SZ,0.02642674620601352,C39计算机、通信和其他电子设备制造业,海康威视,12166210.0423,0.003744,45528.422,25.85
600011.SH,0.010443020677467675,D44电力、热力生产和供应业,华能国际,7665000.0,0.001159,8953.3382,7.3
600018.SH,0.0013892059156372456,G55水上运输业,上港集团,12151265.9331,0.0013969999999999,17163.0116,5.34
600060.SH,0.00934394714008721,C39计算机、通信和其他电子设备制造业,海信视像,2333022.0188,0.01473,34845.3823,17.83
600100.SH,0.017885346673050362,C39计算机、通信和其他电子设备制造业,同方股份,3397200.5647,0.042418,144639.3391,16.41
600271.SH,0.017713372185809494,C39计算机、通信和其他电子设备制造业,航天信息,4301220.5063,0.0068089999999999,29278.0334,23.29
600276.SH,0.03800636168023202,C27医药制造业,恒瑞医药,10234624.0913,0.002353,24069.2533,43.68
600309.SH,0.012554137568583429,C26化学原料和化学制品制造业,万华化学,4130059.3152,0.007845,32761.1897,19.1
600369.SH,0.003503693553387301,J67资本市场服务,西南证券,3367704.1149,0.002969,10041.7819,7.25
600519.SH,0.09865603084717846,C15酒、饮料和精制茶制造业,贵州茅台,39337834.107,0.002309,91398.7191,313.15
600674.SH,0.01221018859410169,D44电力、热力生产和供应业,川投能源,4023556.3987,0.005223,21184.5999,9.14
600688.SH,0.008999998165605472,C25石油、煤炭及其他燃料加工业,上海石化,1740375.0,0.006096,10663.7528,5.95
600690.SH,0.0182292956475321,C38电气机械和器材制造业,海尔智家,6007609.9125,0.015366,92727.0842,10.94
600703.SH,0.017140123895006597,C39计算机、通信和其他电子设备制造业,三安光电,4649734.3908,0.003404,15868.7123,12.26
600741.SH,0.011866239619619951,C36汽车制造业,华域汽车,4205449.8849,0.00782,33344.1501,16.28
600783.SH,0.004299362181021721,S91综合,鲁信创投,1610793.5122,0.011937,19433.9912,21.64
600873.SH,0.007796176754919389,C14食品制造业,梅花生物,1970615.6663,0.013743,27254.7443,6.34
600887.SH,0.06798724728922349,C14食品制造业,伊利股份,11185866.4263,0.0098719999999999,111213.8614,18.54
600895.SH,0.009401271969167499,S91综合,张江高科,2796933.3273,0.0101909999999999,28745.1018,18.06
600999.SH,0.032216553943122776,J67资本市场服务,招商证券,8069207.7127,0.002005,16231.9107,16.8
601098.SH,0.008770698849284313,R86新闻和出版业,中南传媒,3389052.0,0.003784,12820.9636,18.87
601333.SH,0.008942673336525181,G53铁路运输业,广深铁路,2300460.459,0.005343,12420.7806,4.07
601336.SH,0.015246188269893048,J68保险业,新华保险,8291706.8158,0.001957,16279.0712,39.76
