,stock_wt,industry,sec_name,mkt_cap_float,turn,amt,close
000039.SZ,0.010837460140188975,C32有色金属冶炼和压延加工业,中集集团,2379483.6364,0.0111,26150.29035,18.9
000060.SZ,0.010163945668199831,C32有色金属冶炼和压延加工业,中金岭南,2525242.6507,0.02625,65874.23506,12.25
000400.SZ,0.007776030722056497,C38电气机械和器材制造业,许继电气,1386497.7816,0.024481,33142.48172,18.8
000423.SZ,0.01647049026955274,C27医药制造业,东阿阿胶,3026067.1443,0.014255,42928.98354,46.29
000581.SZ,0.009061831077672135,C36汽车制造业,威孚高科,1953919.1003,0.0188979999999999,36658.25815,23.36
000623.SZ,0.01316414649796966,C27医药制造业,吉林敖东,2263437.2082,0.0324,72974.66642,28.05
000750.SZ,0.010225174256562481,J67资本市场服务,国海证券,2807086.264,0.026947,74561.41026,12.15
000826.SZ,0.012980460732881711,N77生态保护和环境治理业,启迪环境,3179288.4129,0.01235,38977.27518,37.77
000878.SZ,0.005143201422462566,C32有色金属冶炼和压延加工业,云南铜业,1572195.0712,0.04436,70083.19773,11.1
000895.SZ,0.012490632025980514,C13农副食品加工业,双汇发展,3494915.9862,0.004803,16749.83685,19.23
000960.SZ,0.0055718015410011115,C32有色金属冶炼和压延加工业,锡业股份,1382612.627,0.0271819999999999,37902.80274,12.01
000970.SZ,0.008082173663869745,C39计算机、通信和其他电子设备制造业,中科三环,1522170.8,0.02361,35592.41834,14.29
000999.SZ,0.0068576018966167536,C27医药制造业,华润三九,2493241.6665,0.006925,17052.37721,25.5
002007.SZ,0.007898487898781796,C27医药制造业,华兰生物,1983941.0698,0.013689,26981.11869,39.52
002038.SZ,0.008082173663869745,C27医药制造业,双鹭药业,1948844.4886,0.021888,41920.349440000005,34.37
002065.SZ,0.002485880687523576,I65软件和信息技术服务业,东华软件,2922950.3173,0.019676,56567.53395,21.85
002142.SZ,0.016955750078887454,J66货币金融服务,宁波银行,4933699.5608,0.010918,53394.008440000005,14.3
002236.SZ,0.013653975204870857,C39计算机、通信和其他电子设备制造业,大华股份,2566816.3345,0.051977,129394.31631,38.71
002241.SZ,0.01304168932124436,C39计算机、通信和其他电子设备制造业,歌尔股份,3885570.8623,0.0238229999999999,90084.50635,31.68
002294.SZ,0.006000401659539658,C27医药制造业,信立泰,1423458.0,0.026532,36669.06928,31.0
002344.SZ,0.0053881157759131625,L72商务服务业,海宁皮城,1954367.2973,0.036099,68107.74441,17.72
002353.SZ,0.008327088017320343,C35专用设备制造业,杰瑞股份,1642405.3235,0.04616,75818.92676999999,24.72
002456.SZ,0.009184288254397436,C39计算机、通信和其他电子设备制造业,欧菲光,2108118.4095,0.049908,102026.49635,25.71
002653.SZ,0.0031226580064951286,C27医药制造业,海思科,863466.3218,0.013206,11082.23031,21.99
600008.SH,0.006980059073342053,D46水的生产和供应业,首创环保,2318800.0,0.011935,27274.1017,10.54
600018.SH,0.012184489084167267,G55水上运输业,上港集团,15291480.7248,0.001512,23181.6863,6.72
600060.SH,0.008265859428957693,C39计算机、通信和其他电子设备制造业,海信视像,2126281.9858,0.0156749999999999,33036.0124,16.25
600150.SH,0.017756290625168376,C37铁路、船舶、航空航天和其他运输设备制造业,中国船舶,4922636.0601,0.020277,99932.896,35.72
600316.SH,0.00722497342679265,C37铁路、船舶、航空航天和其他运输设备制造业,洪都航空,1718923.4853,0.030722,51979.8641,23.97
600332.SH,0.01034763143328778,C27医药制造业,白云山,2809516.6692,0.013096,36671.2423,27.11
600352.SH,0.015858204385926243,C26化学原料和化学制品制造业,浙江龙盛,4103368.6243,0.077935,308352.6333,13.41
600372.SH,0.009245516842760086,C37铁路、船舶、航空航天和其他运输设备制造业,中航机载,4376797.3897,0.011024,48116.545,24.88
600549.SH,0.005204430010825214,C32有色金属冶炼和压延加工业,厦门钨业,1679171.156,0.025033,41592.8329,18.94
600637.SH,0.03043060841623684,I63电信、广播电视和卫星传输服务,东方明珠,5438104.1243,0.016295,88402.019,34.41
600648.SH,0.005326887187550512,F51批发业,外高桥,2379979.4747,0.013371,31565.6257,25.46
600674.SH,0.015674518620838292,D44电力、热力生产和供应业,川投能源,4617845.3635,0.008792,40445.7776,10.49
600688.SH,0.010776231551826325,C25石油、煤炭及其他燃料加工业,上海石化,1877850.0,0.0126309999999999,23704.7474,6.42
600703.SH,0.022409663340729746,C39计算机、通信和其他电子设备制造业,三安光电,5978094.4812,0.012451,72653.7192,25.22
600783.SH,0.005020744245737265,S91综合,鲁信创投,2919377.1511,0.046074,128414.2955,39.22
600804.SH,0.010996654469931868,I63电信、广播电视和卫星传输服务,退市鹏博(退),3110153.9376,0.0311399999999999,95445.4408,22.85
600839.SH,0.01640926168119009,C39计算机、通信和其他电子设备制造业,四川长虹,2784438.6833,0.026771,74202.0595,6.04
600873.SH,0.008939373900946838,C14食品制造业,梅花生物,2725914.7308,0.048822,128818.3456,8.77
600893.SH,0.01904209098078402,C37铁路、船舶、航空航天和其他运输设备制造业,航发动力,6245532.8621,0.0213399999999999,132410.05060000002,45.75
601098.SH,0.01034763143328778,R86新闻和出版业,中南传媒,4204436.0,0.005565,23087.2377,23.41
601099.SH,0.012735546379431112,J67资本市场服务,太平洋,3007974.9937,0.061331,181347.5474,9.1
601158.SH,0.003918629655209573,D46水的生产和供应业,重庆水务,4305600.0,0.002989,12979.7903,8.97
601231.SH,0.0020205434159674364,C39计算机、通信和其他电子设备制造业,环旭电子,2939672.7566,0.004483,13197.3674,13.51
601336.SH,0.02369546369634539,J68保险业,新华保险,9178018.5353,0.0125849999999999,114672.1108,44.01
601398.SH,0.032063857764249803,J66货币金融服务,工商银行,124560842.193,0.000772,95640.7071,4.62
601628.SH,0.025324144146791867,J68保险业,中国人寿,54786707.43,0.00108,59289.5155,26.31
601633.SH,0.009429202607848035,C36汽车制造业,长城汽车,7359857.109,0.005697,41347.3143,12.21
601766.SH,0.058365539570811975,C37铁路、船舶、航空航天和其他运输设备制造业,中国中车,30251353.8268,0.007509,226848.5147,13.2
601888.SH,0.01347028943978291,L72商务服务业,中国中免,4880212.6222,0.0070509999999999,34317.4261,49.99
603000.SH,0.008082173663869745,I64互联网和相关服务,人民网,2567414.632,0.0382249999999999,93283.7202,23.22
000883.SZ,0.008878145312584188,D44电力、热力生产和供应业,湖北能源,3368025.8501,0.006965,23360.36482,6.3
002008.SZ,0.014205032500134702,C35专用设备制造业,大族激光,2339197.2138,0.023561,54560.60795,23.84
002410.SZ,0.007408659191880599,I65软件和信息技术服务业,广联达,1375277.4868,0.043095,58239.753540000005,19.21
002465.SZ,0.016286804504464788,C39计算机、通信和其他电子设备制造业,海格通信,3190293.3782,0.049808,156581.30254,17.41
002470.SZ,0.008755688135858888,C26化学原料和化学制品制造业,金正大,2520621.3358,0.013767,34721.15242,18.7
002475.SZ,0.010715002963463675,C39计算机、通信和其他电子设备制造业,立讯精密,,,0.0,34.45
600023.SH,0.014082575323409403,D44电力、热力生产和供应业,浙能电力,2007646.5687,0.019502,38820.5374,7.86
600583.SH,0.014694861207035899,B11开采专业及辅助性活动,海油工程,3664357.851,0.008794,32300.8712,9.05
600867.SH,0.013531518028145556,C27医药制造业,通化东宝,2756568.102,0.007752,21179.9832,24.36
601179.SH,0.009245516842760086,C38电气机械和器材制造业,中国西电,2845121.0,0.006744,19228.3305,6.53
601216.SH,0.008816916724221538,C26化学原料和化学制品制造业,君正集团,4361011.2,0.022138,95456.2607,11.83
601929.SH,0.007592344956968547,I63电信、广播电视和卫星传输服务,吉视传媒,1987801.9617,0.017078,33637.257900000004,6.39
002153.SZ,0.009490431196210685,I65软件和信息技术服务业,石基信息,2020233.5465,0.011233,22133.73225,123.9
300017.SZ,0.019654376864410517,I65软件和信息技术服务业,网宿科技,3075397.4576,0.029934,89257.75566,62.0
300124.SZ,0.014388718265222651,C38电气机械和器材制造业,汇川技术,2721783.9741,0.020283,54753.99163,43.83
300133.SZ,0.006490230366440856,R87广播、电视、电影和录音制作业,华策影视,2202561.8433,0.025853,55751.283160000006,31.5
300146.SZ,0.006735144719891455,C14食品制造业,汤臣倍健,1094631.1598,0.02672,29191.10712,32.44
600038.SH,0.007837259310419146,C37铁路、船舶、航空航天和其他运输设备制造业,中直股份,2192557.6,0.0323079999999999,70258.164,55.84
600373.SH,0.009123059666034786,R86新闻和出版业,中文传媒,3209639.8611,0.017211,53781.5457,27.07
600398.SH,0.014327489676860003,C18纺织服装、服饰业,海澜之家,2243236.5133,0.006025,13425.564600000002,14.65
600578.SH,0.0053881157759131625,D44电力、热力生产和供应业,京能电力,,,0.0,6.07
603288.SH,0.006122858836264958,C14食品制造业,海天味业,919397.52,0.010242,9331.053,34.12
300003.SZ,0.012980460732881711,C35专用设备制造业,乐普医疗,2826759.707,0.008119,22656.71597,41.2
002736.SZ,0.013531518028145556,J67资本市场服务,国信证券,2270400.0,0.047028,105906.95234,18.92
300002.SZ,0.009980259903111882,I65软件和信息技术服务业,神州泰岳,1398991.1404,0.033759,46740.153730000005,12.24
300104.SZ,0.029573408179159745,I64互联网和相关服务,乐视退(退),5301061.2472,0.0458159999999999,241352.03658,48.5
600317.SH,0.006612687543166154,G55水上运输业,营口港(退),3068193.9434,0.003848,11621.1937,4.74
600717.SH,0.006184087424627608,G55水上运输业,天津港,1835546.9555,0.0103119999999999,18734.1584,10.96
601788.SH,0.012527369178998106,J67资本市场服务,光大证券,7639230.0,0.027338,205615.2507,22.35
000539.SZ,0.004408458362110769,D44电力、热力生产和供应业,粤电力Ａ,1866907.5982,0.004664,8680.046030000001,7.31
601021.SH,0.009919031314749232,G56航空运输业,春秋航空,1135800.0,0.026922,30478.9112,56.79
