,stock_wt,industry,sec_name,mkt_cap_float,turn,amt,close
000100.SZ,0.006565041727393456,C39计算机、通信和其他电子设备制造业,TCL科技,4506898.7303,0.014121,63732.3366,3.56
000333.SZ,0.014033900090639212,C38电气机械和器材制造业,美的集团,34611322.4314,0.002417,84076.01269999999,51.1
000425.SZ,0.009150966621068067,C35专用设备制造业,徐工机械,3098330.9095,0.004684,14626.6737,4.43
000703.SZ,0.0006965894347404474,C28化学纤维制造业,恒逸石化,2969734.6182,0.006325,18830.046,13.01
000963.SZ,0.01132711112241962,F52零售业,华东医药,4584434.8739,0.007319,33520.3979,26.2
002294.SZ,0.004184893271829909,C27医药制造业,信立泰,1955775.591,0.011688,23032.9076,18.7
002304.SZ,0.026157251593718938,C15酒、饮料和精制茶制造业,洋河股份,12988971.5696,0.00334,43349.8093,104.0
002415.SZ,0.05233906518635272,C39计算机、通信和其他电子设备制造业,海康威视,26079041.9123,0.003667,96266.8515,32.3
002422.SZ,0.01082492392980003,C27医药制造业,科伦药业,2672476.9235,0.009612,25824.8733,25.86
600009.SH,0.03665966506123,G56航空运输业,上海机场,8723754.6953,0.005515,48314.93,79.78
600018.SH,0.008425585120617548,G55水上运输业,上港集团,13185820.8759,0.000901,11938.7218,5.69
600031.SH,0.03576688782990629,C35专用设备制造业,三一重工,11941228.7186,0.003944,47346.2394,14.28
600104.SH,0.019111570593792832,C36汽车制造业,上汽集团,27355163.3339,0.001389,38177.1546,23.78
600115.SH,0.00898357089019487,G56航空运输业,中国东航,5080795.5833,0.001621,8254.035899999999,5.18
600271.SH,0.01082492392980003,C39计算机、通信和其他电子设备制造业,航天信息,3881605.724,0.003841,14987.722,20.95
600276.SH,0.08210927995061154,C27医药制造业,恒瑞医药,35530786.2442,0.002802,100439.5888,80.68
600352.SH,0.016404781625573243,C26化学原料和化学制品制造业,浙江龙盛,4574184.5952,0.008067,37029.8973,14.06
600436.SH,0.013614852777686638,C27医药制造业,片仔癀,6146595.7355,0.004888,30226.0447,101.88
600498.SH,0.008537182274533013,C39计算机、通信和其他电子设备制造业,烽火通信,3028585.6485,0.006193,18786.0126,27.36
600519.SH,0.11537751281687732,C15酒、饮料和精制茶制造业,贵州茅台,144462747.0,0.002454,356598.8675,1150.0
600690.SH,0.026336928324049557,C38电气机械和器材制造业,海尔智家,9329121.5372,0.0027589999999999,25831.4365,15.3
600703.SH,0.011996694045912405,C39计算机、通信和其他电子设备制造业,三安光电,5742422.2986,0.0251109999999999,147195.72220000002,14.08
600741.SH,0.017799746049516545,C36汽车制造业,华域汽车,7408901.3624,0.002165,16179.7497,23.5
600887.SH,0.07906658354910641,C14食品制造业,伊利股份,17279673.82,0.006458,112141.5138,28.52
601018.SH,0.006919023542758783,G55水上运输业,宁波港,4774400.0,0.000847,4063.969200000001,3.73
601238.SH,0.004910274772280426,C36汽车制造业,广汽集团,7465486.2598,0.001042,7791.4224,12.27
601336.SH,0.018190336088220672,J68保险业,新华保险,10149833.2678,0.003743,38311.237,48.67
601888.SH,0.042183724180045484,L72商务服务业,中国中免,18169737.4125,0.002916,53448.8265,93.06
002475.SZ,0.027390066308695272,C39计算机、通信和其他电子设备制造业,立讯精密,14299580.3055,0.011411,165798.7968,26.76
