,stock_wt,industry,sec_name,mkt_cap_float,turn,amt,close
000009.SZ,0.003800023750148438,S91综合,中国宝安,2429650.2401,0.0674739999999999,148894.09842,16.31
000069.SZ,0.004275026718916993,N78公共设施管理业,华侨城Ａ,4039978.3694,0.1121139999999999,431122.89772,12.98
000156.SZ,0.0017812611328820805,R87广播、电视、电影和录音制作业,华数传媒,423376.4068,0.077308,30419.123440000003,35.78
000338.SZ,0.016625103906899422,C36汽车制造业,潍柴动力,3311904.7522,0.0593879999999999,185266.28293,31.66
000425.SZ,0.0036812730079562998,C35专用设备制造业,徐工机械,3127078.1367,0.041955,122181.09929,13.27
000568.SZ,0.008906305664410403,C15酒、饮料和精制茶制造业,泸州老窖,4566906.7092,0.083073,370314.59149,32.61
000581.SZ,0.005225032656454105,C36汽车制造业,威孚高科,2627240.0574,0.032733,81905.48769000001,30.99
000623.SZ,0.014250089063056644,C27医药制造业,吉林敖东,2651176.8091,0.058251,145425.39236,33.6
000686.SZ,0.013656335352095952,J67资本市场服务,东北证券,3289420.5895,0.046642,144352.45676,19.47
000709.SZ,0.010687566797292483,C31黑色金属冶炼和压延加工业,河钢股份,,,0.0,7.0
000728.SZ,0.016625103906899422,J67资本市场服务,国元证券,7459651.8,0.063657,445945.09254,37.98
000729.SZ,0.007718798242489016,C15酒、饮料和精制茶制造业,燕京啤酒,2609713.1518,0.024033,59548.58442000001,10.4
000778.SZ,0.001662510390689942,C33金属制品业,新兴铸管,,,0.0,12.96
000800.SZ,0.009500059375371097,C36汽车制造业,一汽解放,3512444.1461,0.04883,162611.6568,24.88
000831.SZ,0.010687566797292483,C32有色金属冶炼和压延加工业,中国稀土,1906269.849,0.07846,138795.90675999998,25.58
000869.SZ,0.003562522265764161,C15酒、饮料和精制茶制造业,张裕Ａ,2212435.2432,0.019111,39353.92388,48.79
000876.SZ,0.006056287851799074,C13农副食品加工业,新希望,3354645.6572,0.026226,83106.67341,19.41
000970.SZ,0.01009381308633179,C39计算机、通信和其他电子设备制造业,中科三环,2195377.2,0.066017,131649.675,20.61
002038.SZ,0.008906305664410403,C27医药制造业,双鹭药业,2142805.8112,0.034793,70876.13504,56.65
002051.SZ,0.005343783398646241,E48土木工程建筑业,中工国际,2276784.0596,0.029745,63130.71251,29.78
002129.SZ,0.008550053437833995,C38电气机械和器材制造业,TCL中环,3153215.3202,0.039901,120613.3505,19.79
002142.SZ,0.009500059375371097,J66货币金融服务,宁波银行,6075372.5879,0.048091,280270.83226,21.15
002202.SZ,0.0026125163282270506,C34通用设备制造业,金风科技,4182072.0882,0.0533859999999999,212148.0976,19.47
002236.SZ,0.012468827930174562,C39计算机、通信和其他电子设备制造业,大华股份,2107501.1718,0.061055,123420.03945,31.92
002294.SZ,0.005343783398646241,C27医药制造业,信立泰,1313241.6211,0.03848,48049.84762,28.6
002304.SZ,0.003681273007956305,C15酒、饮料和精制茶制造业,洋河股份,8519122.6347,0.007673,63165.91053000001,69.36
002415.SZ,0.00866880418002613,C39计算机、通信和其他电子设备制造业,海康威视,14114110.5549,0.0298879999999999,398267.91667,44.8
002422.SZ,0.005529755216843381,C27医药制造业,科伦药业,1411780.8945,0.047158,63040.14624,40.04
002450.SZ,0.007125044531528322,C29橡胶和塑料制品业,康得退(退),4357598.6029,0.046635,187216.53499,30.6
002603.SZ,0.005937537109606935,C27医药制造业,以岭药业,1779581.9503,0.03338,54727.74837,20.16
002653.SZ,0.003562522265764161,C27医药制造业,海思科,2916729.0,0.013009,36088.257020000005,27.0
600008.SH,0.0033250207813798837,D46水的生产和供应业,首创环保,3157000.0,0.037313,110084.6716,14.35
