No,code,name,ipo_date,industry_zx,industry_sw,MKT_CAP_FLOAT,is_open1,PCT_CHG_NM,EP,EPcut,BP,SP,NCFP,OCFP,DP,G/PE,Sales_G_q,Profit_G_q,OCF_G_q,ROE_G_q,ROE_q,ROE_ttm,ROA_q,ROA_ttm,grossprofitmargin_q,grossprofitmargin_ttm,assetturnover_ttm,financial_leverage,debtequityratio,cashratio,currentratio,ln_capital,return_1m,wgt_return_1m,exp_wgt_return_1m,std_1m,return_3m,wgt_return_3m,exp_wgt_return_3m,std_3m,return_6m,wgt_return_6m,exp_wgt_return_6m,std_6m,return_12m,wgt_return_12m,exp_wgt_return_12m,std_12m,turn_1m,bias_turn_1m,turn_3m,bias_turn_3m,turn_6m,bias_turn_6m,turn_12m,bias_turn_12m,beta,HAlpha,DIF,DEA,MACD,RSI,PSY,BIAS,LNCAP_barra,MIDCAP_barra,BETA_barra,HSIGMA_barra,HALPHA_barra,DASTD_barra,CMRA_barra,STOM_barra,STOQ_barra,STOA_barra,RSTR_barra,MLEV_barra,BLEV_barra,DTOA_barra,BTOP_barra,ETOP_barra,CETOP_barra
1,000001.SZ,平安银行,1991-04-03,J66货币金融服务,J66货币金融服务,16038254.1891,TRUE,-0.0337197049525817,0.14034102869974038,0.13432555140638852,1.0951702989814915,0.6572029442691903,-16225.353348976589,-15159.099519213732,1.3449,0.6201950740298927,10.6685,4.4192,-266.2684,-16.3551,3.2965,13.8764,,0.9421,,,0.0309,14.0809,13.0809,,,16.59048731340047,0.0237580993520518,7.582247368421048e-06,7.999047214155835e-07,0.006207073080984869,-0.0125,-4.311637931034558e-07,1.1687926472037521e-06,0.005992555081852551,0.0031746031746031,2.0020896551724094e-06,9.29863224863895e-07,0.006215571225075241,0.1905719627046624,7.677140983606526e-06,8.069939407359759e-07,0.008445892491212841,0.0027629473684210475,-0.6501367284158582,0.0031996379310344734,-0.5948399860124141,0.003585663793103436,-0.5459587541210092,0.0036609836065573625,-0.5364212447745473,-0.000906526444835009,1.0440442800233962,9.820047350484515,8.127157720974335,3.38577925902036,53.28047852225303,50.0,0.7813745814064716,16.59048731340047,2.088378211349616,3.435059369290487,0.012076710538596968,0.0001886103985572669,0.05134515931256632,0.13672729385783808,-2.863877147608264,-2.61395838892379,-2.564294895296967,-0.0030931803333963236,,,0.9289820502587024,1.0951702989814915,0.14034102869974038,-15159.099519213732
2,000008.SZ,神州高铁,1992-05-07,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,1747731.478,TRUE,0.0011454753722794,0.012465905747779822,0.00754531337950059,0.24571835761849767,0.06255395278427643,424.9346588430763,-32.97159909940409,,7.380590335432592,48.0176,592.0621,-9.5515,9.8241,3.0597,6.6371,5.319,5.4349,54.0115,50.8344,0.1873,1.2232,0.2232,1.0617,3.0239,14.373829206692557,0.013888888888889,4.9144052631578785e-06,3.551407985003089e-09,0.004959095842887819,-0.1274900398406373,-1.6189384482758565e-05,-5.301845270427757e-07,0.014326802024267952,-0.0641025641025639,-6.411331428571357e-06,-1.5270080152992408e-06,0.014702040346118023,0.090909090909091,1.6725537339055843e-05,-2.4970137775194577e-06,0.02114236958627521,0.0037944736842105207,-0.840532991146505,0.005616172413793093,-0.7639740605502618,0.009136533333333323,-0.6160269478163332,0.009927673819742478,-0.5827783822838999,0.0468950567089922,1.9333883097815763,-2.322367978801111,-3.790442488149536,2.9361490186968497,29.56591992454269,50.0,0.24603764948216703,14.373829206692557,-0.7606531636048486,3.418627275690997,0.028066706923598937,-0.001062626539812084,0.11833149132715473,0.36376497972392047,-2.568243231660394,-2.0053264928339924,-1.6150833333289822,-0.2075533831424078,2312.2179975221898,1.969593702575846,0.1824570203016678,0.24571835761849767,0.012465905747779822,-32.97159909940409
3,000009.SZ,中国宝安,1991-06-25,S91综合,S91综合,2069183.9573,TRUE,-0.0623721881390592,0.015232385269674147,0.03761208401035085,0.2163097555699762,0.28235825615541,-212.9439230973489,199.75979419769578,0.5313,-1.1109405083960906,22.7169,-72.9328,106.6986,-69.5234,3.036,6.2529,3.5521,2.598,30.6167,32.4493,0.2243,2.6775,1.6775,0.2558,1.4687,14.54266486398846,0.0252100840336135,2.7951542105263193e-05,-8.922233020467569e-09,0.008681575357763174,-0.0579150579150579,1.137623103448259e-05,-1.5096919228240946e-07,0.01592618600649371,-0.1332149200710479,7.766805172413624e-06,-7.960918855471583e-07,0.016311065997033167,0.1631293635459969,0.00016616062172131123,5.930200863011266e-06,0.02388841631959439,0.011042421052631575,-0.7487308437150084,0.017298017241379297,-0.6063853952925671,0.01941080172413792,-0.5583092015063986,0.0322347950819672,-0.2665005504988206,0.007735614119439466,1.5505882363241883,-0.3596888429218694,-0.89384092551469,1.068304165185641,45.67536219863183,70.0,0.33926184846302526,14.54266486398846,-0.5875959810954277,4.616608012886927,0.02942334155641436,0.0002892856729073939,0.1353557308507764,0.2166380019390437,-1.504970866829488,-1.0228311518982356,-0.37734166502662625,-0.07906962206753818,185759.95880221992,54.51381268253281,0.6265116370773268,0.2163097555699762,0.015232385269674147,199.75979419769578
4,000010.SZ,美丽生态,1995-10-27,E48土木工程建筑业,E48土木工程建筑业,370219.5921,TRUE,-0.0423728813559322,0.009053272169426557,0.005753468478472247,0.3780432481475881,0.1922596274008421,60.335042574965065,-436.7440704041828,,-4.833191649623882,3.7933,-533.8613,41.7893,98.3574,-0.1989,1.3423,2.4373,0.5747,29.3889,28.2398,0.1439,2.123,1.123,0.2697,1.6167,12.821851600735748,0.0114122681883024,8.8819368421049e-06,-3.14099184450493e-06,0.012943392628765541,-0.091025641025641,-5.941446551724423e-06,-2.416318590265851e-06,0.02534219737701058,-0.1498800959232613,9.649986724137942e-05,-1.7120821561955528e-06,0.022847641336152084,-0.1395631067961165,0.00010502990450819679,5.565316597684033e-06,0.02294034027074218,0.026012526315789458,-0.4635363209108281,0.03047796551724136,-0.3714443067143516,0.03819232758620688,-0.21234883835797091,0.03505056557377048,-0.27714228392927553,0.042821720496436996,1.1333471510276683,-0.6156583019896544,-1.0970446779569316,0.9627727519345544,44.590526517292936,55.0,-0.3653738055087207,12.821851600735748,0.12305494886593456,4.303567859769394,0.03319308800866948,-0.0012076221380295377,0.1695321324806316,0.27742121697311856,-0.664475141029209,-0.47112623176022617,-0.29263200618311647,-0.19317036728102147,128048.84701042215,34.71955471056523,0.5289669276579805,0.3780432481475881,0.009053272169426557,-436.7440704041828
5,000016.SZ,深康佳Ａ,1992-03-27,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,721660.3976,TRUE,-0.0265486725663713,,,0.2526145607032789,1.7611835153222968,-659.7254136749569,-240.72248003670327,,,22.6117,89.3251,-135.9834,93.8773,-2.0548,-2.1247,0.0723,-0.4475,10.5644,14.1346,0.9969,5.2065,4.2065,0.1958,0.9534,13.48930994378448,0.0,1.2126505263157906e-05,-5.450629303039357e-06,0.007213675839235737,-0.1031746031746034,5.641001724137936e-06,-4.3874488610538865e-07,0.015413970916200332,-0.1102362204724412,2.498256034482675e-06,-2.1645818542094218e-07,0.013468087528987403,-0.0960000000000002,5.563676000000009e-05,2.182119414263763e-06,0.020308333553427767,0.010448789473684194,-0.7613293279762885,0.014538172413793092,-0.6679198687335468,0.012644034482758602,-0.7111856627323807,0.018529368888888877,-0.5767531793013495,0.02497310635420731,1.3868287008636513,-0.02661844293430704,-0.36232269244385357,0.671408499019093,30.290817735231897,50.0,-0.746596398770327,13.48930994378448,-0.790209603573011,2.918380925100245,0.03158272940999887,-0.0006928048024828382,0.11744156164914699,0.25892912182474026,-1.5845184578386189,-1.1652685363497628,-0.9086226180114089,-0.12860651382393234,21982.541558049143,9.299369009438445,0.807931354667344,0.2526145607032789,,-240.72248003670327
6,000019.SZ,深粮控股,1992-10-12,C15酒、饮料和精制茶制造业,C15酒、饮料和精制茶制造业,608825.2272,TRUE,-0.0558312655086848,,,0.12488760115895695,0.04333300111365813,-53.93653595242569,-38.35234993391042,,,-10.3814,3.2537,93.0279,-254.9796,-1.3628,-3.9861,-3.3618,-4.3839,18.5722,20.5868,0.2153,1.123,0.123,1.2165,4.2103,13.319286522253229,0.0952380952380953,0.0005574900578947365,4.3698885474783e-05,0.026965383575193964,-0.0644973852411388,0.00015176056896551714,7.223181584346682e-05,0.024571661618555413,-0.0073982737361281,0.00034312829224137904,5.6677691694666746e-05,0.02637370837238354,0.312857726901063,0.0008160591155737704,7.581459736634628e-05,0.033544443968816985,0.03872705263157892,-0.4985774602436245,0.03758899999999998,-0.5133125149954395,0.06323993103448275,-0.18119441892483756,0.09233493442622949,0.19551616201449007,0.062495199549574276,1.9768441686155094,0.6471156523199966,-0.3719127187057407,2.0380567420514746,51.82013908280303,55.0,3.1324066363461625,13.319286522253229,-0.6319768900372722,5.062362927483477,0.03776594941706411,0.009525823407501221,0.21823281222723145,0.5130608385372748,-0.2656067197469868,-0.20566368119550774,0.6977930859687328,0.08705203438720471,1849.034130500237,2.4514979557762993,0.10950240502917381,0.12488760115895695,,-38.35234993391042
7,000020.SZ,深华发Ａ,1992-04-28,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,381896.6442,TRUE,0.1202797202797203,,,0.05297676439113805,0.09498480243161093,7.7762849438670125,91.0642358688761,,,4.7665,-147.5068,-247.8763,-78.5078,-0.8706,1.916,1.2098,0.6833,9.9394,13.1092,0.5193,1.9124,0.9124,0.1482,1.4525,12.852905286057954,0.0451165096678236,9.398821052631578e-05,1.8176796080257546e-06,0.018239528168558356,-0.1829457364341083,3.678586379310363e-05,7.822888085154172e-06,0.025650798489308665,-0.0525842696629212,0.00016171550775862068,1.3211055282232081e-05,0.025239386153523197,-0.1278444352503103,0.0001728249073770491,2.2916244998819672e-05,0.028857872125759947,0.008366421052631558,-0.8834290470141019,0.013804137931034468,-0.8076642923364071,0.021113965517241366,-0.7058150592502092,0.02541889344262294,-0.6458336708356862,0.0690715664820114,2.158524146689722,-0.2599194487388772,-0.6033904750949846,0.6869420527122148,57.4519122697423,50.0,0.46706700981795085,12.852905286057954,0.06338337709937862,3.4522847522695277,0.041075352680298605,0.004162951534840228,0.19767730755971524,0.26761876230935394,-1.7928087770232284,-1.168878018109023,-0.6051213463952606,-0.11276952366857236,438.9801397648879,1.82360461022641,0.4770911259504729,0.05297676439113805,,91.0642358688761
8,000021.SZ,深科技,1994-02-02,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,1437478.446,TRUE,-0.0551020408163265,0.023897546438907118,0.012555511053244156,0.37324574499850705,1.0229132569558101,339.5111521589806,388.3923359700211,0.5112,114.35834370885141,-7.7773,4785.3592,583.5684,104.8074,1.6126,7.6545,3.4739,3.2579,5.6975,5.3655,0.8565,1.9173,0.9173,0.6169,1.2597,14.178401057454273,0.0393198724760892,1.376091578947372e-05,9.50559405390899e-07,0.006005380782094501,-0.1060329067641682,-2.2321422413793128e-05,1.7144224126595613e-06,0.014506291328571662,-0.0961182994454714,-1.8132577586207008e-06,6.810079551080623e-07,0.01526658244941869,0.2234984449987025,9.067190614754087e-05,2.837320990897576e-06,0.02328014658256986,0.005662105263157884,-0.7551573177443565,0.007206362068965506,-0.6883800395320127,0.00883281896551723,-0.6180482370280772,0.015603598360655724,-0.32526389074371065,0.03336236623480142,1.5109811469548302,0.8944800201482508,-0.058373256406246354,1.9057065531089943,51.87413964672757,50.0,1.1427684988882496,14.178401057454273,-0.8928656636419988,4.947685500959738,0.02978552817493344,0.0011990551205533027,0.12921803077854704,0.3254114022098723,-2.167647521210555,-1.8266057260736432,-1.096931196581766,-0.03896219442155697,8687.544900763784,3.3213353814802637,0.4784349334784532,0.37324574499850705,0.023897546438907118,388.3923359700211
9,000025.SZ,特力Ａ,1993-06-21,F51批发业,F51批发业,1008959.8464,TRUE,-0.0743308299634122,0.0032506307849038104,0.002764531830681272,0.05781215674031936,0.02021039016158207,-14.856086047629399,49.97761180773648,,-0.07489323303186983,14.0253,-23.0396,-8.8763,32.341,0.9512,3.9663,2.3725,3.0201,28.3612,28.2598,0.2062,1.2892,0.2892,0.6732,1.3878,13.824430503102855,0.018993538280791,1.7523042105263108e-05,1.5863300445359663e-06,0.008211983676327968,-0.2254799821401995,-0.0001292588431034481,-2.4292796304006654e-06,0.020735300582574216,-0.2260559190957763,-4.541296896551724e-05,-7.584244863055621e-06,0.020465672079128406,-0.1988916256157635,0.00012690787656903776,-4.412970380023494e-06,0.02846138827690036,0.011323684210526305,-0.7402789329865165,0.015184741379310333,-0.6517213691201148,0.02458194827586206,-0.43618616372732477,0.03220625104602509,-0.26131445113930973,0.10500774604362426,0.5039420711902118,-1.6817352680561584,-2.7520031496782327,2.1405357632441486,52.72299722824462,60.0,0.3664416586306676,13.824430503102855,-0.9493946469401998,3.78830472974912,0.046114567184515114,0.009428676723792506,0.16748585342342584,0.3966673676413841,-1.4714775013936057,-1.1114019614276354,-0.4006619095645641,-0.2812081844687254,1173.004586014417,2.99454523075373,0.22432939503167315,0.05781215674031936,0.0032506307849038104,49.97761180773648
10,000026.SZ,飞亚达,1993-06-03,F52零售业,F52零售业,514147.8931,TRUE,-0.0117728531855956,0.019533081226364973,0.01926296060146668,0.3755586434821797,0.46352090479280617,501.3601477622723,677.5055402253139,0.6944,0.8134747007531956,-3.7598,41.646,12.2692,-27.0003,2.0429,6.1828,4.6354,3.4972,41.9435,40.9274,0.5424,1.6795,0.6795,0.3221,1.9578,13.150266232817568,0.0465116279069768,0.00015975747894736813,-2.3057231352534372e-05,0.021716882642077117,0.0307802433786685,0.00016657782241379332,1.1617125603425617e-05,0.028992847174381664,0.2213740458015267,0.000266922324137931,2.515943495619758e-05,0.028531488695925197,0.2389223467691665,0.00015834918934426229,3.141622922063321e-05,0.026704956031909477,0.02676505263157893,-0.16538703179119596,0.028051086206896534,-0.12528472695785442,0.03320382758620689,0.035392886353636355,0.026187036885245887,-0.18341126078707926,0.022778219325336434,1.53356607502051,0.8912542938759458,1.3098137582544986,-0.8371189287571057,49.27320873605156,55.0,-1.0377293656793336,13.150266232817568,-0.4238455209116511,5.595136996463943,0.029369764998311492,0.003888897079131149,0.20944228289650235,0.37062265391943294,-0.627635534035246,-0.5467024679992529,-0.5848193936757708,0.10260316345136865,20984.42467922229,6.497820247074475,0.4045721643416635,0.3755586434821797,0.019533081226364973,677.5055402253139
