No,code,name,ipo_date,industry_zx,industry_sw,MKT_CAP_FLOAT,is_open1,PCT_CHG_NM,EP,EPcut,BP,SP,NCFP,OCFP,DP,G/PE,Sales_G_q,Profit_G_q,OCF_G_q,ROE_G_q,ROE_q,ROE_ttm,ROA_q,ROA_ttm,grossprofitmargin_q,grossprofitmargin_ttm,assetturnover_ttm,financial_leverage,debtequityratio,cashratio,currentratio,ln_capital,return_1m,wgt_return_1m,exp_wgt_return_1m,std_1m,return_3m,wgt_return_3m,exp_wgt_return_3m,std_3m,return_6m,wgt_return_6m,exp_wgt_return_6m,std_6m,return_12m,wgt_return_12m,exp_wgt_return_12m,std_12m,turn_1m,bias_turn_1m,turn_3m,bias_turn_3m,turn_6m,bias_turn_6m,turn_12m,bias_turn_12m,beta,HAlpha,DIF,DEA,MACD,RSI,PSY,BIAS,LNCAP_barra,MIDCAP_barra,BETA_barra,HSIGMA_barra,HALPHA_barra,DASTD_barra,CMRA_barra,STOM_barra,STOQ_barra,STOA_barra,RSTR_barra,MLEV_barra,BLEV_barra,DTOA_barra,BTOP_barra,ETOP_barra,CETOP_barra
1,000001.SZ,平安银行,1991-04-03,J66货币金融服务,J66货币金融服务,13387530.0541,TRUE,0.0448577680525164,0.14540167211922936,0.13917109694658614,1.1346873936230568,0.6809206046574969,-16810.530027158744,-15705.821141239041,1.3934,0.6425590694292984,10.6685,4.4192,-266.2684,-16.3551,3.2965,13.8764,,0.9421,,,0.0309,14.0809,13.0809,,,16.409834238673064,0.0032894736842106,4.782988235294124e-06,7.050918782350126e-07,0.0047164146842753815,-0.014008620689655,3.2417779661016913e-06,5.257871892781669e-07,0.008250571698523983,0.043683672208121,4.6207213114753595e-06,4.969495217625259e-07,0.008073377580520173,0.0005872189571574,1.345890489795915e-05,8.055539510086083e-07,0.014663129756662615,0.0032967058823529178,-0.6819255082605791,0.0038919999999999775,-0.6244900315565078,0.003353229508196703,-0.6764719663908689,0.004226224489795905,-0.5922432104834576,-0.003965659794541367,1.1585143477580797,-0.7843018613948516,-3.3294417000772754,5.0902796773648475,42.412819312304215,55.0,0.383982446516739,16.409834238673064,2.3997362596052434,3.6135511357656753,0.014438761871117792,0.0001964367596714922,0.07120486398507275,0.20466158945179352,-2.7230466064565406,-2.498570987407425,-2.40509531780465,0.004479703711485193,,,0.9289820502587024,1.1346873936230568,0.14540167211922936,-15705.821141239041
2,000007.SZ,全新好,1992-04-13,H61住宿业,H61住宿业,531802.5673,TRUE,-0.0184828648440508,0.00722214077252351,0.0023469666277774297,0.06440684515950355,0.006332568781195817,32.49708352517396,262.3494166015673,,2.149538757979563,-64.335,297.6318,-164.9562,232.1807,1.7322,6.1552,5.878,6.708,70.6744,70.1375,0.0544,1.2226,0.2226,0.2084,3.1965,13.184027585346158,-0.014127529591447,0.0003420912235294121,4.459694641738825e-06,0.020461071148059458,0.3532494758909852,0.0008252835372881355,6.773133762063702e-05,0.029525467123282422,0.0853299705758723,0.000589578227536232,0.00016592987001179114,0.02659910696368937,-0.114844017826534,0.00045610603956043946,0.00023198976038500403,0.023591449103516966,0.03136311764705882,-0.24417253180430787,0.05052349152542372,0.21757801994689885,0.052236188405797086,0.25885272233608103,0.05715253846153845,0.37733304872490914,0.017760537279153568,0.39168217230722036,6.202984802638412,7.460032375022191,-2.514095144767559,21.175290012253953,55.0,0.749180583736543,13.184027585346158,-0.31914163746054447,0.26561286372764925,0.023423867838140534,0.006037316346066866,0.2091899000755591,0.30219398808957704,-0.23347109806088237,0.057574492023216885,-0.8409798722726526,0.15499407006189864,791.657139531918,2.0458929708004288,0.18207514416777573,0.06440684515950355,0.00722214077252351,262.3494166015673
3,000009.SZ,中国宝安,1991-06-25,S91综合,S91综合,2200628.0201,TRUE,-0.0191570881226054,0.014322543683758238,0.03536543099850758,0.20339258837407964,0.26549142462698455,-200.22472923239113,187.82809165428435,0.4995,-1.0445832139788027,22.7169,-72.9328,106.6986,-69.5234,3.036,6.2529,3.5521,2.598,30.6167,32.4493,0.2243,2.6775,1.6775,0.2558,1.4687,14.604253341273358,-0.0271790065604496,1.6109452941176445e-05,-1.0493399264500564e-05,0.012041620440678654,0.0328358208955223,0.00025233804745762703,1.0322879996177863e-06,0.022933791018238916,-0.0058439396414166,0.00015824099016393433,1.6428793522087556e-05,0.02510308578675537,-0.1016432792164938,0.00019457266693877535,2.9057247967640212e-05,0.03327534761677292,0.01588329411764706,-0.6562319218049928,0.03442927118644068,-0.2548344001092654,0.03647582786885244,-0.2105400080002524,0.04554878367346937,-0.014170630376245774,0.006556045698486236,1.1703167930718437,-1.0186580439076494,-0.923094535006268,-0.19112701780276264,29.148406909053296,50.0,-1.741764483150309,14.604253341273358,-0.6420973824251948,4.408326962159558,0.030474237648225107,0.00027484890442044333,0.19910770867653868,0.3711941697786028,-1.0871698804341414,-0.2839803384718135,0.009204735676825788,0.03346389711876901,173163.12396780634,54.51381268253281,0.6265116370773268,0.20339258837407964,0.014322543683758238,187.82809165428435
4,000010.SZ,美丽生态,1995-10-27,E48土木工程建筑业,E48土木工程建筑业,317777.4116,TRUE,-0.0164556962025316,0.008239757157877043,0.005236468441899288,0.34408010184771015,0.17498425141737242,54.9134084546952,-397.49877525108957,,-4.398887467988544,3.7933,-533.8613,41.7893,98.3574,-0.1989,1.3423,2.4373,0.5747,29.3889,28.2398,0.1439,2.123,1.123,0.2697,1.6167,12.66910645315146,-0.0910151691948657,-0.0002833898999999994,-8.289928726094453e-05,0.01447211852262382,0.0400534045393858,0.0002786865745762712,-3.5978737016907e-05,0.02097651646564821,-0.1550976138828633,9.310659344262314e-05,7.531158925140567e-06,0.02136279516040222,-0.0382716049382715,0.00021137622000000003,2.6793397776608546e-05,0.03238139118321559,0.04340147058823528,-0.12547418927567056,0.04439238983050846,-0.10550748211192307,0.03560642622950819,-0.2825418506948617,0.04260307346938774,-0.1415616369629702,0.03597183915477938,0.7082098570973898,-2.348737124832411,-0.43965016184986205,-3.8181739259650977,9.658638751704794,45.0,-5.878088564006518,12.66910645315146,0.7228877252451291,3.9886868612046307,0.03365562713424488,-0.001282662086137621,0.18051366357329365,0.31622480068495884,-0.1490146325567415,-0.09915358169052584,-0.06314576579832949,-1.7729008538212224e-05,116378.24735120252,34.71955471056523,0.5289669276579805,0.34408010184771015,0.008239757157877043,-397.49877525108957
5,000016.SZ,深康佳Ａ,1992-03-27,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,777541.1806,TRUE,0.0102249488752554,,,0.23446109118191835,1.6345210853220007,-612.3118829069297,-223.4220964571265,,,22.6117,89.3251,-135.9834,93.8773,-2.0548,-2.1247,0.0723,-0.4475,10.5644,14.1346,0.9969,5.2065,4.2065,0.1958,0.9534,13.563891887034838,-0.0040899795501022,3.9620152941176085e-05,-3.661516224975143e-06,0.013256435402655373,0.0020576131687244,5.44517491525423e-05,1.0524249999970957e-06,0.015341191151115872,-0.0469667318982387,8.847704836065577e-05,4.973678874996e-06,0.022334881439509756,-0.2576219512195121,0.00019691510973451337,1.149079746475352e-05,0.03293886556394638,0.009312529411764681,-0.8069429739485332,0.01491342372881354,-0.6908314480389346,0.018229065573770478,-0.6220952405343949,0.036554584070796446,-0.24219092609351645,0.041451016713329854,0.9338459678605556,-0.29428012273071147,-0.6215557355333898,0.6545512256053567,33.79410719922237,40.0,-0.5919575423555762,13.563891887034838,-0.7804697988947012,2.7844998023884133,0.0329126800460539,0.0011997548875818912,0.1685597390701323,0.6474254874881646,-1.6770985571167163,-1.0840550982943773,-0.2558241242681947,-0.15410433046247413,20326.091379426747,9.299369009438445,0.807931354667344,0.23446109118191835,,-223.4220964571265
6,000017.SZ,深中华A,1992-03-31,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,337822.9877,TRUE,-0.009548611111111,0.00022840160740828834,,0.002252223845825368,0.024662189657170902,-19.109982411147755,-14.08478548411332,,0.25172472334798196,-13.7214,1102.1145,-7195.7419,247.434,12.527,21.6636,6.1568,7.0971,11.2575,9.6304,2.1951,3.891,2.891,0.3838,1.1952,12.730277332254193,0.0459662288930582,0.0002732593294117646,8.146612490447859e-06,0.015085101153675068,-0.0158870255957633,6.28479389830507e-05,2.9510411866962743e-05,0.020110628534762403,-0.1115537848605577,8.08326274509793e-06,2.628400251487526e-05,0.020801953299768014,0.0072267389340558,0.00015677518311111107,1.719304666787302e-05,0.03590017181518564,0.03356147058823529,-0.16577930012837094,0.032007644067796596,-0.20440198932047837,0.028140009803921555,-0.3005378411144203,0.041558839999999986,0.03300731413140379,0.03160296606281681,1.1317556224062382,0.537037863092884,0.2616032477764318,0.5508692306329045,55.36509813522303,65.0,1.5713960373491227,12.730277332254193,0.5745272184042447,4.896909060392729,0.03731087629420696,0.0007997303016712734,0.17882183362504936,0.44128892400818726,-0.4784881527406627,-0.46198699518400504,-0.19379380151108155,-0.04489167664776946,,,0.7429983079601956,0.002252223845825368,0.00022840160740828834,-14.08478548411332
7,000019.SZ,深粮控股,1992-10-12,C15酒、饮料和精制茶制造业,C15酒、饮料和精制茶制造业,657985.0281,TRUE,-0.025366403607666,,,0.11555617185513878,0.04009542711653736,-49.906794765863616,-35.486944482836584,,,-10.3814,3.2537,93.0279,-254.9796,-1.3628,-3.9861,-3.3618,-4.3839,18.5722,20.5868,0.2153,1.123,0.123,1.2165,4.2103,13.39693745640117,-0.0096755833807626,0.0009070902823529413,6.53998512317003e-05,0.02007725563346809,0.3394919168591224,0.0012190370016949145,0.00011576727986526801,0.033255546113603214,0.3590376707416369,0.00115749195,0.0001705514078624065,0.03396414416044461,0.9084147408586878,0.0010775016277551016,0.00021248437390035323,0.04447057993550436,0.08442970588235293,0.19654235773111228,0.10880771186440676,0.5420287768736272,0.100888868852459,0.42980250545653154,0.10481784897959182,0.4854842242978712,0.05528035679771398,1.183747205816247,1.4425392338935765,1.7913759145662642,-0.6976733613453754,40.85732927479564,60.0,1.0951979780960277,13.39693745640117,-0.6104515010341598,4.85842562849975,0.03779668883561862,0.011117428060324308,0.26574538862649527,0.8563330195486406,0.5571564771536319,0.8302566466104162,0.7864341729506458,0.45446985358102077,1732.1920653632258,2.4514979557762993,0.10950240502917381,0.11555617185513878,,-35.486944482836584
8,000020.SZ,深华发Ａ,1992-04-28,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,400375.5141,TRUE,0.140547822182308,,,0.05053159235153818,0.09060022650056626,7.417379484364893,86.86127112997418,,,4.7665,-147.5068,-247.8763,-78.5078,-0.8706,1.916,1.2098,0.6833,9.9394,13.1092,0.5193,1.9124,0.9124,0.1482,1.4525,12.900158170956841,0.0086718393427658,9.020591176470559e-05,1.917770495830931e-05,0.016553319532445817,0.2076502732240437,0.00024102217966101694,1.950616356297069e-05,0.024478964112046295,-0.0627650551314673,0.00013721596065573765,2.779179554009614e-05,0.024860966308535574,-0.2927999999999999,0.0003740910788288287,3.525582926846495e-05,0.039821819820013156,0.017010764705882336,-0.7961751374652355,0.025277745762711856,-0.6971192568731597,0.02331268852459015,-0.72066478985526,0.06445047297297296,-0.22774731053248187,0.055658086139917295,1.3980472920274427,0.4238343714292512,0.5138372232512208,-0.1800057036439393,24.97182866851502,40.0,0.1450063440275676,12.900158170956841,0.1969986236752049,3.036860567030251,0.04013349086987115,0.005187281110572905,0.21541416225815857,0.6181589604327681,-1.047161210928722,-0.6644728189531975,0.26939146254132534,0.02348035862322032,412.52496356674004,1.82360461022641,0.4770911259504729,0.05053159235153818,,86.86127112997418
9,000021.SZ,深科技,1994-02-02,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,1544774.8945,TRUE,0.0187090739008419,0.022237689770885083,0.01168344409238333,0.34731869963878853,0.9519276534983341,197.94437210402623,174.10459872820906,0.4757,-0.4506579020518716,5.3341,-20.2655,-128.0784,55.0947,1.2519,8.2882,2.3725,3.5072,5.3035,5.1866,0.5537,1.968,0.968,0.7079,1.3131,14.25038875834605,-0.0223255813953489,4.471327647058827e-05,-1.0504180688372291e-05,0.012485321485454658,0.0193986420950531,-2.441258474576288e-05,-1.9982366249423517e-07,0.022698468981649123,0.1428299121402567,0.00014263345573770482,7.248391231121233e-06,0.025770764087328084,0.0333506048189029,0.0001320143408163264,1.605378032697674e-05,0.03412989577954395,0.01028564705882351,-0.6048285537983553,0.014936711864406763,-0.4261360519957379,0.019628098360655717,-0.24589440304442545,0.021486865306122434,-0.17448113970852475,0.039084704142493036,0.9051034963736756,0.039886125625884006,0.25242984274747005,-0.4250874342431721,29.77881945138846,45.0,-1.8994726279927314,14.25038875834605,-0.9255866876252828,4.657147160146485,0.03216318460731076,0.002924122072176695,0.1953296725385322,0.45849407063333714,-1.6021348405388751,-1.0008714064807736,-0.7765776785955796,0.08653025194322436,8739.755947031155,3.575485774862219,0.4918629486422278,0.34731869963878853,0.022237689770885083,174.10459872820906
10,000025.SZ,特力Ａ,1993-06-21,F51批发业,F51批发业,1276710.336,TRUE,-0.004015466983938,0.002568911698541295,0.0021847570375393695,0.04568776070578453,0.015971889474524836,-11.74048166922755,39.49635411502819,,-0.059186697969712015,14.0253,-23.0396,-8.8763,32.341,0.9512,3.9663,2.3725,3.0201,28.3612,28.2598,0.2062,1.2892,0.2892,0.6732,1.3878,14.05979727764784,0.0058041851229571,-4.614284705882362e-05,-0.0001093854232184254,0.029709712042013756,0.0045766590389015,7.963842372881367e-05,-2.813444637485215e-05,0.02425246460967999,-0.0156950672645741,0.00020768592905982914,-2.5655372813579717e-06,0.031304182267961174,-0.1779026217228464,0.0003149389062500002,1.9837894723646737e-05,0.04234006514954802,0.03618558823529409,-0.13673075001200385,0.03661150847457627,-0.12656969243491,0.037039179487179476,-0.11636686715842381,0.050657433333333314,0.20851992775759154,0.12669582291681794,-0.0142932521098908,0.22938985246133825,-0.20939494640320402,0.8775695977290845,46.388362195032094,55.0,-0.13573048021292877,14.05979727764784,-0.9761025531944283,3.5379236508022136,0.04682545721693441,0.014556251047203077,0.24591784370721248,0.46311147219695353,-0.3294174769892998,-0.2516663100500469,0.05775096589883908,0.06245773169235209,926.6335000214474,2.99454523075373,0.22432939503167315,0.04568776070578453,0.002568911698541295,39.49635411502819
11,000026.SZ,飞亚达,1993-06-03,F52零售业,F52零售业,445452.4362,TRUE,-0.0478170478170477,0.01964219772621919,0.01937057261349703,0.37765776653196875,0.46611354525962523,504.1610424041709,681.2904873256235,0.6983,0.8180189665061244,-3.7598,41.646,12.2692,-27.0003,2.0429,6.1828,4.6354,3.4972,41.9435,40.9274,0.5424,1.6795,0.6795,0.3221,1.9578,13.00684575521005,0.0726591760299626,0.0005044236,4.40128577669674e-05,0.02224330076822556,0.3041894353369763,0.00036910950338983037,7.533356381587222e-05,0.025124850556452197,0.2003174990036986,0.00018456386475409816,7.323800940208465e-05,0.02334782115071748,0.1159708639385739,0.0001993333093877549,5.774138384681519e-05,0.0332183013240765,0.041985588235294115,0.35101751609148835,0.032237440677966085,0.03734040323104093,0.024385647540983595,-0.21531557961101944,0.030190012244897948,-0.028542005287736094,0.02148113102084275,1.0887309340102527,3.8567510113986287,4.01156101193511,-0.30962000107296284,43.17762968888743,55.0,3.74180461477161,13.00684575521005,-0.013938004455484087,5.233997512168003,0.02977604128439497,0.0034362829318509893,0.20775289989037476,0.44803568080382855,-0.20332608119517684,-0.41539713560108654,-0.42634575398889807,0.1683616621800528,21422.208357887037,6.497820247074475,0.4045721643416635,0.37765776653196875,0.01964219772621919,681.2904873256235
12,000027.SZ,深圳能源,1993-09-03,D44电力、热力生产和供应业,D44电力、热力生产和供应业,2679996.3196,TRUE,0.0558823529411767,0.057447492991405856,0.06680562236117792,0.7990411506192568,0.41337687569757353,358.23820745519765,1118.6270922705942,2.9586,-1.1338009559262834,12.7794,-19.7363,-29.1904,-18.0523,2.2941,8.2731,4.3812,3.2353,31.2847,31.9262,0.1455,2.4623,1.4623,0.3153,0.9693,14.801325979202515,-0.0029498525073747,4.658794117647076e-06,-2.8873816039105904e-07,0.007579534455397212,0.0368098159509202,7.427445762711867e-06,3.523451126330617e-07,0.009881298950325561,0.0062322685077176,7.83835000000009e-06,7.469434452203304e-07,0.013155659491111143,-0.3116298498757668,-3.054851836734659e-06,8.970980666610602e-07,0.022870408235198772,0.0021835882352941116,-0.9195724124702204,0.0026100338983050778,-0.9038652405162143,0.002479729508196709,-0.9086647112092517,0.009199408163265293,-0.6611603811954356,0.010369330941605527,1.119972527014855,0.11587292668856719,0.051339726368466676,0.12906640064020103,30.902758125471916,40.0,-0.3684598378776799,14.801325979202515,-0.3754671321494524,5.527729320515873,0.024280014870247068,0.00021199776294079313,0.11185425666283595,0.6129829574530217,-3.152035645171072,-2.90000895107652,-1.5381935467515564,-0.12104390863811719,715798.7402625475,79.48201774607031,0.5938826446396965,0.7990411506192568,0.057447492991405856,1118.6270922705942
13,000028.SZ,国药一致,1993-08-09,F51批发业,F51批发业,1697912.7295,TRUE,-0.0290546992224798,0.0344769332078373,0.028841966214520776,0.22986392055902907,1.0507512871703268,410.61262547639495,443.19619650181056,0.4121,-0.0931739119941803,6.7925,-2.7025,29.8611,9.282,3.0231,16.7305,6.7416,7.0161,6.6484,7.1706,1.5203,2.4168,1.4168,0.2453,1.5383,14.344910248478426,0.0116747741487144,8.59495882352941e-06,5.792091687823811e-06,0.008299768621446635,0.0305819057057907,-5.165271698113222e-06,1.717195193070432e-06,0.01014399544032079,0.0318746929592237,2.032640603448273e-05,1.6110152969433939e-06,0.016722196396545635,0.1058140133617437,3.4262597122302137e-05,4.791062374545995e-06,0.014177755241579285,0.0051530000000000005,-0.5556578733796171,0.006351339622641494,-0.45232529501012586,0.007121379310344815,-0.3859249316458353,0.007888575539568333,-0.31976975911947847,0.017391278824783904,0.45847508327990977,1.9284310477759163,2.3598294706004443,-0.862796845649056,50.85303094541661,60.0,1.6144680910468103,14.344910248478426,-0.8741598219247958,2.791628690714287,0.023931132367095286,0.0024216439561307555,0.10622758417690517,0.14979650809781223,-2.237093134171186,-2.0303734303581775,-2.3932038856666455,0.09357014640148392,8874.919434384898,4.717571936503117,0.5862317098817126,0.22986392055902907,0.0344769332078373,443.19619650181056
14,000030.SZ,富奥股份,1993-09-29,C36汽车制造业,C36汽车制造业,1157432.8142,TRUE,-0.0418454935622318,0.0549519994284992,0.04193030344960606,0.4179728317659352,0.44420753375977257,87.68413884327816,230.8844636443579,1.6164,3.3912472455310283,30.6804,61.7129,-26.3152,17.5397,4.3768,15.4642,4.6513,9.0776,17.1,17.5638,0.3341,1.5475,0.5475,0.4594,1.8846,13.961715019370226,-0.017989417989418,-2.5225529411765145e-06,2.2079633636608982e-05,0.018259498168252085,0.2729766803840878,8.976618474576252e-05,1.0596034870819606e-05,0.024799382817055456,0.2390864908511967,5.4293798245613805e-05,1.3853221947175964e-05,0.022053942626665962,0.0933116095745854,3.4455656540084364e-05,1.2600761438380755e-05,0.02736341567588121,0.008115352941176459,-0.6668305632061098,0.008922186440677953,-0.6337066480093436,0.0072176929824561255,-0.7036832873016714,0.011583164556962011,-0.5244622828228425,0.003206131742601016,0.9406660481072764,0.19916794790061587,0.39389179750401515,-0.38944769920679856,26.79242786165066,60.0,1.5483941565902466,13.961715019370226,-0.9746384820078391,4.989148214604096,0.027441664253094748,0.0013235999073838275,0.18874596134040675,0.321314056204169,-1.7782775287526988,-1.649397957248513,-1.3857460299842677,0.09193145195377127,75164.74316279417,17.093620263320698,0.35380531433128776,0.4179728317659352,0.0549519994284992,230.8844636443579
15,000032.SZ,深桑达Ａ,1993-10-28,F51批发业,F51批发业,427816.343,TRUE,-0.0019531249999998,0.00815304238929799,0.008444533768846088,0.22112152839200425,0.3098661378284581,-91.45925264463094,379.69265550713067,0.1089,-0.15870060071616324,12.4157,-19.4652,-217.7604,-40.6614,1.3201,5.418,2.8573,3.2292,13.0546,12.9057,0.73,1.2716,0.2716,1.5501,3.5122,12.96644927733179,0.0039344262295082,5.04998117647058e-05,-7.605798198550344e-07,0.01184930465306912,0.0646731571627259,2.1644393220339006e-05,4.21682352945889e-06,0.013914704462807452,-0.0397666466030105,2.424739098360646e-05,4.274969123647587e-06,0.01980453068455755,-0.2868964708881273,9.095985265306112e-05,5.959215515206766e-06,0.0362191000853889,0.014413352941176454,-0.4794091721180853,0.012544084745762686,-0.5469246129287892,0.015567909836065555,-0.43770813751495774,0.024606057142857123,-0.11126247229299224,0.03483498917371333,1.2310053504621572,0.4296450055714942,0.4882782939316731,-0.11726657672035778,20.710577616698078,60.0,-0.26383505423276704,12.96644927733179,0.06354318945403087,5.1118822477152825,0.03573684622023404,0.003336798749334537,0.1695620997636787,0.3666822560557782,-1.2576791412844197,-1.273046876859611,-0.6700125081308658,-0.048942884557230525,3751.1275093044865,2.556159229189798,0.21359209650584365,0.22112152839200425,0.00815304238929799,379.69265550713067
16,000034.SZ,神州数码,1994-05-09,F51批发业,F51批发业,1086393.0547,TRUE,-0.1351612903225807,0.016556949282752958,0.0010761776666014502,0.12979933023545598,1.2064181445288937,654.6410757726024,493.3414208020971,,34.419721975707645,9817.9584,2078.8686,3884.9668,-6.1124,3.2392,32.2109,7.8331,5.4089,5.0371,5.3178,2.8987,6.1976,5.1976,0.12,1.2353,13.898373642816944,-0.005570117955439,8.541102941176454e-05,-3.661321946193532e-05,0.02690381817746231,0.0720593429883433,0.00010153320508474571,-1.6416120532368208e-06,0.02668788306622944,0.5167416291854072,0.00021418833333333324,1.553848820920179e-05,0.032929065172114726,1.0506756756756754,0.0003535668357615891,3.864181919212191e-05,0.031466626380343025,0.015888647058823507,-0.6266171052700598,0.01599430508474576,-0.6241341437300214,0.022905909909909896,-0.4617115656908125,0.034532735099337734,-0.18848140143106173,0.07402522424256998,0.1390599773174517,1.474672102244412,2.3021059831969968,-1.6548677619051695,45.25660072852597,50.0,-2.711886139248631,13.898373642816944,-0.9638588860908356,1.3131403588670731,0.030591569347877212,0.012635926437912757,0.2329194200608984,0.6408743583518972,-1.1927007934302125,-1.002009409690707,-0.69185777835767,0.37425433279161047,81396.10537753526,65.0571926645994,0.8386480864662134,0.12979933023545598,0.016556949282752958,493.3414208020971
