No,code,name,ipo_date,industry_zx,industry_sw,MKT_CAP_FLOAT,is_open1,PCT_CHG_NM,EP,EPcut,BP,SP,NCFP,OCFP,DP,G/PE,Sales_G_q,Profit_G_q,OCF_G_q,ROE_G_q,ROE_q,ROE_ttm,ROA_q,ROA_ttm,grossprofitmargin_q,grossprofitmargin_ttm,assetturnover_ttm,financial_leverage,debtequityratio,cashratio,currentratio,ln_capital,return_1m,wgt_return_1m,exp_wgt_return_1m,std_1m,return_3m,wgt_return_3m,exp_wgt_return_3m,std_3m,return_6m,wgt_return_6m,exp_wgt_return_6m,std_6m,return_12m,wgt_return_12m,exp_wgt_return_12m,std_12m,turn_1m,bias_turn_1m,turn_3m,bias_turn_3m,turn_6m,bias_turn_6m,turn_12m,bias_turn_12m,beta,HAlpha,DIF,DEA,MACD,RSI,PSY,BIAS,LNCAP_barra,MIDCAP_barra,BETA_barra,HSIGMA_barra,HALPHA_barra,DASTD_barra,CMRA_barra,STOM_barra,STOQ_barra,STOA_barra,RSTR_barra,MLEV_barra,BLEV_barra,DTOA_barra,BTOP_barra,ETOP_barra,CETOP_barra
1,000001.SZ,平安银行,1991-04-03,J66货币金融服务,J66货币金融服务,9974426.1201,TRUE,0.0750487329434697,0.1534071733194244,0.1314734226476118,1.043950307965341,0.5480953685941353,8926.232077309776,10038.806468746687,1.3149,4.187371521492345,47.5998,27.2958,85.5,1.231,4.2126,17.2894,,1.0002,,,0.0172,17.6657,16.6656,,,16.115534987265633,-0.0155339805825243,-2.16670476190483e-06,-1.4676489925365104e-06,0.01002765789716095,0.0283975659229209,3.5115317460317364e-05,-7.773730823882663e-07,0.012955298657831443,0.1425798741348436,3.954752258064505e-05,2.1118739198837827e-06,0.013252104231626214,0.0106357609055125,4.9858679573770456e-05,4.988841074478459e-06,0.01807873471183252,0.006274761904761886,-0.5116978555903948,0.008149285714285696,-0.36582236105685784,0.007934467741935467,-0.3825395015871996,0.009847573770491787,-0.23366153770492792,0.014083037190976462,1.6476392958399477,-5.83574493307367,-2.046900867345262,-7.577688131456815,20.12430312024607,55.0,-1.615485373308098,16.115534987265633,2.491395906476776,5.648603703394812,0.015304348347604323,0.000639481754471146,0.10655271137816717,0.22613836475915677,-2.02685122384927,-1.7828954682262337,-1.5669829959524149,-0.0186451544733344,,,0.9433927380381235,1.043950307965341,0.1534071733194244,10038.806468746687
2,000007.SZ,全新好,1992-04-13,H61住宿业,H61住宿业,342473.0666,TRUE,-0.0144508670520231,0.004786770897007359,0.00605410798470248,0.09868356129235992,0.05365814396480025,-103.4297190967625,388.1570425910245,,-0.38641399536927784,-21.7041,-80.7254,-65.5819,-331.3863,0.6184,-2.1604,-0.0168,-1.826,79.9157,79.3391,0.0865,1.7881,0.7881,0.2623,1.5186,12.74394829592808,0.4456993918331886,0.0009851307250000002,-0.0001107717991412859,0.04528230471366718,0.4456993918331886,0.000985130725,0.00025669302312281904,0.026569062847449396,0.3729372937293729,0.00032092170384615383,0.00016345977556635297,0.020938289573639707,0.2101818181818182,0.00011487915697674421,6.831404124498336e-05,0.01890470034554899,0.05246793749999999,1.7181507899296569,0.05246793749999999,1.7181507899296569,0.021670038461538452,0.12263669907049035,0.014966912790697666,-0.22462502314212085,-0.0033786333591413345,1.5819767503421942,10.089668076554474,9.892935871022546,0.39346441106385655,64.58233863922797,50.0,3.3636674224306593,12.74394829592808,-0.2603215089640526,2.026095728036296,0.024158720445519224,0.0025291781363202806,0.20408949543519608,0.28186501817638954,-0.1849324606750376,-1.2835447493431473,-1.5114195524562068,0.1593520610089838,,,0.44074187243724144,0.09868356129235992,0.004786770897007359,388.1570425910245
3,000009.SZ,中国宝安,1991-06-25,S91综合,S91综合,1979770.1834,TRUE,-0.0675772825305536,0.024569300168054014,0.014616656264479626,0.1672045078335312,0.19912782014775285,150.00201239887673,48.83784750783029,0.1881,7.377870922724638,2.8486,300.2882,16.2487,565.5938,4.7539,14.06,3.2837,4.6422,36.8268,35.7402,0.1325,2.5909,1.5909,0.3641,1.8503,14.498491326944292,0.001507159005275,0.0003085628666666671,-4.197000063880507e-06,0.03140872316978935,0.5673525317757013,0.000595608677419355,7.502467018182635e-05,0.029362292769577622,0.4817286434657326,0.0002558622057971014,9.703105080053419e-05,0.023787871172948425,0.525516620536693,0.00014376524388235291,6.092521001230587e-05,0.02379403301854083,0.0428515238095238,0.9292082973127394,0.04836580645161289,1.1774655092180377,0.02976981159420288,0.34025963212558685,0.022492871657753995,0.012646243933227774,0.03150035623335856,1.2904285527585637,2.228372898741057,4.020929636847556,-3.5851134762129977,39.44570093293501,35.0,-1.7956107293283223,14.498491326944292,-0.3688239745169728,3.8135469748252935,0.02139030557505486,0.005878432677756088,0.2159857334156875,0.46768720248776163,-0.10371315004956985,-0.6926041379925362,-1.0236925024513,0.2566405636425736,158125.993828872,60.681668097692665,0.6140299792756932,0.1672045078335312,0.024569300168054014,48.83784750783029
4,000010.SZ,美丽生态,1995-10-27,C35专用设备制造业,C35专用设备制造业,278646.4945,TRUE,0.0406091370558374,,0.0006863344025736991,0.13426242934439656,0.07222354632057143,-164.78753891912052,-79.03778053748964,,,-9.8672,-120.5906,-1202.6228,-185.7489,-0.1083,-2.0778,-1.066,-1.5798,20.3776,19.4321,0.1176,1.2831,0.2831,2.27,4.1748,12.537699212620685,0.0471063257065949,0.00013884041904761908,-1.786614908301816e-05,0.016767823630306114,0.1805766312594843,0.00027786562153846156,2.0611468573824184e-05,0.02531361520591042,0.2329635499207607,0.00019004242142857142,4.2595998040773386e-05,0.026791269606162807,0.0988700564971751,0.00024639708807692296,4.6975324731671745e-05,0.030725883055790812,0.034086333333333316,0.038345894091980526,0.03219003076923075,-0.019419720124626116,0.025916880952380938,-0.2105138836315018,0.03179768376068375,-0.03137148687525093,0.023143992307161423,0.4317888776944224,2.232715976238424,3.154335816782838,-1.8432396810888276,22.376123232491192,50.0,-1.1875277830697775,12.537699212620685,0.09714042336126619,1.8127946598741782,0.02394908466018137,0.004817147189601887,0.19921853672452403,0.4980978669283934,-0.33299336254924145,-0.3901896845742608,-0.43405014805374015,0.10734890930152333,641.6829601555827,1.4785782979009805,0.22062653787569234,0.13426242934439656,,-79.03778053748964
5,000016.SZ,深康佳Ａ,1992-03-27,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,317954.9288,TRUE,0.0109289617486338,0.007831847109813462,0.007077671785710747,0.6450364445591176,2.9753049687592976,-215.0973395312828,1911.1134417775893,0.1887,0.34927923511048387,-5.775,44.5973,-46.8269,10.7544,0.8736,2.2136,0.8035,0.6126,15.0002,16.524,0.5435,3.5109,2.5109,0.1783,1.15,12.669664918383862,0.127659574468085,0.00028518064285714236,4.286477938158745e-05,0.01250658783317915,0.1856823266219238,0.00014877315079365054,4.3147312036988085e-05,0.016055255623505172,0.1859191980389698,8.457746854838703e-05,3.630226751853752e-05,0.017243603142392403,0.5267005767858002,0.00020957461536065568,3.023043401999415e-05,0.023822531196014855,0.029038238095238082,0.5227976620297003,0.026110587301587287,0.36926838214746405,0.017943137096774187,-0.05904183542985397,0.023622799180327857,0.23880599244413103,0.020433236291433798,0.9410050007395174,1.7919964085036426,1.479358330662539,0.6252761556822071,44.13262358311965,65.0,4.629355443687697,12.669664918383862,-0.13954829461808957,3.476180165798917,0.018925635462768382,0.005836127198072273,0.14218088683886965,0.41264388338656255,-0.4969494975333206,-0.6464385915649578,-0.720986250562595,0.24129483515173397,77847.7349125888,12.418145627053942,0.7151696770536973,0.6450364445591176,0.007831847109813462,1911.1134417775893
6,000017.SZ,深中华A,1992-03-31,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,288736.1452,TRUE,-0.114561027837259,0.3057262527133205,0.2997961386257345,0.0016896461357201501,0.04793657033013916,-4.7688971015571315,-9.340547711767675,,52.52725549542939,-9.5006,171.8114,113.3575,,18.7278,47.2164,2.7287,4.2428,7.1203,6.2333,0.7697,7.0657,6.0657,0.4812,1.0772,12.573268557675625,0.42026825633383,0.000875716395238095,0.00012237347596492847,0.041471636620598044,0.6097972972972974,0.0003161892953846153,0.00012743794955485856,0.028954478207766466,0.4913928012519561,0.00016436945564516142,0.00010045275905314726,0.02680181507863219,1.274463007159904,0.0001668674564245811,9.108936832854893e-05,0.02406951533601802,0.03886123809523809,1.3735390494735409,0.018810184615384598,0.14887507194199823,0.014364814516129016,-0.12263607996950254,0.015759804469273726,-0.03743387618747851,0.04474054124687042,0.1930545135946554,2.8242611441028167,2.4314691664810564,0.7855839552435206,63.007143423764624,55.0,11.312270046136769,12.573268557675625,0.030568925613322938,0.7270717691678529,0.01867546167396965,0.009971939623735377,0.23192685069508495,0.31843568227493846,-0.2027787969222082,-0.9077696470095828,-1.4473715210943232,0.46135922024818965,,,0.8584719793316419,0.0016896461357201501,0.3057262527133205,-9.340547711767675
7,000019.SZ,深粮控股,1992-10-12,C15酒、饮料和精制茶制造业,C15酒、饮料和精制茶制造业,241405.5162,TRUE,-0.0713536201469045,0.009098220751949748,0.015153443771631539,0.3242121644404098,0.11342884041696441,112.0291861928911,58.01424361567505,,-1.671306759250161,-54.6697,-183.696,241.684,-282.9791,-1.8299,-4.9364,-1.8264,-3.5872,17.2216,18.4037,0.0863,1.4726,0.4726,0.7906,1.8228,12.394233438254416,0.1600000000000001,0.00018304249047618984,5.137461368033451e-05,0.01934075742982119,0.4434389140271495,0.00013292523538461506,3.533265443871402e-05,0.017022595912422778,0.3881795910815284,5.341643174603159e-05,3.053396309387103e-05,0.017935753829490923,0.4000299046639317,5.006965456910566e-05,2.2823821863797485e-05,0.019686519129778986,0.01898299999999998,0.7810750123804842,0.013855538461538443,0.2999922739779215,0.012939650793650774,0.21405935297375112,0.011459865853658519,0.07521891783087797,0.011283656792743253,1.286053202678014,1.4364721530150497,1.3292560728806266,0.21443216026884615,32.31899605150837,75.0,6.688963210702345,12.394233438254416,0.38629198644297685,3.097969659049578,0.01708053518695257,0.004607766862956518,0.14901429003361805,0.2698435394973173,-0.920268058989842,-1.21942326659865,-1.4209936293691368,0.2248805631115611,5737.775479480049,2.7774334745929967,0.32090973193535155,0.3242121644404098,0.009098220751949748,58.01424361567505
8,000021.SZ,深科技,1994-02-02,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,864498.3037,TRUE,0.0149925037481257,0.013859975440123521,0.023823477560666485,0.4960071425028521,1.5852885225110969,-155.95619461576482,334.3665825963208,0.7622,5.415833913142306,-4.4602,390.7535,-42.5756,-108.2863,2.2441,-0.3596,-0.5868,-0.1594,4.6203,3.1946,0.5457,2.955,1.955,0.9179,1.2185,13.66990462192889,-0.0030395136778117,4.4860571428570515e-06,3.201594465214857e-06,0.017339904562869803,0.127147766323024,7.564912222222216e-05,2.1741872890583934e-06,0.01828715305518891,0.1586209776557456,5.540603709677417e-05,7.711017250154224e-06,0.018880742958065123,0.0774797691228514,3.213878729508195e-05,1.0257212401837645e-05,0.021007064601463725,0.012700380952380933,0.4759821989545092,0.012778444444444426,0.48505439333245337,0.010139725806451599,0.17839416382203366,0.008759049180327855,0.017938022363601203,0.012383794189606903,1.4130972642587851,0.3611021119448736,1.1238949039239365,-1.5255855839581258,46.84203797560349,55.0,-0.10659357393026482,13.66990462192889,-0.9901626778857969,3.8496358377399713,0.01849065554769943,0.0023365762991296264,0.1485494905467048,0.23974489834731383,-1.3206924174959345,-1.3439503016142813,-1.7100677738534795,0.052811043893886904,2924.376575514865,1.570469737395989,0.661590813935763,0.4960071425028521,0.013859975440123521,334.3665825963208
9,000025.SZ,特力Ａ,1993-06-21,F51批发业,F51批发业,221070.1728,TRUE,-0.0096852300242129,0.0031422973650265446,0.0025406981736953386,0.07240815026139341,0.18163654527290893,-89.75104960835588,-158.73440430960602,,0.5993778251217248,0.7466,190.7451,-111.5303,37.4123,1.058,5.5466,1.8418,1.2906,14.8,14.6023,0.317,3.5609,2.5609,0.1574,0.3707,12.306235454081719,0.1577464788732394,0.00019606396190476185,3.4496057308739585e-05,0.01789042359017324,0.2659137577002053,0.00011076543692307682,2.9805565795617206e-05,0.017316153145641593,0.1890067502410801,0.0001847505702702702,3.094144526542094e-05,0.02866828948499482,0.8,0.0001531296705652173,2.9410481689932073e-05,0.030447023345886507,0.01765409523809523,0.5899693194189395,0.013041692307692296,0.17456546840120124,0.01886726126126124,0.6992299034466691,0.01529849130434781,0.3778180914546192,0.025978232948507738,0.7252715109350953,1.1491358422058724,1.0137318989592643,0.2708078864932162,63.66619245755299,75.0,6.651673730646135,12.306235454081719,0.5799015700357979,3.006887187111703,0.023506105909562366,0.008549337495647433,0.192993651854218,0.5085411971781099,-0.9918127865273957,-1.2862561628786002,-1.2071572307201586,0.3315905382595697,62978.17675268643,82.91610977621887,0.7191754965233674,0.07240815026139341,0.0031422973650265446,-158.73440430960602
10,000026.SZ,飞亚达,1993-06-03,F52零售业,F52零售业,335022.5375,TRUE,-0.078196872125115,0.035297273638584155,0.03076165866863541,0.3753331081334685,0.7654037504783774,152.1322910716974,196.33383180422345,0.9285,1.0000847134567326,8.8604,28.3332,2.9881,21.6938,2.7816,11.3034,4.1876,4.8774,36.9412,36.8044,0.4532,2.3222,1.3222,0.1079,1.8763,12.721953084663669,0.2280501710376283,0.000345057233333333,9.258191711845919e-05,0.0238313414323894,0.3447935881601252,0.00014534368615384585,5.806265000765921e-05,0.020162370716247827,0.5695717671609528,0.00010943521904761888,4.3526315905756316e-05,0.017747186069309254,0.4901269581528062,9.782140067886164e-05,3.1327068970006125e-05,0.018362038950078683,0.024609666666666648,-0.011226447432836406,0.018211984615384598,-0.26827417163503353,0.01468019047619046,-0.41017551005002806,0.01834530081300812,-0.2629177589649869,0.011077536639420743,2.0580840673510803,4.268711941044188,3.0040384962368343,2.5293468896147075,51.07148212369582,50.0,10.745501285347041,12.721953084663669,-0.225500489335015,4.456241573288203,0.017091074912484024,0.004034381857652201,0.15567855916869566,0.2714338353666126,-0.6621403668409572,-0.9657199016101304,-0.9397112856906721,0.21785329626025876,147479.5780232712,40.01056150417371,0.5693811983386375,0.3753331081334685,0.035297273638584155,196.33383180422345
