,年度收益,年度波动,夏普比率,最大回撤,年度超额收益,跟踪误差,信息比率,日胜率,换手率
2014,0.7081594438473138,0.2019828504314989,3.308000864528424,0.1088741546677292,0.07070797347599878,0.07424260147527817,0.41361661452857534,0.53125,13.782167667621799
2015,0.20087912657993012,0.41863399219656977,0.38429542172578585,0.42663874274251357,0.17803404534228773,0.11261507430001423,1.2804908806764441,0.5122950819672131,13.691171141758268
2016,0.036453367725497454,0.2654085201602264,-0.013362917936324931,0.23597674577599526,0.0926117557033026,0.09301139336440416,0.5784420427122984,0.4918032786885246,12.469053795861338
2017,0.3937524468238891,0.13171499603672857,2.6857416199234114,0.0628105206563716,0.15697940883886363,0.06961782081000645,1.7713377665162813,0.5409836065573771,12.115620897889762
2018,-0.18442267217870356,0.24560640792798982,-0.9137492546387586,0.2682813744743415,0.1111702237242338,0.09191145050772957,0.7744052416652891,0.48148148148148145,10.609041877758493
2019,0.6521206338740264,0.2196604779987716,2.7866671303403496,0.1368230046982073,0.20033227488786576,0.07983992620786855,2.0595835126370274,0.5655737704918032,10.470120940212544
总计,0.268988376886963,0.26851461274065475,0.8527967046178293,0.45029282515117286,0.14730360350970106,0.09004289451565888,1.191694292891045,0.5204435204435205,13.3388721301415
