,growth_con_equal,liq_barra_con_equal_ortho,mom_con_equal_ortho
2014-12-31,0.39375875061849364,-0.07904682773348005,-0.08966072014132619
2015-12-31,0.33963181118429997,-0.10532329655903916,-0.19373486784344526
2016-12-31,0.5267597295430203,-0.18044429115917202,-0.07031151060004111
2017-12-31,0.513738770821954,-0.09068037524870204,-0.1467414642733447
2018-12-31,0.6740640805744648,-0.05026293076382395,-0.21086351241564286
