No,code,name,ipo_date,industry_zx,industry_sw,MKT_CAP_FLOAT,is_open1,PCT_CHG_NM,liq_barra_con_equal_ortho,mom_con_equal_ortho
1,000001.SZ,平安银行,1991-04-03,J66货币金融服务,J66货币金融服务,13972777.2696,True,-0.0520833333333332,0.5138089451883449,0.08695213316044986
4,000009.SZ,中国宝安,1991-06-25,S91综合,S91综合,2170947.1027,True,0.0,1.0701521074793867,-0.3315827256599128
13,000027.SZ,深圳能源,1993-09-03,D44电力、热力生产和供应业,D44电力、热力生产和供应业,2846504.9666,True,-0.0640326975476839,-0.5994303744539331,-0.14065839521577217
19,000039.SZ,中集集团,1994-04-08,C33金属制品业,C33金属制品业,1926648.7075,True,-0.0693825588796944,-0.4677381122657971,0.09531200072016477
25,000060.SZ,中金岭南,1997-01-23,C32有色金属冶炼和压延加工业,C32有色金属冶炼和压延加工业,2786431.4428,True,-0.1254901960784313,0.3893032651127062,0.7829852578626053
26,000061.SZ,农产品,1997-01-10,L72商务服务业,L72商务服务业,2288635.3829,True,-0.0796130952380952,-0.0503051694411214,0.544680343138173
27,000063.SZ,中兴通讯,1997-11-18,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,5716966.0394,True,-0.0906499429874572,0.4717161454900169,0.13491646756212536
30,000069.SZ,华侨城Ａ,1997-09-10,N78公共设施管理业,N78公共设施管理业,4560758.8517,True,-0.1157760814249363,-0.26985606649997185,-0.09385036466536789
40,000156.SZ,华数传媒,2000-09-06,R87广播、电视、电影和录音制作业,R87广播、电视、电影和录音制作业,1884905.3673,True,-0.0652400835073069,-0.209304670959159,-0.0597876786891281
41,000157.SZ,中联重科,2000-10-12,C35专用设备制造业,C35专用设备制造业,2982410.5927,True,-0.0482180293501047,0.19329599903425226,-0.04736468195649557
44,000166.SZ,申万宏源,2015-01-26,J67资本市场服务,J67资本市场服务,4981917.1715,True,-0.1020114942528734,-0.35335151004292203,-0.2597412513707687
46,000333.SZ,美的集团,2013-09-18,C38电气机械和器材制造业,C38电气机械和器材制造业,19202643.1005,True,-0.086871961102107,0.3641277825601751,0.019274132258154886
47,000338.SZ,潍柴动力,2007-04-30,C36汽车制造业,C36汽车制造业,2202644.8783,True,-0.1002710027100269,0.2702079705436234,0.026696915221037107
61,000423.SZ,东阿阿胶,1996-07-29,C27医药制造业,C27医药制造业,3953935.6417,True,-0.1051495016611295,0.8117854663524819,0.26245028452925556
66,000503.SZ,国新健康,1992-11-30,I64互联网和相关服务,I64互联网和相关服务,5202382.9168,True,-0.2741239426894527,-0.0054599008590456855,-0.43561560015184686
95,000559.SZ,万向钱潮,1994-01-10,C36汽车制造业,C36汽车制造业,3318059.9734,True,-0.0829875518672199,0.18265374633529496,-0.3875412378870632
100,000568.SZ,泸州老窖,1994-05-09,C15酒、饮料和精制茶制造业,C15酒、饮料和精制茶制造业,4806676.0543,True,-0.0253987005316008,-0.07355138527516814,-0.07924559706198558
125,000623.SZ,吉林敖东,1996-10-28,C27医药制造业,C27医药制造业,3068323.9086,True,-0.130959057767807,1.1535705536142555,1.7990847550406832
126,000625.SZ,长安汽车,1997-06-10,C36汽车制造业,C36汽车制造业,6167844.9482,True,-0.1069934249850568,0.3400598347742354,0.31647408205861083
129,000630.SZ,铜陵有色,1996-11-20,C32有色金属冶炼和压延加工业,C32有色金属冶炼和压延加工业,3001981.9468,True,-0.0523076923076923,0.5587815518414383,0.8643869033882652
151,000686.SZ,东北证券,1997-02-27,J67资本市场服务,J67资本市场服务,2901583.9665,True,-0.1133428981348637,0.4912560744525033,-0.13691436443558386
163,000709.SZ,河钢股份,1997-04-16,C31黑色金属冶炼和压延加工业,C31黑色金属冶炼和压延加工业,3418641.0681,True,0.0060240963855422,0.5730470185530294,-0.5898096786810182
164,000712.SZ,锦龙股份,1997-04-15,J67资本市场服务,J67资本市场服务,2094992.5,True,-0.057877813504823,-0.1422652581728403,1.4562478796191267
172,000725.SZ,京东方Ａ,2001-01-12,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,6968272.2111,True,-0.0137931034482758,1.160083172787152,1.2482702134909816
174,000728.SZ,国元证券,1997-06-16,J67资本市场服务,J67资本市场服务,4511537.7,True,-0.1415012942191543,0.2698029938329156,-0.3251761964333878
175,000729.SZ,燕京啤酒,1997-07-16,C15酒、饮料和精制茶制造业,C15酒、饮料和精制茶制造业,1894551.3746,True,-0.0879265091863517,-0.7230643096113345,0.1864316129885949
179,000738.SZ,航发控制,1997-06-26,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,3001582.9544,True,-0.0546427206725257,0.3567160749298892,-0.4098677246689058
181,000750.SZ,国海证券,1997-07-09,J67资本市场服务,J67资本市场服务,3262826.8741,True,-0.1052631578947368,0.2882869224229967,-0.10035901675019285
192,000768.SZ,中航西飞,1997-06-26,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,6157427.1063,True,-0.0449236298292902,-0.05386185320125131,-0.4964238259499177
193,000776.SZ,广发证券,1997-06-11,J67资本市场服务,J67资本市场服务,11572214.8121,True,-0.1467611336032388,-0.027354003504986096,-0.17574618621870486
195,000778.SZ,新兴铸管,1997-06-06,C33金属制品业,C33金属制品业,1887056.8982,True,-0.0390334572490705,0.46534516939017695,-0.07528773031307467
198,000783.SZ,长江证券,1997-07-31,J67资本市场服务,J67资本市场服务,5728809.7933,True,-0.1587171052631578,-0.2559849562142627,-0.22671801445033457
203,000792.SZ,盐湖股份,1997-09-04,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,3182879.9924,True,-0.0638193421698575,-0.42592673016881316,-0.6075458183845308
206,000800.SZ,一汽解放,1997-06-18,C36汽车制造业,C36汽车制造业,1677163.8447,True,-0.0941666666666667,0.24565440040933165,-0.0442769327128322
220,000825.SZ,太钢不锈,1998-10-21,C31黑色金属冶炼和压延加工业,C31黑色金属冶炼和压延加工业,2392351.1014,True,-0.0772833723653394,-0.4365835159916497,-0.6051950461085909
221,000826.SZ,启迪环境,1998-02-25,N77生态保护和环境治理业,N77生态保护和环境治理业,2813966.0915,True,0.0,-0.3359881489332509,-0.26562402980521604
228,000839.SZ,国安股份,1997-10-31,I63电信、广播电视和卫星传输服务,I63电信、广播电视和卫星传输服务,3985630.3244,True,-0.1198465963566635,0.9161878754309396,-1.104233344058634
233,000858.SZ,五粮液,1998-04-27,C15酒、饮料和精制茶制造业,C15酒、饮料和精制茶制造业,13638151.0134,True,-0.0467238042576724,0.45402048331443823,0.036369189472906904
240,000876.SZ,新希望,1998-03-11,C13农副食品加工业,C13农副食品加工业,2948453.8944,True,-0.0617715617715616,0.1217867140056893,0.5762356148295509
244,000883.SZ,湖北能源,1998-05-19,D44电力、热力生产和供应业,D44电力、热力生产和供应业,2640919.9013,True,-0.0766129032258065,-0.9591172213321947,-0.042231788673973626
250,000895.SZ,双汇发展,1998-12-10,C13农副食品加工业,C13农副食品加工业,7462391.3696,True,-0.0783795684720389,-0.2636248203975368,-0.12237692300670436
251,000898.SZ,鞍钢股份,1997-12-25,C31黑色金属冶炼和压延加工业,C31黑色金属冶炼和压延加工业,3203616.6836,True,-0.0983899821109124,-0.83071593755194,-0.43671003312222256
