No,code,name,ipo_date,industry_zx,industry_sw,MKT_CAP_FLOAT,is_open1,PCT_CHG_NM,liq_barra_con_equal_ortho,mom_con_equal_ortho
1,000001.SZ,平安银行,1991-04-03,J66货币金融服务,J66货币金融服务,6830479.7969,True,-0.0678659035159444,0.7522401268784373,-0.1316777964554151
4,000009.SZ,中国宝安,1991-06-25,S91综合,S91综合,1173114.3863,True,-0.0031914893617021,0.7977942182929684,0.3318582664931438
21,000039.SZ,中集集团,1994-04-08,C33金属制品业,C33金属制品业,1830075.1508,True,0.0174418604651163,0.46248614812547256,0.2116575647272812
29,000060.SZ,中金岭南,1997-01-23,C32有色金属冶炼和压延加工业,C32有色金属冶炼和压延加工业,1294322.7209,False,-0.1226114649681529,-0.3479704906907638,-0.009824446868861636
30,000061.SZ,农产品,1997-01-10,L72商务服务业,L72商务服务业,1152124.3159,True,-0.0180505415162455,0.5967935401315235,0.8056922844298064
32,000063.SZ,中兴通讯,1997-11-18,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,3659898.9018,True,-0.0384057971014493,0.546227403869881,-1.5685304499359196
36,000069.SZ,华侨城Ａ,1997-09-10,N78公共设施管理业,N78公共设施管理业,1670726.871,True,-0.068441064638783,0.6941479614909365,0.427239415405062
44,000100.SZ,TCL科技,2004-01-30,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,1888497.1181,True,0.0775862068965516,1.8397627102336658,0.26817043120312506
47,000156.SZ,华数传媒,2000-09-06,R87广播、电视、电影和录音制作业,R87广播、电视、电影和录音制作业,144560.4029,True,0.1829608938547486,0.003528264070819722,-0.1517830836507289
48,000157.SZ,中联重科,2000-10-12,C35专用设备制造业,C35专用设备制造业,3412511.5693,True,-0.0630797773654918,0.2995103130498901,-0.08593043596462717
52,000333.SZ,美的集团,2013-09-18,C38电气机械和器材制造业,C38电气机械和器材制造业,3431589.545,True,-0.0421095666394113,0.2082040924742954,0.6178272428815798
53,000338.SZ,潍柴动力,2007-04-30,C36汽车制造业,C36汽车制造业,1844993.4325,True,-0.0661686232657416,0.3564630033908575,-0.10280358391776664
54,000400.SZ,许继电气,1997-04-18,C38电气机械和器材制造业,C38电气机械和器材制造业,1231962.2016,True,0.0710870258208478,0.5067901617536308,-0.14054618757607662
66,000423.SZ,东阿阿胶,1996-07-29,C27医药制造业,C27医药制造业,2586373.3769,True,-0.0996264009962641,0.7965342950706763,-0.03580394535118431
67,000425.SZ,徐工机械,1996-08-28,C35专用设备制造业,C35专用设备制造业,1564324.9091,True,-0.0911492734478204,-0.662320037881547,-0.4055485178583088
82,000528.SZ,柳工,1993-11-18,C35专用设备制造业,C35专用设备制造业,706103.8836,True,-0.0520504731861198,-0.253316882121551,-0.6297367663066756
88,000536.SZ,华映科技,1993-11-26,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,465904.8023,True,-0.0672889926098795,-0.2185743375514495,0.30465458387986205
89,000538.SZ,云南白药,1993-12-15,C27医药制造业,C27医药制造业,7080589.8543,True,-0.1174435367611725,-0.8375141287701162,0.16414692920749097
108,000568.SZ,泸州老窖,1994-05-09,C15酒、饮料和精制茶制造业,C15酒、饮料和精制茶制造业,2819988.6537,True,-0.1794486215538845,0.19649691074702408,0.17200496468018917
112,000581.SZ,威孚高科,1998-09-24,C36汽车制造业,C36汽车制造业,1889708.3374,True,-0.1106745252128357,0.576465282371507,0.8388400053102713
121,000596.SZ,古井贡酒,1996-09-27,C15酒、饮料和精制茶制造业,C15酒、饮料和精制茶制造业,860029.1822,True,0.0591662931420888,-0.7097967641694732,1.1430439204889846
123,000598.SZ,兴蓉环境,1996-05-29,D46水的生产和供应业,D46水的生产和供应业,996775.0318,True,-0.1299826689774695,1.738631300689534,0.8141696662488128
134,000623.SZ,吉林敖东,1996-10-28,C27医药制造业,C27医药制造业,1371930.2484,True,-0.0486976217440543,0.8599257477629377,0.2121511917245019
137,000630.SZ,铜陵有色,1996-11-20,C32有色金属冶炼和压延加工业,C32有色金属冶炼和压延加工业,1424421.8233,True,-0.0950455005055613,-0.1100488208658757,0.027502813555640104
145,000651.SZ,格力电器,1996-11-18,C38电气机械和器材制造业,C38电气机械和器材制造业,9752966.968,True,-0.1159600997506234,0.564613048358291,0.20496053165757852
162,000686.SZ,东北证券,1997-02-27,J67资本市场服务,J67资本市场服务,1336379.9108,True,0.0050377833753147,-0.11151010822179605,-0.7525717131544891
170,000703.SZ,恒逸石化,1997-03-28,C28化学纤维制造业,C28化学纤维制造业,196982.7332,True,-0.0782268578878746,0.4621700718818478,-0.3962788679616259
174,000709.SZ,河钢股份,1997-04-16,C31黑色金属冶炼和压延加工业,C31黑色金属冶炼和压延加工业,1017875.8104,True,-0.1200000000000001,1.274459619622315,0.2247759799830799
184,000725.SZ,京东方Ａ,2001-01-12,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,2619276.4576,True,0.0047169811320753,1.333958622124986,0.6119164893482685
186,000728.SZ,国元证券,1997-06-16,J67资本市场服务,J67资本市场服务,2003382.0,True,-0.0581854043392504,-0.9505571919414451,-0.4003766883265934
