No,code,name,ipo_date,industry_zx,industry_sw,MKT_CAP_FLOAT,is_open1,PCT_CHG_NM,liq_barra_con_equal_ortho,mom_con_equal_ortho
1,000001.SZ,平安银行,1991-04-03,J66货币金融服务,J66货币金融服务,15885992.2823,True,0.1519122593795709,-0.27663776748418367,-0.21504023272780495
2,000008.SZ,神州高铁,1992-05-07,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,1463336.5438,True,0.0357142857142858,-0.6383861128379407,-0.06034059542920581
3,000009.SZ,中国宝安,1991-06-25,S91综合,S91综合,1715133.013,True,0.1878109452736318,0.8565958598557856,0.43582489261653834
24,000060.SZ,中金岭南,1997-01-23,C32有色金属冶炼和压延加工业,C32有色金属冶炼和压延加工业,2476980.0574,True,0.0877963125548726,0.2340375556469596,0.5770122509994892
26,000063.SZ,中兴通讯,1997-11-18,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,8139563.8453,True,0.0154867256637165,0.7697608486507809,1.056905475519663
30,000069.SZ,华侨城Ａ,1997-09-10,N78公共设施管理业,N78公共设施管理业,6160894.3698,True,-0.065989847715736,0.2638876460594133,0.31595883302265193
38,000156.SZ,华数传媒,2000-09-06,R87广播、电视、电影和录音制作业,R87广播、电视、电影和录音制作业,1481493.8865,True,-0.0194109772423026,-0.753181388495625,0.04533391759784257
39,000157.SZ,中联重科,2000-10-12,C35专用设备制造业,C35专用设备制造业,2812583.3233,True,0.0597345132743363,0.021099220744009467,-0.4110064596941406
42,000166.SZ,申万宏源,2015-01-26,J67资本市场服务,J67资本市场服务,4117449.3606,True,0.0497335701598578,-0.465761978053815,-0.24905536919010207
43,000333.SZ,美的集团,2013-09-18,C38电气机械和器材制造业,C38电气机械和器材制造业,27021436.5336,True,-0.0143540669856457,0.43844244925934994,-0.6450932465621881
44,000338.SZ,潍柴动力,2007-04-30,C36汽车制造业,C36汽车制造业,2850481.6072,True,0.097762441592452,0.9707664200805798,1.4122338212748662
51,000415.SZ,渤海租赁,1996-07-16,L71租赁业,L71租赁业,2096789.2488,True,0.0399978651556234,-0.8415093730986734,-0.23959792128262342
58,000423.SZ,东阿阿胶,1996-07-29,C27医药制造业,C27医药制造业,4700652.1132,True,-0.0715060527500616,0.7656964770541864,0.16817893152183327
59,000425.SZ,徐工机械,1996-08-28,C35专用设备制造业,C35专用设备制造业,2622587.127,True,0.0578947368421052,0.06728886202454906,0.09246731695867917
