No,code,name,ipo_date,industry_zx,industry_sw,MKT_CAP_FLOAT,is_open1,PCT_CHG_NM,liq_barra_con_equal_ortho,mom_con_equal_ortho
1,000001.SZ,平安银行,1991-04-03,J66货币金融服务,J66货币金融服务,18051494.9576,True,0.0217391304347827,-0.12371339715711463,0.4575638028233293
2,000008.SZ,神州高铁,1992-05-07,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,1510886.6536,True,0.0619235836627143,-0.7085208849547733,0.05978048634266414
3,000009.SZ,中国宝安,1991-06-25,S91综合,S91综合,2024662.5802,True,-0.0642076523045562,0.8956900433020536,2.045085453114892
24,000060.SZ,中金岭南,1997-01-23,C32有色金属冶炼和压延加工业,C32有色金属冶炼和压延加工业,2739539.8409,True,0.0699013157894736,0.5407917086340187,0.22215486107995686
26,000063.SZ,中兴通讯,1997-11-18,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,7871140.962,True,0.0455740578439964,0.6216422256055913,-0.3694476364231281
30,000069.SZ,华侨城Ａ,1997-09-10,N78公共设施管理业,N78公共设施管理业,5634217.5152,True,-0.0563991323210413,0.12910460411235736,-0.22299277924431754
39,000156.SZ,华数传媒,2000-09-06,R87广播、电视、电影和录音制作业,R87广播、电视、电影和录音制作业,1455659.6537,True,0.032644230364494,-0.7161545656189325,-0.6460803626101969
40,000157.SZ,中联重科,2000-10-12,C35专用设备制造业,C35专用设备制造业,2982156.7922,True,-0.0146941632090146,0.2297011369716731,0.06433277405706231
43,000166.SZ,申万宏源,2015-01-26,J67资本市场服务,J67资本市场服务,4345379.5931,True,0.0235690235690235,-0.4623456764735736,-0.2870057433520298
44,000333.SZ,美的集团,2013-09-18,C38电气机械和器材制造业,C38电气机械和器材制造业,25866245.009,True,-0.0046127700898276,0.39037801287682883,-0.6503202883609491
45,000338.SZ,潍柴动力,2007-04-30,C36汽车制造业,C36汽车制造业,3027566.0002,True,0.0271041369472182,1.1395279701678744,1.5269004596411633
53,000415.SZ,渤海租赁,1996-07-16,L71租赁业,L71租赁业,2177794.4798,True,0.0028694404591107,-0.6470016934822577,0.03126017827808683
60,000423.SZ,东阿阿胶,1996-07-29,C27医药制造业,C27医药制造业,4193251.0783,True,-0.0260815242854911,0.9659936036485914,-0.5216445729616127
61,000425.SZ,徐工机械,1996-08-28,C35专用设备制造业,C35专用设备制造业,2811413.4001,True,-0.0522388059701489,0.2650509985691302,0.2793810273019274
84,000538.SZ,云南白药,1993-12-15,C27医药制造业,C27医药制造业,9169460.3462,True,-0.0030938466827086,-0.4769901018991895,-0.3463027283778921
96,000559.SZ,万向钱潮,1994-01-10,C36汽车制造业,C36汽车制造业,2868776.5076,True,-0.0056390977443609,-0.17432053386624394,0.04959546248074498
103,000568.SZ,泸州老窖,1994-05-09,C15酒、饮料和精制茶制造业,C15酒、饮料和精制茶制造业,7761611.3481,True,-0.0226308345120227,-0.09808779815509372,-0.5385798686350531
129,000623.SZ,吉林敖东,1996-10-28,C27医药制造业,C27医药制造业,2472640.1637,True,0.0043497172683775,1.2482706940269654,0.3768690599671125
