No,code,name,ipo_date,industry_zx,industry_sw,MKT_CAP_FLOAT,is_open1,PCT_CHG_NM,liq_barra_con_equal_ortho,mom_con_equal_ortho
1,000001.SZ,平安银行,1991-04-03,J66货币金融服务,J66货币金融服务,29671395.8477,True,0.0709635416666665,-0.17483288089835058,-0.3836554886275753
32,000063.SZ,中兴通讯,1997-11-18,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,10648391.717,True,0.1576709192018317,1.2127985116876532,-0.33729061571934127
43,000100.SZ,TCL科技,2004-01-30,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,4861373.9113,True,0.1825396825396825,0.6561746804475942,1.5349751518283492
48,000157.SZ,中联重科,2000-10-12,C35专用设备制造业,C35专用设备制造业,3778758.9309,True,0.1208053691275168,0.17709550674769212,0.14365264185195153
51,000166.SZ,申万宏源,2015-01-26,J67资本市场服务,J67资本市场服务,10726381.1616,True,0.0733752620545074,-1.2688437726594433,-0.13489295622792463
53,000333.SZ,美的集团,2013-09-18,C38电气机械和器材制造业,C38电气机械和器材制造业,36778763.3665,True,0.0639269406392695,0.47707412924846593,-0.4761429570560236
54,000338.SZ,潍柴动力,2007-04-30,C36汽车制造业,C36汽车制造业,5599202.1543,True,0.1930879038317057,0.7115148942161524,1.164583979235783
59,000408.SZ,藏格矿业,1996-06-28,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,410512.4357,True,-0.1661016949152542,-0.4972433909329568,0.5246659910826567
63,000415.SZ,渤海租赁,1996-07-16,L71租赁业,L71租赁业,1213209.6386,True,0.095100864553314,0.18859214153956066,0.2199368901175692
69,000423.SZ,东阿阿胶,1996-07-29,C27医药制造业,C27医药制造业,2201571.2429,True,0.0615246098439374,0.3749242025732427,0.13008380111290713
70,000425.SZ,徐工机械,1996-08-28,C35专用设备制造业,C35专用设备制造业,3203240.534,True,0.1917211328976034,0.6786934630113182,0.5456104389951637
97,000538.SZ,云南白药,1993-12-15,C27医药制造业,C27医药制造业,5352809.6721,True,0.0353090993285483,0.4294770608086742,0.3374847100101235
108,000553.SZ,安道麦A,1993-12-03,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,461118.8348,True,0.0266940451745381,-0.48885939917926663,0.3340269113186615
119,000568.SZ,泸州老窖,1994-05-09,C15酒、饮料和精制茶制造业,C15酒、饮料和精制茶制造业,11936360.7866,True,0.0604355272816246,0.4541217089714791,-0.5986617295617314
133,000596.SZ,古井贡酒,1996-09-27,C15酒、饮料和精制茶制造业,C15酒、饮料和精制茶制造业,4149017.6,True,0.2308249569863263,-0.22934225506539374,-0.10989406386642947
150,000625.SZ,长安汽车,1997-06-10,C36汽车制造业,C36汽车制造业,3323348.2356,True,0.1997607655502391,-0.3407708203044853,0.24070158459813393
153,000629.SZ,钒钛股份,1996-11-15,C32有色金属冶炼和压延加工业,C32有色金属冶炼和压延加工业,1330031.788,True,0.0503597122302157,0.23823396038235561,0.1713518312798359
154,000630.SZ,铜陵有色,1996-11-20,C32有色金属冶炼和压延加工业,C32有色金属冶炼和压延加工业,2036398.9079,True,0.0938967136150232,0.02614534417777259,0.01981906873749051
162,000651.SZ,格力电器,1996-11-18,C38电气机械和器材制造业,C38电气机械和器材制造业,34452403.432,False,0.1363715127360942,0.7629808569031717,-0.4142276522167689
166,000661.SZ,长春高新,1996-12-18,C27医药制造业,C27医药制造业,7463969.9705,True,0.0400186133085154,0.6188400318099561,-1.145890176144033
190,000703.SZ,恒逸石化,1997-03-28,C28化学纤维制造业,C28化学纤维制造业,3179738.9109,True,0.0086956521739132,-0.10192681241242901,0.0662354144585447
194,000709.SZ,河钢股份,1997-04-16,C31黑色金属冶炼和压延加工业,C31黑色金属冶炼和压延加工业,2675456.9355,True,0.0238095238095239,-0.035867868838057426,-0.3177690584084561
205,000725.SZ,京东方Ａ,2001-01-12,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,13205302.3272,True,0.1670951156812341,1.2448036835897958,1.2404030438651064
208,000728.SZ,国元证券,1997-06-16,J67资本市场服务,J67资本市场服务,2462964.3456,True,0.1088516746411483,-0.6433553201464486,0.030089589915362314
226,000768.SZ,中航西飞,1997-06-26,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,4402118.5931,True,0.0321361058601132,-0.09310477934293243,0.27893999008235476
227,000776.SZ,广发证券,1997-06-11,J67资本市场服务,J67资本市场服务,7896334.813,True,0.1445749323392564,-0.30665661266149574,-0.14248030463785252
232,000783.SZ,长江证券,1997-07-31,J67资本市场服务,J67资本市场服务,3450400.2218,True,0.1387559808612442,-0.7614131474953924,-0.15956902246177782
271,000858.SZ,五粮液,1998-04-27,C15酒、饮料和精制茶制造业,C15酒、饮料和精制茶制造业,48415058.0591,True,0.0473228346456693,0.8699587841151751,-0.483809918555987
279,000876.SZ,新希望,1998-03-11,C13农副食品加工业,C13农副食品加工业,8638450.8776,True,-0.0504521656354115,-0.21345344122677057,-0.2582294888282365
292,000895.SZ,双汇发展,1998-12-10,C13农副食品加工业,C13农副食品加工业,2735037.4058,True,-0.0528548123980423,0.2905771606310854,1.1074341429100225
293,000898.SZ,鞍钢股份,1997-12-25,C31黑色金属冶炼和压延加工业,C31黑色金属冶炼和压延加工业,2518013.2928,True,0.0737179487179489,-0.5431060340327958,-0.3158461568154859
317,000938.SZ,紫光股份,1999-11-04,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,5526082.9002,True,0.1634756995581736,-0.477983858616158,-0.7559291927808975
330,000963.SZ,华东医药,2000-01-27,F52零售业,F52零售业,4304469.3854,True,0.047250859106529,0.6959071370325493,-0.5002166692719243
354,002001.SZ,新和成,2004-06-25,C27医药制造业,C27医药制造业,4518755.3032,True,0.0587164314974966,0.4936055656712216,0.0918834094496187
358,002007.SZ,华兰生物,2004-06-25,C27医药制造业,C27医药制造业,4027282.59,True,0.0651515151515154,0.6920871224505964,-0.8667171455703155
359,002008.SZ,大族激光,2004-06-25,C35专用设备制造业,C35专用设备制造业,3475892.9294,True,0.1497556769186547,0.6241901451559574,-0.22746906078162268
361,002010.SZ,传化智联,2004-06-29,L72商务服务业,L72商务服务业,2192847.1364,True,0.0145348837209302,-1.0267816237426364,0.04171124595515241
374,002027.SZ,分众传媒,2004-08-04,L72商务服务业,L72商务服务业,8219612.9568,True,0.0830449826989618,0.6882069298299796,-0.028718771569535312
