No,code,name,ipo_date,industry_zx,industry_sw,MKT_CAP_FLOAT,is_open1,PCT_CHG_NM,liq_barra_con_equal_ortho,mom_con_equal_ortho
1,000001.SZ,平安银行,1991-04-03,J66货币金融服务,J66货币金融服务,13884990.1873,True,-0.0402116402116402,0.5306562814354311,0.02498703128831936
4,000009.SZ,中国宝安,1991-06-25,S91综合,S91综合,2399914.18,True,-0.078152753108348,1.3932030475500001,1.0856366576218746
13,000027.SZ,深圳能源,1993-09-03,D44电力、热力生产和供应业,D44电力、热力生产和供应业,2747392.6767,True,-0.0403458213256483,-0.4380797999732161,-0.09701953611124631
20,000039.SZ,中集集团,1994-04-08,C33金属制品业,C33金属制品业,1780391.1544,True,-0.0249480249480249,-0.06584522052944031,-0.24361605463241334
27,000060.SZ,中金岭南,1997-01-23,C32有色金属冶炼和压延加工业,C32有色金属冶炼和压延加工业,2401638.5292,True,-0.0761559383499546,0.3286534733947493,-0.37920909251157786
28,000061.SZ,农产品,1997-01-10,L72商务服务业,L72商务服务业,2127940.3634,True,-0.028892455858748,-0.20109764382409817,0.11318767241696431
30,000063.SZ,中兴通讯,1997-11-18,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,4976195.8729,True,0.0,0.31346095489785725,0.08254359299944752
34,000069.SZ,华侨城Ａ,1997-09-10,N78公共设施管理业,N78公共设施管理业,4395469.6047,True,-0.00990099009901,-0.40435313948924534,-0.3963156086491399
44,000156.SZ,华数传媒,2000-09-06,R87广播、电视、电影和录音制作业,R87广播、电视、电影和录音制作业,1936573.8328,True,-0.0614583333333333,0.5658572230044495,-0.13012205026653045
45,000157.SZ,中联重科,2000-10-12,C35专用设备制造业,C35专用设备制造业,2644069.8952,True,0.105011933174224,0.14177794571227376,0.32350312242334656
48,000166.SZ,申万宏源,2015-01-26,J67资本市场服务,J67资本市场服务,4671105.4293,True,-0.021875,-0.28463445957995737,-0.1282250654317254
50,000333.SZ,美的集团,2013-09-18,C38电气机械和器材制造业,C38电气机械和器材制造业,9274398.3307,True,-0.0167455405897342,0.6830329267794714,0.37720390545694493
51,000338.SZ,潍柴动力,2007-04-30,C36汽车制造业,C36汽车制造业,1913277.806,True,0.0525714285714287,0.41655682284658907,0.2016052795292275
58,000415.SZ,渤海租赁,1996-07-16,L71租赁业,L71租赁业,2274377.6398,True,-0.0096551724137932,-0.15243927339446195,0.8415865334800781
65,000423.SZ,东阿阿胶,1996-07-29,C27医药制造业,C27医药制造业,3904241.7259,True,0.0091587516960649,0.8456142872568682,0.47232873070726683
66,000425.SZ,徐工机械,1996-08-28,C35专用设备制造业,C35专用设备制造业,2265915.2777,True,0.0,0.19227645098743557,0.07337088048738
71,000503.SZ,国新健康,1992-11-30,I64互联网和相关服务,I64互联网和相关服务,4469842.8205,True,-0.0383444917833231,-0.27394088541127115,0.037954017933077955
97,000559.SZ,万向钱潮,1994-01-10,C36汽车制造业,C36汽车制造业,3462323.4505,True,-0.0510805500982318,0.2989664889686147,-0.42736501787087333
103,000568.SZ,泸州老窖,1994-05-09,C15酒、饮料和精制茶制造业,C15酒、饮料和精制茶制造业,4467447.2397,True,-0.0164556962025316,0.2355020571371114,0.23341503602970948
128,000623.SZ,吉林敖东,1996-10-28,C27医药制造业,C27医药制造业,2142397.7853,True,-0.0233002291825821,1.3833745390976,0.32006356772072164
129,000625.SZ,长安汽车,1997-06-10,C36汽车制造业,C36汽车制造业,5284535.4494,True,0.0147058823529411,0.44623726066980957,0.27473094853221647
132,000630.SZ,铜陵有色,1996-11-20,C32有色金属冶炼和压延加工业,C32有色金属冶炼和压延加工业,2485717.5356,True,-0.0038610038610038,0.34299108279924395,0.16548879646542614
156,000686.SZ,东北证券,1997-02-27,J67资本市场服务,J67资本市场服务,2721802.8273,True,-0.0422866092404071,0.5689445338673,-0.04902154548710552
168,000709.SZ,河钢股份,1997-04-16,C31黑色金属冶炼和压延加工业,C31黑色金属冶炼和压延加工业,3556660.7385,True,-0.0434782608695653,0.5875360133189997,0.2780377981321131
169,000712.SZ,锦龙股份,1997-04-15,J67资本市场服务,J67资本市场服务,1724116.6,True,-0.050098231827112,-0.0871487683069701,-0.03313845256372021
177,000725.SZ,京东方Ａ,2001-01-12,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,5862960.0673,True,-0.0124999999999998,1.0387586114271268,0.5330659284578643
180,000728.SZ,国元证券,1997-06-16,J67资本市场服务,J67资本市场服务,4144251.0,True,0.0102219182246541,0.07482021966374813,1.3943381657750715
181,000729.SZ,燕京啤酒,1997-07-16,C15酒、饮料和精制茶制造业,C15酒、饮料和精制茶制造业,1874476.658,True,0.0510752688172042,-0.8747454867214709,0.2510475363202418
185,000738.SZ,航发控制,1997-06-26,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,3478170.1716,True,-0.1145344943067649,0.4623314176237707,1.582713934787067
188,000750.SZ,国海证券,1997-07-09,J67资本市场服务,J67资本市场服务,3085774.253,True,-0.0305980528511821,0.12255428556876372,-0.12781636193031545
197,000768.SZ,中航西飞,1997-06-26,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,6306932.9803,True,-0.0559062218214607,-0.002560420499507998,-0.21414452794015104
198,000776.SZ,广发证券,1997-06-11,J67资本市场服务,J67资本市场服务,9974006.1168,True,-0.0174069627851141,-0.16006333306947373,-0.25981074643196134
200,000778.SZ,新兴铸管,1997-06-06,C33金属制品业,C33金属制品业,1795982.7236,True,-0.0286885245901639,0.4436112790946727,-0.18924110858085022
203,000783.SZ,长江证券,1997-07-31,J67资本市场服务,J67资本市场服务,5301994.4941,True,-0.0283623055809698,-0.17615584765032993,-0.1608101941820328
208,000792.SZ,盐湖股份,1997-09-04,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,3178180.8585,True,-0.0618401206636499,-0.15102306799179877,-0.5611958922014992
211,000800.SZ,一汽解放,1997-06-18,C36汽车制造业,C36汽车制造业,1468224.2411,True,0.0135527589545014,0.15528789735750997,-0.5799972515715457
223,000825.SZ,太钢不锈,1998-10-21,C31黑色金属冶炼和压延加工业,C31黑色金属冶炼和压延加工业,2084763.1027,True,-0.0275482093663912,-0.4389900544756105,-0.11681089129083339
224,000826.SZ,启迪环境,1998-02-25,N77生态保护和环境治理业,N77生态保护和环境治理业,2884272.8903,True,-0.0337700145560408,-0.13898072257820063,-0.30842358244981066
232,000839.SZ,国安股份,1997-10-31,I63电信、广播电视和卫星传输服务,I63电信、广播电视和卫星传输服务,4836054.8873,True,-0.1285046728971962,1.110630148739909,1.2743244573641064
237,000858.SZ,五粮液,1998-04-27,C15酒、饮料和精制茶制造业,C15酒、饮料和精制茶制造业,13250983.9097,True,-0.0276887204896532,0.43772626626775396,0.22360355085905087
245,000876.SZ,新希望,1998-03-11,C13农副食品加工业,C13农副食品加工业,2896605.3499,True,-0.0347305389221557,-0.006652202483031722,-0.18145571261115273
249,000883.SZ,湖北能源,1998-05-19,D44电力、热力生产和供应业,D44电力、热力生产和供应业,2555384.034,True,-0.0314465408805031,-0.9814009871850288,0.036549632837707624
256,000895.SZ,双汇发展,1998-12-10,C13农副食品加工业,C13农副食品加工业,4378237.0741,True,0.012815890473903,-0.061568318018174945,-0.09477839747751585
257,000898.SZ,鞍钢股份,1997-12-25,C31黑色金属冶炼和压延加工业,C31黑色金属冶炼和压延加工业,2779337.3147,True,0.0157303370786516,-1.2469856879997625,-0.1885370680194172
268,000917.SZ,电广传媒,1999-03-25,I63电信、广播电视和卫星传输服务,I63电信、广播电视和卫星传输服务,1828926.5792,True,-0.094131319000581,1.457374416435012,0.6662010137101214
