No,code,name,ipo_date,industry_zx,industry_sw,MKT_CAP_FLOAT,is_open1,PCT_CHG_NM,liq_barra_con_equal_ortho,mom_con_equal_ortho
1,000001.SZ,平安银行,1991-04-03,金融保险业-银行业,金融保险业-银行业,4878518.4737,True,0.0520965692503176,0.5540341748876461,0.021573460561944174
2,000002.SZ,万科Ａ,1991-01-29,房地产业-房地产开发与经营业,房地产业-房地产开发与经营业,7999993.887,True,0.0741626794258372,1.0795448199108608,-0.2601789853927053
5,000009.SZ,中国宝安,1991-06-25,综合类,综合类,1094549.8177,True,0.0570342205323193,0.6583845860697461,-1.6276042820541838
7,000012.SZ,南玻Ａ,1992-02-28,制造业-非金属矿物制品业-金属非金属-玻璃及玻璃制品业,制造业-非金属矿物制品业-金属非金属-玻璃及玻璃制品业,1155689.6369,True,0.0363247863247861,0.6890355418992298,-0.8113446944077558
14,000021.SZ,深科技,1994-02-02,信息技术业-计算机及相关设备制造业,信息技术业-计算机及相关设备制造业,741974.6908,True,0.0944055944055943,-0.7962375170849898,-0.01299735602793392
15,000024.SZ,招商地产(退),1993-06-07,房地产业-房地产开发与经营业,房地产业-房地产开发与经营业,1402786.0868,True,0.0971153846153844,1.1907715326982884,0.4745677887477446
18,000027.SZ,深圳能源,1993-09-03,电力煤气及水的生产和供应业-电力蒸汽热水的生产和供应业,电力煤气及水的生产和供应业-电力蒸汽热水的生产和供应业,1588439.6332,True,0.0197044334975369,-0.7308307824657525,0.059325306072232506
28,000039.SZ,中集集团,1994-04-08,制造业-金属制品业-金属非金属-集装箱和金属包装物品制造业,制造业-金属制品业-金属非金属-集装箱和金属包装物品制造业,1676132.0863,True,0.0869565217391303,0.4897942710892209,-0.07499759043248574
35,000059.SZ,华锦股份,1997-01-30,制造业-石油加工及炼焦业-石油化学塑胶塑料,制造业-石油加工及炼焦业-石油化学塑胶塑料,1019229.9056,True,0.0576051818781306,-0.21088205503548857,0.2673445375956713
36,000060.SZ,中金岭南,1997-01-23,制造业-有色金属冶炼及压延加工业-金属非金属,制造业-有色金属冶炼及压延加工业-金属非金属,1788678.2299,True,0.0523385300668151,-0.4168831787509261,-0.2250877236923502
37,000061.SZ,农产品,1997-01-10,批发和零售贸易-食品饮料烟草和家庭用品批发业,批发和零售贸易-食品饮料烟草和家庭用品批发业,814053.8547,True,0.0780399274047185,0.053889941272275976,-0.014294880111576619
39,000063.SZ,中兴通讯,1997-11-18,信息技术业-通信及相关设备制造业,信息技术业-通信及相关设备制造业,4588959.1338,True,0.0011904761904761,0.2969864034942343,-0.14741762227311103
42,000069.SZ,华侨城Ａ,1997-09-10,房地产业-房地产开发与经营业,房地产业-房地产开发与经营业,1662222.5562,True,0.0497925311203319,1.0069338199450182,-0.17724508142235498
49,000100.SZ,TCL科技,2004-01-30,制造业-日用电子器具制造业-电子,制造业-日用电子器具制造业-电子,1621081.0244,True,0.0047846889952154,1.7908732092933815,-0.302170295253102
53,000157.SZ,中联重科,2000-10-12,制造业-专用设备制造业-机械设备仪表,制造业-专用设备制造业-机械设备仪表,5433336.8433,True,0.0748373101952275,0.5044083919251058,-0.08388010676369433
57,000338.SZ,潍柴动力,2007-04-30,制造业-交通运输设备制造业-机械设备仪表,制造业-交通运输设备制造业-机械设备仪表,2084378.0244,True,0.0673541733805995,1.2995082523458712,-0.3981099397256958
59,000401.SZ,金隅冀东,1996-06-14,制造业-非金属矿物制品业-金属非金属-水泥制造业,制造业-非金属矿物制品业-金属非金属-水泥制造业,2025663.0376,True,0.047196002220988,-0.8011155807429251,-0.06969281448218595
60,000402.SZ,金融街,1996-06-26,房地产业-房地产开发与经营业,房地产业-房地产开发与经营业,1906660.2234,True,0.0499219968798752,1.0464162310596272,-0.18677398826129574
73,000422.SZ,湖北宜化,1996-08-15,制造业-化学原料及化学制品制造业-石油化学塑胶塑料-化学肥料制造业,制造业-化学原料及化学制品制造业-石油化学塑胶塑料-化学肥料制造业,991487.3983,True,0.0661333333333333,0.6121767097805295,-0.07396708451807206
74,000423.SZ,东阿阿胶,1996-07-29,制造业-医药制造业-医药生物制品-中药材及中成药加工业,制造业-医药制造业-医药生物制品-中药材及中成药加工业,2636054.0519,True,-0.0575522098105875,1.0275115066757752,-0.18703223425309518
75,000425.SZ,徐工机械,1996-08-28,制造业-专用设备制造业-机械设备仪表,制造业-专用设备制造业-机械设备仪表,1391568.9269,True,0.0852878464818762,0.9231727359217442,-0.30363696875789137
99,000527.SZ,美的电器(退),1993-11-12,制造业-电器机械及器材制造业-机械设备仪表-日用电器制造业,制造业-电器机械及器材制造业-机械设备仪表-日用电器制造业,4440264.1168,True,0.0007423904974015,0.08556825419103736,-0.12482724386875522
100,000528.SZ,柳工,1993-11-18,制造业-专用设备制造业-机械设备仪表,制造业-专用设备制造业-机械设备仪表,1263437.452,True,0.1093489148580968,0.07915039219332531,-1.0435823797358859
109,000538.SZ,云南白药,1993-12-15,批发和零售贸易-药品及医疗器械零售业-零售业,批发和零售贸易-药品及医疗器械零售业-零售业,3417075.849,True,0.0124448012846245,-0.3204058405691695,-0.09507759320283045
124,000559.SZ,万向钱潮,1994-01-10,制造业-交通运输设备制造业-机械设备仪表-汽车制造业,制造业-交通运输设备制造业-机械设备仪表-汽车制造业,906420.2164,True,0.0427350427350425,-0.30844987824442704,-0.3033309334411995
127,000562.SZ,宏源证券(退),1994-02-02,金融保险业-综合类证券公司-证券期货业,金融保险业-综合类证券公司-证券期货业,1876138.776,True,0.1127272727272727,-1.4015551370816288,-0.13814167800174157
133,000568.SZ,泸州老窖,1994-05-09,制造业-饮料制造业-食品、饮料-酒精及饮料酒制造业,制造业-饮料制造业-食品、饮料-酒精及饮料酒制造业,5450029.3402,True,0.062955760816723,0.3270631048996533,-0.5232576914722895
139,000581.SZ,威孚高科,1998-09-24,制造业-普通机械制造业-机械设备仪表,制造业-普通机械制造业-机械设备仪表,1185336.0659,True,0.0452818239392021,0.16251213382681579,0.04501151666214602
